mode,seed,n_states,err_along_full,err_across_full,err_along_collapsed,err_across_collapsed,frac_wrong_room,anisotropy_full,anisotropy_collapsed
translation,0,30207,5.929,0.003,0.001,0.002,0.456,5.926,-0.001
translation,1,30342,5.818,0.003,0.002,0.003,0.448,5.815,-0.001
translation,2,28342,5.996,0.003,0.003,0.003,0.461,5.993,0.0
translation,3,31033,6.069,0.003,0.001,0.003,0.467,6.066,-0.002
translation,4,30902,6.018,0.003,0.001,0.002,0.463,6.015,-0.001
translation,5,29785,6.009,0.004,0.002,0.001,0.462,6.005,0.001
translation,6,30478,6.102,0.004,0.001,0.002,0.469,6.098,-0.001
translation,7,31387,5.97,0.005,0.002,0.003,0.459,5.965,-0.001
rotation,0,23329,0.039,0.004,0.008,0.007,0.003,0.035,0.001
rotation,1,24059,0.041,0.004,0.007,0.008,0.003,0.037,-0.001
rotation,2,23172,0.039,0.006,0.007,0.006,0.003,0.033,0.001
rotation,3,23295,0.06,0.006,0.009,0.011,0.004,0.054,-0.002
rotation,4,21573,0.033,0.003,0.008,0.009,0.002,0.03,-0.001
rotation,5,22607,0.044,0.004,0.004,0.007,0.003,0.04,-0.003
rotation,6,23875,0.015,0.004,0.006,0.006,0.001,0.011,0.0
rotation,7,21923,0.014,0.003,0.003,0.004,0.001,0.011,-0.001
