condition,hd_mode,seed,n_units,mean_bvc_r,mean_place_r,frac_bvc_like,frac_place_like,frac_bvc_beats_place,n_bvc_dirs_used
s1,full,0,500,0.6204,0.6182,0.42,0.482,0.484,4
s1,full,1,500,0.6148,0.607,0.43,0.474,0.478,4
s1,full,2,500,0.611,0.6157,0.388,0.492,0.462,4
s1,full,3,500,0.6164,0.6174,0.424,0.48,0.484,4
s1,full,4,500,0.6174,0.6071,0.424,0.474,0.484,4
s1,full,5,500,0.6181,0.6156,0.422,0.484,0.472,4
s1,full,6,500,0.6142,0.6137,0.418,0.486,0.464,4
s1,full,7,500,0.6123,0.6053,0.422,0.476,0.476,4
s1,full,8,500,0.6088,0.6054,0.416,0.476,0.484,4
s1,full,9,500,0.6115,0.6164,0.394,0.492,0.462,4
s1,parity,0,500,0.5306,0.5959,0.246,0.562,0.348,4
s1,parity,1,500,0.525,0.596,0.226,0.558,0.35,4
s1,parity,2,500,0.5235,0.5956,0.248,0.556,0.358,4
s1,parity,3,500,0.5241,0.5909,0.258,0.53,0.37,4
s1,parity,4,500,0.5153,0.5829,0.25,0.516,0.39,4
s1,parity,5,500,0.5279,0.5972,0.23,0.556,0.36,4
s1,parity,6,500,0.5217,0.5883,0.246,0.542,0.35,4
s1,parity,7,500,0.5273,0.5976,0.242,0.558,0.348,4
s1,parity,8,500,0.5264,0.5916,0.26,0.516,0.38,4
s1,parity,9,500,0.5219,0.5957,0.248,0.554,0.368,4
s1,axis,0,500,0.5297,0.5251,0.376,0.39,0.526,4
s1,axis,1,500,0.5266,0.5208,0.362,0.37,0.528,4
s1,axis,2,500,0.5349,0.5313,0.378,0.388,0.542,4
s1,axis,3,500,0.5296,0.5283,0.364,0.4,0.496,4
s1,axis,4,500,0.5288,0.531,0.354,0.418,0.518,4
s1,axis,5,500,0.518,0.5226,0.336,0.394,0.508,4
s1,axis,6,500,0.5284,0.5181,0.356,0.372,0.544,4
s1,axis,7,500,0.5276,0.5266,0.344,0.37,0.528,4
s1,axis,8,500,0.5299,0.5292,0.354,0.404,0.52,4
s1,axis,9,500,0.5289,0.5279,0.356,0.39,0.508,4
s1,const,0,500,0.476,0.5306,0.152,0.44,0.402,4
s1,const,1,500,0.4794,0.5347,0.152,0.456,0.394,4
s1,const,2,500,0.4742,0.5301,0.124,0.446,0.388,4
s1,const,3,500,0.4755,0.5275,0.146,0.408,0.412,4
s1,const,4,500,0.4735,0.524,0.15,0.422,0.424,4
s1,const,5,500,0.4732,0.5302,0.12,0.438,0.39,4
s1,const,6,500,0.4782,0.5333,0.146,0.422,0.414,4
s1,const,7,500,0.4764,0.5312,0.122,0.462,0.39,4
s1,const,8,500,0.4759,0.5217,0.164,0.394,0.428,4
s1,const,9,500,0.4695,0.5251,0.128,0.436,0.418,4
s2,full,0,500,0.5747,0.5759,0.382,0.45,0.462,4
s2,full,1,500,0.5643,0.579,0.356,0.47,0.44,4
s2,full,2,500,0.5675,0.58,0.384,0.458,0.45,4
s2,full,3,500,0.5786,0.579,0.398,0.452,0.472,4
s2,full,4,500,0.563,0.5711,0.352,0.462,0.45,4
s2,full,5,500,0.5658,0.5761,0.348,0.488,0.44,4
s2,full,6,500,0.5767,0.5814,0.394,0.464,0.456,4
s2,full,7,500,0.5653,0.5725,0.356,0.476,0.44,4
s2,full,8,500,0.5693,0.5753,0.362,0.478,0.448,4
s2,full,9,500,0.5585,0.5725,0.358,0.468,0.442,4
s2,parity,0,500,0.484,0.5533,0.194,0.508,0.356,4
s2,parity,1,500,0.4871,0.5398,0.234,0.466,0.396,4
s2,parity,2,500,0.4853,0.5488,0.236,0.474,0.394,4
s2,parity,3,500,0.4825,0.5459,0.228,0.476,0.378,4
s2,parity,4,500,0.4811,0.5536,0.22,0.512,0.358,4
s2,parity,5,500,0.4909,0.5577,0.232,0.498,0.366,4
s2,parity,6,500,0.4733,0.5487,0.228,0.484,0.36,4
s2,parity,7,500,0.474,0.5557,0.206,0.512,0.35,4
s2,parity,8,500,0.4803,0.5427,0.218,0.49,0.366,4
s2,parity,9,500,0.4781,0.5428,0.214,0.478,0.368,4
s2,axis,0,500,0.4514,0.4203,0.286,0.184,0.586,4
s2,axis,1,500,0.4406,0.4213,0.272,0.2,0.566,4
s2,axis,2,500,0.4536,0.4295,0.304,0.212,0.582,4
s2,axis,3,500,0.4516,0.4361,0.298,0.212,0.552,4
s2,axis,4,500,0.4518,0.4298,0.308,0.21,0.554,4
s2,axis,5,500,0.4513,0.4244,0.314,0.196,0.564,4
s2,axis,6,500,0.4428,0.4296,0.278,0.206,0.554,4
s2,axis,7,500,0.4521,0.4277,0.294,0.196,0.57,4
s2,axis,8,500,0.4447,0.4298,0.278,0.212,0.54,4
s2,axis,9,500,0.4484,0.4286,0.29,0.232,0.564,4
s2,const,0,500,0.3746,0.414,0.072,0.224,0.444,3
s2,const,1,500,0.3774,0.4186,0.078,0.22,0.428,3
s2,const,2,500,0.3774,0.417,0.072,0.22,0.424,2
s2,const,3,500,0.3801,0.4196,0.068,0.222,0.436,4
s2,const,4,500,0.3744,0.4186,0.068,0.234,0.422,4
s2,const,5,500,0.377,0.4166,0.07,0.22,0.43,2
s2,const,6,500,0.3678,0.4152,0.048,0.252,0.426,3
s2,const,7,500,0.3708,0.4172,0.054,0.232,0.412,2
s2,const,8,500,0.3766,0.4248,0.06,0.268,0.394,3
s2,const,9,500,0.3779,0.4197,0.07,0.246,0.428,2
s4,full,0,500,0.6438,0.5032,0.63,0.15,0.762,4
s4,full,1,500,0.6462,0.5026,0.626,0.146,0.762,4
s4,full,2,500,0.6435,0.5042,0.622,0.162,0.78,4
s4,full,3,500,0.6437,0.5084,0.596,0.172,0.75,4
s4,full,6,500,0.6473,0.505,0.608,0.164,0.772,4
s4,full,7,500,0.6439,0.508,0.616,0.166,0.756,4
s4,full,8,500,0.6399,0.5011,0.594,0.172,0.738,4
s4,full,9,500,0.644,0.4915,0.604,0.15,0.784,4
s4,parity,0,500,0.4735,0.5,0.196,0.36,0.416,4
s4,parity,1,500,0.4771,0.4989,0.218,0.352,0.422,4
s4,parity,2,500,0.4742,0.5125,0.196,0.394,0.386,4
s4,parity,3,500,0.4765,0.5136,0.2,0.388,0.384,4
s4,parity,6,500,0.4749,0.5065,0.19,0.38,0.376,4
s4,parity,7,500,0.477,0.5014,0.2,0.356,0.428,4
s4,parity,8,500,0.4702,0.5059,0.186,0.386,0.394,4
s4,parity,9,500,0.4716,0.5054,0.192,0.372,0.404,4
s4,axis,0,500,0.4463,0.399,0.272,0.122,0.602,4
s4,axis,1,500,0.4415,0.4023,0.266,0.15,0.58,4
s4,axis,2,500,0.4501,0.3965,0.296,0.128,0.63,4
s4,axis,3,500,0.4421,0.402,0.256,0.154,0.57,4
s4,axis,6,500,0.4447,0.3985,0.278,0.124,0.612,4
s4,axis,7,500,0.4443,0.3972,0.268,0.118,0.628,4
s4,axis,8,500,0.4457,0.3991,0.266,0.122,0.614,4
s4,axis,9,500,0.4463,0.4078,0.26,0.158,0.578,4
s4,const,0,500,0.3359,0.3789,0.006,0.184,0.372,2
s4,const,1,500,0.3354,0.3782,0.008,0.178,0.386,1
s4,const,2,500,0.336,0.3801,0.01,0.194,0.388,2
s4,const,3,500,0.3333,0.3803,0.004,0.2,0.386,2
s4,const,6,500,0.3327,0.3762,0.008,0.176,0.368,2
s4,const,7,500,0.3299,0.3672,0.012,0.164,0.412,2
s4,const,8,500,0.3341,0.3782,0.008,0.174,0.374,1
s4,const,9,500,0.3314,0.377,0.006,0.172,0.358,2
