condition,hd_mode,seed,n_units,frac_place,spatial_info,sparsity,selectivity,coherence,n_fields,field_area,ev_pos,ev_hd,ev_add,ev_conj,mixed,hd_rayleigh,frac_mixed
s1,full,0,500,0.97,1.2315,0.3768,5.8517,1.8592,1.7753,39.0372,0.5249,0.1085,0.6277,0.8541,0.2264,0.3455,0.904
s1,full,1,500,0.968,1.2328,0.3776,5.7479,1.8465,1.8017,40.2898,0.5258,0.1108,0.6299,0.8523,0.2224,0.3389,0.896
s1,full,2,500,0.952,1.2439,0.3792,6.2551,1.8572,1.7626,41.3191,0.5168,0.1116,0.6238,0.8489,0.2251,0.3514,0.892
s1,full,3,500,0.954,1.2632,0.3685,6.407,1.8859,1.7065,41.0672,0.5265,0.1096,0.6301,0.8543,0.2242,0.3487,0.92
s1,full,4,500,0.956,1.2449,0.3752,5.9154,1.8567,1.7134,43.1912,0.5265,0.1064,0.6275,0.8516,0.2241,0.3375,0.9
s1,full,5,500,0.958,1.2543,0.3699,5.8017,1.8772,1.7182,41.287,0.5353,0.1076,0.6357,0.8578,0.222,0.3447,0.912
s1,full,6,500,0.95,1.2505,0.3733,5.8468,1.8632,1.7347,41.0449,0.5225,0.1083,0.6261,0.8503,0.2242,0.3375,0.892
s1,full,7,500,0.95,1.2253,0.3756,5.697,1.8738,1.7368,41.7147,0.5224,0.1075,0.6247,0.8516,0.227,0.3327,0.916
s1,full,8,500,0.954,1.237,0.3784,5.7438,1.8487,1.8029,41.1995,0.5219,0.1097,0.6249,0.8498,0.2249,0.3383,0.892
s1,full,9,500,0.948,1.2252,0.3783,5.6683,1.8784,1.6983,44.1376,0.521,0.11,0.6256,0.8528,0.2272,0.3443,0.9
s1,parity,0,500,0.858,1.0199,0.4339,5.4898,1.7235,1.7576,48.4909,0.4026,0.0608,0.4598,0.7416,0.2818,0.2781,0.932
s1,parity,1,500,0.852,0.9988,0.4389,5.518,1.7142,1.8357,46.5325,0.3902,0.0601,0.4475,0.7276,0.2801,0.2738,0.936
s1,parity,2,500,0.848,1.0201,0.4327,5.6955,1.696,1.7759,47.5011,0.3842,0.0633,0.4444,0.7265,0.2822,0.279,0.952
s1,parity,3,500,0.846,1.0224,0.4329,5.5817,1.699,1.8156,47.738,0.3914,0.0627,0.4506,0.7366,0.286,0.2742,0.94
s1,parity,4,500,0.85,1.0019,0.4403,5.5146,1.6887,1.8447,47.0643,0.3882,0.0613,0.4456,0.7274,0.2818,0.2747,0.932
s1,parity,5,500,0.87,1.0307,0.4293,5.8667,1.6892,1.8322,46.4592,0.3942,0.0621,0.4524,0.7374,0.2851,0.2785,0.938
s1,parity,6,500,0.856,1.0314,0.435,5.9347,1.6931,1.7874,48.306,0.3888,0.0611,0.4465,0.7339,0.2874,0.2826,0.93
s1,parity,7,500,0.846,1.0204,0.4348,5.5678,1.7004,1.7778,47.7355,0.3885,0.061,0.4452,0.7239,0.2787,0.2715,0.934
