condition,hd_mode,seed,n_units,frac_place,frac_hd,frac_border,mean_spatial_info,mean_hd_rayleigh,mean_border_frac,mean_fields_place
s1,axis,0,500,0.868,0.202,0.316,0.9059722359499108,0.18651564573172225,0.4515589459829437,2.1382488479262673
s1,axis,1,500,0.872,0.234,0.286,0.912263677561206,0.20297639561334796,0.45363217586471455,2.1559633027522938
s1,axis,2,500,0.868,0.228,0.282,0.9218384541196578,0.19569923473217754,0.4465253556833203,2.1705069124423964
s1,axis,3,500,0.854,0.246,0.3,0.9091713672927919,0.20676636271122878,0.45270581340221977,2.149882903981265
s1,axis,4,500,0.88,0.222,0.312,0.9396415116971089,0.19510437397576297,0.45530223495347694,2.065909090909091
s1,axis,5,500,0.862,0.25,0.308,0.9044043022931058,0.20456000029190569,0.45312745536557947,2.1183294663573085
s1,axis,6,500,0.876,0.23,0.296,0.9109845100998142,0.19588385328796107,0.4528073514342935,2.136986301369863
s1,axis,7,500,0.874,0.222,0.296,0.9080261272819639,0.19531257173598968,0.45368469679031564,2.1556064073226544
s1,axis,8,500,0.884,0.228,0.302,0.941765879470647,0.19405285848251522,0.4480335005658093,2.1357466063348416
s1,axis,9,500,0.86,0.206,0.316,0.9277835467857661,0.18832206733408668,0.45811777689783106,2.1790697674418604
s1,const,0,500,0.804,0.928,0.302,0.7731664331375943,0.5153910112433675,0.4500484783516207,2.3606965174129355
s1,const,1,500,0.8,0.928,0.3,0.7860024560610771,0.5116380752376566,0.4521946430293085,2.45
s1,const,2,500,0.772,0.922,0.312,0.7705562874878438,0.5103985589662067,0.4475121554661016,2.3626943005181347
s1,const,3,500,0.778,0.912,0.306,0.7809565272197289,0.5088135855416934,0.45486261384663734,2.3830334190231364
s1,const,4,500,0.796,0.912,0.32,0.7983876422115304,0.5077528656540913,0.4526264823616737,2.35678391959799
s1,const,5,500,0.788,0.906,0.316,0.7869252404854004,0.5034640334135028,0.45730022176957275,2.4289340101522843
s1,const,6,500,0.812,0.918,0.32,0.7742347976863029,0.5001260033622719,0.44558455847602224,2.413793103448276
s1,const,7,500,0.792,0.924,0.294,0.779319271394518,0.5101450188837674,0.4510086489348416,2.436868686868687
s1,const,8,500,0.8,0.928,0.308,0.7828820539292721,0.5203808091721173,0.45471187433527266,2.4525
s1,const,9,500,0.774,0.944,0.318,0.7901828670617254,0.5165419294003453,0.4534048276573236,2.3410852713178296
s1,full,0,500,0.972,0.852,0.362,1.2207361865835868,0.509819248689941,0.4660335885456953,1.8106995884773662
s1,full,1,500,0.966,0.826,0.348,1.2161711730676135,0.4853325664867236,0.46790079180667515,1.8281573498964803
s1,full,2,500,0.952,0.846,0.334,1.1938603136438788,0.5041181582504115,0.45879670913335663,1.7836134453781514
s1,full,3,500,0.956,0.836,0.344,1.234671958717328,0.49886567131913717,0.4616388066933225,1.7196652719665273
s1,full,4,500,0.96,0.854,0.342,1.220418742123571,0.5064151494472814,0.4631585265907991,1.7416666666666667
s1,full,5,500,0.96,0.844,0.336,1.2284662539228248,0.5045127087782986,0.4598495774347155,1.7333333333333334
s1,full,6,500,0.948,0.85,0.338,1.2127561604317845,0.5041289742798805,0.4569829926719741,1.7974683544303798
s1,full,7,500,0.956,0.838,0.336,1.1914425955129866,0.4862562950692685,0.46501196001174117,1.7803347280334727
s1,full,8,500,0.954,0.858,0.356,1.2050226158526893,0.5006908601122342,0.45945516737560765,1.7882599580712788
s1,full,9,500,0.952,0.852,0.326,1.1939494508400283,0.5052552239720053,0.46282310371915447,1.773109243697479
s1,parity,0,500,0.86,0.984,0.376,0.9461897893688342,0.6125113565726481,0.47545093539036,1.7744186046511627
s1,parity,1,500,0.848,0.978,0.35,0.9059770335602881,0.6050346301114503,0.4692783689018638,1.8726415094339623
s1,parity,2,500,0.852,0.98,0.35,0.9204340287198017,0.6093747126776939,0.4669916540947113,1.8333333333333333
s1,parity,3,500,0.848,0.992,0.356,0.9267883891490656,0.6123043454443655,0.47141827735025355,1.8278301886792452
s1,parity,4,500,0.852,0.982,0.358,0.9065729030755963,0.6080246214601958,0.46994657466983875,1.8943661971830985
s1,parity,5,500,0.868,0.99,0.37,0.9453275412182629,0.6109326425644755,0.47141223428814183,1.8341013824884793
s1,parity,6,500,0.856,0.982,0.382,0.9463623814343257,0.6156342547959198,0.4805140925913621,1.8294392523364487
s1,parity,7,500,0.842,0.988,0.366,0.915933224483241,0.6073463969387766,0.47610928092013854,1.7648456057007127
s1,parity,8,500,0.842,0.978,0.386,0.9345379999263478,0.610011103906711,0.47933088860047346,1.809976247030879
s1,parity,9,500,0.86,0.98,0.382,0.939904248401602,0.6101298694579979,0.475436250216678,1.8186046511627907
s2,axis,0,500,0.842,0.114,0.318,0.8917404762908733,0.12868030818090007,0.4545174176321607,2.5154394299287413
s2,axis,1,500,0.84,0.106,0.292,0.8762186941274897,0.12459702471556904,0.44236221933833236,2.538095238095238
s2,axis,2,500,0.868,0.134,0.306,0.9159609389354542,0.13547872768393127,0.45144082689187587,2.5299539170506913
s2,axis,3,500,0.856,0.11,0.29,0.9114310704226509,0.12645927830139236,0.45143721847626533,2.4766355140186915
s2,axis,4,500,0.856,0.092,0.306,0.9148297706970857,0.1274469063935561,0.44799619987777944,2.5350467289719627
s2,axis,5,500,0.854,0.088,0.31,0.9041377689917783,0.12558349470133917,0.45564271488803276,2.3934426229508197
s2,axis,6,500,0.86,0.102,0.324,0.8921221361551477,0.12244231949289772,0.4520288668925913,2.558139534883721
s2,axis,7,500,0.862,0.12,0.316,0.913489918923105,0.13292782091701755,0.45317094183722484,2.4408352668213458
s2,axis,8,500,0.85,0.116,0.314,0.9017358268176158,0.123426790191393,0.45195874210625014,2.4141176470588235
s2,axis,9,500,0.86,0.11,0.326,0.9259571025775792,0.1267525516112779,0.4560046310111177,2.4488372093023254
s2,const,0,500,0.742,0.778,0.298,0.7658957514975909,0.4355034019320436,0.44148410196851057,2.9487870619946093
s2,const,1,500,0.762,0.766,0.304,0.7637801830405456,0.43477118187264663,0.444615735006337,2.7349081364829395
s2,const,2,500,0.782,0.802,0.304,0.7681080473632588,0.4613538012928615,0.45101064579006983,2.815856777493606
s2,const,3,500,0.804,0.78,0.312,0.7851827026898179,0.43159559714173457,0.44757176477125593,2.8930348258706466
