seed,unit,orient,di
0,0,H,-0.7544759
0,0,H,0.35868022
0,0,H,0.40124166
0,0,V,-1.0
0,0,V,-1.0
0,0,V,-1.0
0,0,V,-1.0
0,0,V,-0.9993074
0,0,V,-0.9834834
0,0,V,-0.99703264
0,1,H,-0.13819484
0,1,V,1.0
0,1,V,1.0
0,1,V,1.0
0,1,V,1.0
0,1,V,1.0
0,1,V,1.0
0,1,V,0.93466854
0,2,V,-0.2486635
0,2,V,-0.44059843
0,2,V,-0.37513167
0,2,V,0.48651978
0,3,H,-0.93261206
0,3,H,0.95410043
0,3,V,-0.9584931
0,3,V,-1.0
0,3,V,-1.0
0,3,V,-1.0
0,3,V,-0.8823456
0,4,H,0.6141073
0,4,H,0.60826445
0,4,H,0.61231047
0,4,H,0.07796885
0,4,H,0.11402757
0,4,H,0.17423037
0,4,H,0.2107511
0,4,H,0.06417704
0,4,H,0.048308916
0,4,H,-0.22809617
0,4,H,-0.12988594
0,4,H,-0.15756737
0,4,V,-0.24660192
0,4,V,-0.31586316
0,4,V,0.2539558
0,4,V,-0.0021388608
0,4,V,0.087989874
0,4,V,0.68608266
0,4,V,0.069813445
0,4,V,-0.04014473
0,4,V,0.10869334
0,4,V,0.53968686
0,4,V,0.48727912
0,4,V,0.41808864
0,5,H,0.20369719
0,5,H,0.04989921
0,5,H,0.02523004
0,5,H,-0.07406644
0,5,H,0.015525824
0,5,H,-0.038184885
0,5,H,-0.051785138
0,5,H,0.018929657
0,5,H,0.008355992
0,5,H,-0.017295921
0,5,H,-0.14993176
0,5,H,-0.16813508
0,5,H,-0.05613438
0,5,H,-0.11456695
0,6,H,-0.028035419
0,6,H,-0.0014702932
0,6,H,0.065776445
0,6,H,0.0006335558
0,6,H,0.038622662
0,6,H,-0.013349101
0,6,H,-0.11814287
0,6,H,-0.067121916
0,6,H,-0.1309979
0,6,V,0.03165704
0,6,V,0.023387367
0,6,V,0.044540755
0,6,V,0.00023137244
0,7,H,-0.999184
0,7,H,-0.99927586
0,7,H,-1.0
0,7,H,-0.8640766
0,8,V,0.07131987
0,8,V,0.099490784
0,8,V,-0.04345799
0,8,V,-0.24474552
0,8,V,0.22715266
0,8,V,-0.11480973
0,8,V,0.12750521
0,8,V,-0.13664939
0,8,V,0.16378064
0,8,V,0.1426183
0,8,V,0.34583223
0,8,V,-0.0993346
0,8,V,0.17975901
0,8,V,-0.26486376
0,8,V,0.45914134
0,8,V,-0.17599939
0,9,H,0.8528513
0,9,H,0.8499686
0,9,H,0.771577
0,9,V,-0.75669503
0,9,V,-0.599951
0,10,H,-0.056537118
0,10,H,0.09991424
0,10,H,-0.97511035
0,10,H,-0.77904594
0,10,V,0.3973538
0,10,V,0.34662816
0,10,V,0.5025269
0,10,V,0.54173356
0,10,V,0.4176107
0,10,V,0.96621174
0,11,H,0.3055043
0,11,H,0.3824699
0,11,H,0.11005654
0,11,H,0.039452896
0,11,H,0.040657006
0,11,H,0.14856961
0,11,H,-0.029143706
0,11,H,0.13679253
0,11,H,0.07336252
0,11,H,0.05609311
0,11,H,-0.076449975
0,11,H,-0.35169888
0,11,V,0.051238254
0,11,V,-0.0034366364
0,11,V,0.026378348
0,11,V,-0.0078115286
0,11,V,-0.005198204
0,11,V,0.03876997
0,12,H,-0.89934206
0,12,V,0.16893184
0,12,V,0.07314958
0,12,V,0.063139565
0,12,V,0.2876501
0,12,V,-0.62742007
0,12,V,-0.67952025
0,12,V,-0.64033127
0,12,V,-0.471576
0,12,V,-0.82477534
0,13,H,-0.99070394
0,13,H,-0.9942787
0,13,H,0.30368853
0,13,H,0.9472726
0,13,V,0.9980941
0,13,V,1.0
0,13,V,1.0
0,13,V,1.0
0,13,V,1.0
0,14,H,0.13327694
0,14,H,-0.06328544
0,14,H,-0.012808777
0,14,H,-0.2374444
0,14,V,0.13215305
0,14,V,-0.16580696
0,14,V,0.13339809
0,14,V,-0.11547293
0,14,V,0.25419438
0,15,H,0.66040653
0,15,H,0.1665657
0,15,H,0.24411802
0,15,H,0.036311425
0,15,H,0.077228464
0,15,H,0.15681686
0,15,H,0.20674859
0,15,H,-0.6851155
0,15,H,-0.78511065
0,15,V,-0.25880602
0,15,V,-0.3134683
0,15,V,-0.56373143
0,15,V,-0.13995376
0,15,V,-0.15443173
0,15,V,-0.3043945
0,15,V,-0.06531976
0,15,V,-0.04172863
0,15,V,-0.14769772
0,15,V,0.46203336
0,15,V,0.8572228
0,15,V,0.82447946
0,16,H,-0.9380898
0,16,H,-0.81614095
0,16,H,-0.83982956
0,16,V,0.20408161
0,16,V,0.15075989
0,16,V,0.17245877
0,16,V,0.2738839
0,16,V,0.39938718
0,17,H,-1.0
0,17,V,0.8033573
0,17,V,1.0
0,17,V,1.0
0,17,V,1.0
0,17,V,1.0
0,18,H,-0.9820136
0,18,H,-0.99241894
0,18,H,-0.9889386
0,18,H,-0.99962777
0,18,V,0.03397268
0,18,V,0.048280116
0,18,V,0.05243283
0,18,V,0.23427142
0,19,H,1.0
0,19,H,1.0
0,19,H,1.0
0,19,V,-0.9927276
0,19,V,-1.0
0,19,V,-1.0
0,20,V,0.24670324
0,20,V,0.44997573
0,20,V,0.38928023
0,20,V,0.2535796
0,21,V,0.53180236
0,21,V,-0.69407845
0,21,V,-0.7468159
0,21,V,-0.674617
0,21,V,0.56441575
0,21,V,-0.63233536
0,21,V,-0.482744
0,21,V,0.46209222
0,21,V,-0.68963623
0,21,V,-0.58621776
0,21,V,-0.6099956
0,21,V,0.6629263
0,22,H,0.16732182
0,22,H,-0.0061810254
0,22,H,0.019731501
0,22,H,0.08082856
0,22,H,0.025414277
0,22,H,-0.062857196
0,22,V,0.9636641
0,22,V,0.8743438
0,22,V,0.85640067
0,22,V,0.9448663
0,22,V,0.978018
0,23,H,-0.0900355
0,23,H,-0.09033677
0,23,H,0.09852875
0,23,H,-0.048458673
0,23,H,0.1159414
0,23,H,0.092455655
0,23,H,0.12306954
0,23,H,0.103888005
0,23,V,0.41231665
0,23,V,-0.23401524
0,23,V,0.22231852
0,23,V,0.17913482
0,23,V,0.2761438
0,23,V,-0.25695708
0,23,V,0.21044251
0,23,V,0.12909949
0,23,V,0.16375323
0,24,H,-1.0
0,24,H,-1.0
0,24,H,-1.0
0,24,H,-1.0
0,24,V,-1.0
0,24,V,-1.0
0,24,V,-1.0
0,24,V,-1.0
0,25,H,0.9974635
0,25,H,0.9747802
0,25,H,0.73951083
0,25,H,0.8553999
0,25,H,0.66922015
0,25,H,0.69726026
0,25,H,0.68521726
0,25,V,-0.18061039
0,25,V,-0.34231994
0,25,V,0.22789924
0,25,V,0.40238065
0,25,V,0.21709302
0,25,V,0.26045623
0,25,V,0.42888376
0,25,V,0.35771567
0,25,V,0.32807255
0,25,V,0.54793036
0,25,V,0.7743132
0,26,H,-0.041563597
0,26,H,-0.044228602
0,26,H,-0.049761176
0,26,H,-0.014984825
0,26,H,-0.025382472
0,26,H,-0.04637345
0,26,H,-0.15663265
0,26,H,-0.16084193
0,26,H,-0.0812783
0,26,V,-0.008699333
0,26,V,-0.0030709414
0,26,V,0.086282626
0,26,V,0.011719124
0,26,V,-0.010432814
0,26,V,0.1252023
0,26,V,0.15755436
0,27,V,0.12439996
0,27,V,-0.070279144
0,27,V,0.23733604
0,27,V,0.091015965
0,27,V,0.27837408
0,27,V,0.4394988
0,27,V,0.11799193
0,27,V,0.35137063
0,27,V,0.7618464
0,27,V,0.45047465
0,28,H,-0.99989325
0,28,H,-1.0
0,28,H,-0.9993056
0,28,H,-0.99181116
0,28,V,-1.0
0,28,V,-1.0
0,28,V,-1.0
0,28,V,-1.0
0,29,V,-0.050452303
0,29,V,-0.27385035
0,29,V,-0.37457445
0,29,V,-0.33231342
0,29,V,-0.13070166
0,30,H,0.26531118
0,30,H,-0.08771156
0,30,H,0.11046885
0,30,H,0.015442752
0,30,H,0.09733789
0,30,H,-0.0119668655
0,30,H,0.13976327
0,30,H,-0.028158817
0,30,H,-0.15421294
0,30,H,-0.37016696
0,30,V,0.17278653
0,30,V,0.20775092
0,31,V,0.49346006
0,31,V,0.48254094
0,31,V,0.54908884
0,31,V,0.9913806
0,31,V,0.33618295
0,31,V,0.49110833
0,31,V,0.30566612
0,31,V,0.47692907
0,31,V,0.5673487
0,31,V,0.4259388
0,31,V,-0.1259744
0,31,V,0.06417366
0,31,V,-0.08111686
0,32,V,-0.4697729
0,32,V,-0.48245934
0,32,V,-0.4553379
0,33,H,-0.024250124
0,33,H,-0.12646379
0,33,V,-0.09030882
0,33,V,0.0049370355
0,33,V,-0.068248644
0,34,H,0.8471233
0,34,H,0.8261986
0,34,H,-0.83649695
0,34,H,0.9003874
0,34,H,-0.85005814
0,34,H,-0.83141935
0,34,V,-0.7787473
0,34,V,0.93321913
0,34,V,-0.8529631
0,34,V,0.88635886
0,34,V,-0.82123524
0,34,V,0.93364286
0,35,H,1.0
0,35,V,0.9985774
0,36,H,0.36773515
0,36,H,0.38058075
0,36,H,0.3621366
0,36,H,0.32491827
0,36,V,0.011501887
0,36,V,-0.56322646
0,36,V,-0.36672583
0,36,V,-0.29797962
0,36,V,-0.43340528
0,37,H,-0.72168905
0,37,H,-0.9571775
0,37,H,-0.9585379
0,37,H,-0.98088527
0,37,H,-0.64717305
0,37,H,-0.9826164
0,37,H,-0.9475259
0,37,H,-0.6282094
0,37,H,-0.26387382
0,37,V,0.74960065
0,37,V,0.69731486
0,37,V,0.7022917
0,37,V,0.4672508
0,38,H,0.94538707
0,38,H,0.9971098
0,38,H,0.99820113
0,38,H,0.995954
0,38,H,-1.0
0,38,V,1.0
0,38,V,1.0
0,38,V,1.0
0,38,V,1.0
0,39,H,0.291346
0,39,H,-0.02676556
0,39,H,-0.011866309
0,39,H,0.10108173
0,39,H,-0.17784476
0,39,V,-0.443932
0,39,V,-0.26022723
0,39,V,-0.33575213
0,39,V,-0.41524735
0,39,V,-0.15104423
0,40,H,0.336946
0,40,H,0.14250568
0,40,H,-0.03622691
0,40,H,-0.022831628
0,40,H,-0.03242432
0,40,H,-0.18676805
0,40,H,0.14427862
0,40,H,-0.040541448
0,40,H,-0.056263305
0,40,H,-0.0074629253
0,40,H,-0.16720152
0,40,V,-0.1890108
0,40,V,-0.23597933
0,40,V,0.05299529
0,40,V,0.009296878
0,40,V,0.061500598
0,40,V,-0.0237583
0,40,V,0.18553235
0,40,V,0.03010966
0,40,V,0.015567827
0,40,V,0.032201
0,40,V,-0.037455674
0,40,V,0.33287454
0,41,H,0.02768913
0,41,V,1.0
0,41,V,1.0
0,42,H,-1.0
0,42,H,-1.0
0,42,V,0.043304667
0,42,V,1.0
0,42,V,0.2694672
0,42,V,1.0
0,42,V,0.32136315
0,42,V,0.1675005
0,43,H,-1.0
0,43,H,-0.9990928
0,43,V,-1.0
0,43,V,-0.8790306
0,43,V,-0.7981142
0,43,V,-0.7976217
0,43,V,-0.8086987
0,44,H,-0.95463043
0,44,H,-0.92798454
0,44,H,-0.9762673
