condition,encoding,seed,group,m1,m2,bi_frac,raw_m1,raw_m2,raw_bi_frac,n_tuned,n_units,n_cells_vis,best_shift,pred_shift,rot_gain,corr_pred,corr_none,local_m1
s1,full,0,c2,0.34043,0.23565,0.3435,0.3469,0.24044,0.33569,460,500,324,0,2,-1.058,-0.30869,0.74931,0.38476
s1,full,0,c4,0.34043,0.23565,0.3435,0.3469,0.24044,0.33569,460,500,324,0,3,-0.8076,-0.10037,0.70723,0.43558
s1,full,1,c2,0.33371,0.23704,0.35365,0.34141,0.24379,0.3516,469,500,324,0,2,-1.05324,-0.29374,0.75951,0.37907
s1,full,1,c4,0.33371,0.23704,0.35365,0.34141,0.24379,0.3516,469,500,324,0,3,-0.8229,-0.11178,0.71112,0.42524
s1,full,2,c2,0.34832,0.2295,0.32828,0.35307,0.23648,0.32205,473,500,324,0,2,-1.08907,-0.33418,0.75489,0.39396
s1,full,2,c4,0.34832,0.2295,0.32828,0.35307,0.23648,0.32205,473,500,324,0,3,-0.82455,-0.10496,0.71959,0.43742
s1,full,3,c2,0.34538,0.2295,0.32929,0.35218,0.2389,0.33176,475,500,324,0,2,-1.1286,-0.34887,0.77973,0.38894
s1,full,3,c4,0.34538,0.2295,0.32929,0.35218,0.2389,0.33176,475,500,324,0,3,-0.84514,-0.1224,0.72274,0.43497
s1,full,4,c2,0.33375,0.21947,0.32329,0.33862,0.22869,0.32405,463,500,324,0,2,-1.07272,-0.3231,0.74962,0.37657
s1,full,4,c4,0.33375,0.21947,0.32329,0.33862,0.22869,0.32405,463,500,324,0,3,-0.79633,-0.08716,0.70917,0.42606
s1,full,5,c2,0.3404,0.221,0.32653,0.34538,0.22981,0.33129,474,500,324,0,2,-1.11387,-0.3453,0.76857,0.38536
s1,full,5,c4,0.3404,0.221,0.32653,0.34538,0.22981,0.33129,474,500,324,0,3,-0.82922,-0.10848,0.72074,0.42809
s1,full,6,c2,0.33584,0.23694,0.33444,0.3378,0.23989,0.33287,461,500,324,0,2,-1.08482,-0.33085,0.75397,0.38551
s1,full,6,c4,0.33584,0.23694,0.33444,0.3378,0.23989,0.33287,461,500,324,0,3,-0.80015,-0.09841,0.70174,0.42982
s1,full,7,c2,0.33058,0.22157,0.33558,0.3335,0.23278,0.34227,473,500,323,0,2,-1.05382,-0.31499,0.73882,0.38143
s1,full,7,c4,0.33058,0.22157,0.33558,0.3335,0.23278,0.34227,473,500,323,0,3,-0.75717,-0.07692,0.68025,0.43014
s1,full,8,c2,0.33226,0.21781,0.32236,0.3403,0.23036,0.31758,471,500,324,0,2,-1.09111,-0.33528,0.75583,0.37797
s1,full,8,c4,0.33226,0.21781,0.32236,0.3403,0.23036,0.31758,471,500,324,0,3,-0.79887,-0.087,0.71187,0.42479
s1,full,9,c2,0.34269,0.21543,0.31254,0.34724,0.22276,0.31059,472,500,323,0,2,-1.133,-0.36914,0.76385,0.38956
s1,full,9,c4,0.34269,0.21543,0.31254,0.34724,0.22276,0.31059,472,500,323,0,3,-0.79213,-0.08328,0.70885,0.43691
s1,axis,0,c2,0.04872,0.41631,0.93142,0.06965,0.41723,0.89369,410,500,324,2,2,0.57,0.85859,0.28859,0.20742
s1,axis,0,c4,0.04872,0.41631,0.93142,0.06965,0.41723,0.89369,410,500,324,2,3,-0.54468,-0.1928,0.35188,0.32874
s1,axis,1,c2,0.04901,0.40135,0.91867,0.06069,0.40173,0.89577,405,500,324,2,2,0.63793,0.87375,0.23582,0.20808
s1,axis,1,c4,0.04901,0.40135,0.91867,0.06069,0.40173,0.89577,405,500,324,2,3,-0.50242,-0.15919,0.34323,0.33115
s1,axis,2,c2,0.04411,0.4054,0.93622,0.06699,0.40484,0.88964,402,500,324,2,2,0.66495,0.89035,0.2254,0.20265
s1,axis,2,c4,0.04411,0.4054,0.93622,0.06699,0.40484,0.88964,402,500,324,2,3,-0.55493,-0.20273,0.35221,0.32101
s1,axis,3,c2,0.04776,0.3995,0.92492,0.06805,0.40206,0.87867,418,500,324,2,2,0.57584,0.86472,0.28888,0.19668
s1,axis,3,c4,0.04776,0.3995,0.92492,0.06805,0.40206,0.87867,418,500,324,2,3,-0.54947,-0.19496,0.35451,0.32476
s1,axis,4,c2,0.04729,0.39888,0.92245,0.05663,0.40017,0.90875,409,500,324,2,2,0.63342,0.88098,0.24756,0.205
s1,axis,4,c4,0.04729,0.39888,0.92245,0.05663,0.40017,0.90875,409,500,324,2,3,-0.47355,-0.14335,0.33021,0.33996
s1,axis,5,c2,0.04314,0.39931,0.94053,0.06012,0.39615,0.89532,402,500,324,2,2,0.65291,0.89011,0.2372,0.19335
s1,axis,5,c4,0.04314,0.39931,0.94053,0.06012,0.39615,0.89532,402,500,324,2,3,-0.52302,-0.18386,0.33916,0.31942
s1,axis,6,c2,0.04734,0.40368,0.93216,0.05911,0.40795,0.90717,404,500,324,2,2,0.6248,0.87277,0.24797,0.19661
s1,axis,6,c4,0.04734,0.40368,0.93216,0.05911,0.40795,0.90717,404,500,324,2,3,-0.56181,-0.19804,0.36377,0.31982
