hd_mode,seed,condition,group,chance,across_episode_phase_acc,within_episode_balanced_acc,raw_r2,domain_r2,n_episodes,n_states,within_bal_acc_t0-10,majority_baseline_t0-10,p_z1_t0-10,within_bal_acc_t10-25,majority_baseline_t10-25,p_z1_t10-25,within_bal_acc_t25-50,majority_baseline_t25-50,p_z1_t25-50,within_bal_acc_t50-100,majority_baseline_t50-100,p_z1_t50-100,within_bal_acc_t100-inf,majority_baseline_t100-inf,p_z1_t100-inf
axis,0,s2,c2,0.5,0.5130458356255658,0.5509393630343438,-0.032088708877563474,0.9363237023353577,206,40000,0.7712193591970662,0.9145631067961165,0.0854368932038835,0.6437071030667149,0.7715210355987054,0.2284789644012945,0.5774871450927789,0.6926829268292682,0.3073170731707317,0.5330778175894602,0.6139512195121951,0.3860487804878049,0.5209731944637082,0.5335558408215662,0.4664441591784339
axis,1,s2,c2,0.5,0.5231175055372338,0.5763086876836926,-0.02392430305480957,0.9310136198997497,206,40000,0.8023962055129359,0.9131067961165049,0.08689320388349514,0.6610387762938152,0.7624595469255664,0.23754045307443367,0.6197515105369684,0.689170731707317,0.3108292682926829,0.5734989874266067,0.6415609756097561,0.3584390243902439,0.5395830860894768,0.581206675224647,0.418793324775353
axis,2,s2,c2,0.5,0.5278660012932537,0.5412564989490702,-0.027839457988739012,0.9375580191612244,206,40000,0.7621183822374278,0.9427184466019417,0.05728155339805825,0.6394629338852893,0.8255663430420712,0.1744336569579288,0.6024485798415022,0.7012682926829268,0.29873170731707316,0.5113251062308926,0.6479024390243903,0.35209756097560974,0.5136496485208832,0.555584082156611,0.44441591784338896
axis,3,s2,c2,0.5,0.5412237663327868,0.5361087023962635,-0.011143946647644043,0.9424815654754639,206,40000,0.7720425542863023,0.920388349514563,0.07961165048543689,0.6139151225343693,0.7734627831715211,0.22653721682847897,0.5228327649093767,0.7104390243902439,0.2895609756097561,0.5241155896294645,0.616780487804878,0.38321951219512196,0.512152628932911,0.5595378690629011,0.44046213093709885
axis,4,s2,c2,0.5,0.525340351661114,0.5556246009248329,-0.032838845252990724,0.9300292730331421,206,40000,0.708667271779224,0.9485436893203884,0.05145631067961165,0.6525646726218128,0.8517799352750809,0.14822006472491908,0.6146995354961413,0.7192195121951219,0.2807804878048781,0.5490446834978262,0.6006829268292683,0.39931707317073173,0.5192936863887292,0.5548138639281129,0.44518613607188706
axis,5,s2,c2,0.5,0.5267479962859951,0.5389066230815798,-0.023869287967681885,0.930500864982605,206,40000,0.7451910488924576,0.9427184466019417,0.05728155339805825,0.6544922548042499,0.8126213592233009,0.18737864077669902,0.58178693691246,0.6995121951219512,0.30048780487804877,0.5220744646044069,0.6070243902439024,0.3929756097560976,0.5030131212504433,0.5414120667522464,0.45858793324775354
axis,6,s2,c2,0.5,0.512159044414984,0.5403818495125327,-0.039365530014038086,0.9420458912849426,206,40000,0.6716494845360825,0.941747572815534,0.05825242718446602,0.6248562014928538,0.8032362459546926,0.19676375404530744,0.5703848876407857,0.6835121951219512,0.3164878048780488,0.5336988535170046,0.6129756097560976,0.38702439024390245,0.5078930806060966,0.5362772785622594,0.4637227214377407
axis,7,s2,c2,0.5,0.5148030816599067,0.5216232864145107,-0.05401910543441772,0.9208971738815308,206,40000,0.7702057327167589,0.9131067961165049,0.08689320388349514,0.5925968305719704,0.7880258899676376,0.21197411003236247,0.5156056466302368,0.7024390243902439,0.2975609756097561,0.5073585966983954,0.6068292682926829,0.3931707317073171,0.503405000014582,0.5218998716302953,0.4781001283697047
axis,8,s2,c2,0.5,0.5310642472446291,0.5422861969377997,-0.01510111689567566,0.9384392976760865,206,40000,0.7020304252743204,0.9480582524271844,0.051941747572815535,0.6143434290048997,0.8394822006472492,0.16051779935275082,0.5766398390342052,0.6926829268292682,0.3073170731707317,0.5469484468198437,0.5805853658536586,0.41941463414634145,0.5030417315490352,0.542798459563543,0.542798459563543
axis,9,s2,c2,0.5,0.5176724602793202,0.5301949093774387,-0.04021235704421997,0.9257663011550903,206,40000,0.6959200458223795,0.9310679611650485,0.06893203883495146,0.6235716847998349,0.7906148867313916,0.20938511326860842,0.5393919862662147,0.7233170731707317,0.2766829268292683,0.5157229221453555,0.6191219512195122,0.3808780487804878,0.5059298374705131,0.5157894736842106,0.4842105263157895
