k,hd_mode,seed,n_place,mean_field_area
0,full,0,455,31.6603
0,full,1,457,33.2737
0,full,2,463,35.8139
0,full,3,463,32.3539
0,full,4,456,33.8248
0,full,5,462,35.9034
1,full,0,439,41.0257
1,full,1,447,41.1777
1,full,2,440,41.7484
1,full,3,434,41.1928
1,full,4,438,40.6116
1,full,5,446,38.4895
3,full,0,454,41.9778
3,full,1,467,41.9986
3,full,2,465,42.4192
3,full,3,468,43.4902
3,full,4,452,42.4098
3,full,5,466,40.0078
5,full,0,478,39.8041
5,full,1,479,39.8257
5,full,2,477,38.9556
5,full,3,480,39.8787
5,full,4,466,38.4965
5,full,5,471,41.1241
5,full,6,477,40.3332
5,full,7,478,39.4809
5,full,8,471,39.6591
5,full,9,474,39.8662
