condition,hd_mode,seed,n_place,mean_fields,median_fields,frac_multifield,mean_field_area,sym_c2,sym_c4
s1,axis,0,436,2.1926605504587156,2.0,0.7224770642201835,42.77913390126693,0.6077643587817749,0.24420498612478078
s1,axis,1,437,2.2494279176201375,2.0,0.7208237986270023,43.46299989103193,0.6018862659770292,0.2596450864081942
s1,axis,2,439,2.1822323462414577,2.0,0.7061503416856492,41.769348627833814,0.5961608858070179,0.24804545561754895
s1,axis,3,431,2.1508120649651974,2.0,0.6890951276102089,42.403905645784995,0.6109106270721815,0.24722161255914482
s1,axis,4,443,2.1422121896162527,2.0,0.7110609480812641,42.236982693754705,0.5887382484810757,0.2493408803828504
s1,axis,5,433,2.2055427251732103,2.0,0.7367205542725174,42.07143956889916,0.6251267755663278,0.2646154983085235
s1,const,0,405,2.417283950617284,2.0,0.6296296296296297,47.014844209288654,0.49963009523258756,0.4337054361600946
s1,const,1,400,2.5175,2.0,0.6575,42.904110119047616,0.4992999440368759,0.4416876704751472
s1,const,2,386,2.393782383419689,2.0,0.6424870466321243,45.971200345423135,0.5255203397743526,0.4577884809257176
s1,const,3,392,2.441326530612245,2.0,0.6479591836734694,42.43455417881439,0.4959149214136978,0.44283248438535305
s1,const,4,396,2.398989898989899,2.0,0.648989898989899,47.25018638768639,0.5502575566462156,0.47447395496712574
s1,const,5,402,2.442786069651741,2.0,0.6517412935323383,45.41424425491589,0.5322515773252039,0.45097085307037743
s1,full,0,486,1.7921810699588476,2.0,0.5288065843621399,38.72848079561042,-0.014349298854703702,0.04694778833624201
s1,full,1,485,1.797938144329897,2.0,0.5443298969072164,39.83058419243986,0.00967170691065889,0.055987236257224085
s1,full,2,478,1.8054393305439331,2.0,0.5271966527196653,40.63052898983861,-0.018464653826214757,0.03772364467361162
s1,full,3,480,1.7291666666666667,1.0,0.4895833333333333,40.44979662698413,0.006814770601098008,0.042903170027025865
s1,full,4,481,1.7817047817047817,2.0,0.501039501039501,41.7513167013167,0.020961091676565322,0.05024466845848645
s1,full,5,480,1.7770833333333333,2.0,0.5020833333333333,40.00659722222222,-0.03042083205412894,0.0305659120992097
s1,parity,0,434,1.8433179723502304,2.0,0.532258064516129,46.68479262672811,0.10251088313434646,0.1814581829492052
s1,parity,1,426,1.8896713615023475,2.0,0.5258215962441315,44.65117370892019,0.09190585242551261,0.1883495727120695
s1,parity,2,433,1.8937644341801385,2.0,0.5011547344110855,44.878659408336084,0.12598499335659474,0.20460091454124063
s1,parity,3,428,1.8925233644859814,2.0,0.514018691588785,45.42390965732086,0.125762101004565,0.21334547497291506
s1,parity,4,428,1.894859813084112,2.0,0.5420560747663551,44.941850244770805,0.09502375751728774,0.18354539540211096
s1,parity,5,438,1.8767123287671232,2.0,0.5159817351598174,44.773711676451406,0.1135926297137892,0.19740999062626233
s2,axis,0,422,2.571090047393365,2.0,0.7938388625592417,46.45826844955992,0.9734581570640393,0.37590959508846994
s2,axis,1,426,2.5610328638497655,2.0,0.8356807511737089,42.55348759221999,0.9729959731631747,0.36947336249902657
s2,axis,2,434,2.5622119815668203,2.0,0.8248847926267281,43.17506857581742,0.9746109862791149,0.37927392794038717
s2,axis,3,430,2.488372093023256,2.0,0.7813953488372093,45.56735880398671,0.9752145528007838,0.38557645879406127
s2,axis,4,435,2.581609195402299,2.0,0.8160919540229885,42.96521072796935,0.9743996277453468,0.37942742254681183
s2,axis,5,430,2.5046511627906978,2.0,0.7976744186046512,45.43900055370986,0.9737037262396704,0.35733109067801694
s2,const,0,375,2.928,3.0,0.7946666666666666,45.80643174603175,0.9667952638549201,0.6130158931974012
s2,const,1,382,2.75130890052356,2.0,0.7617801047120419,48.440974819247074,0.9681104887908593,0.6145048306902005
s2,const,2,392,2.885204081632653,2.0,0.7653061224489796,50.00987913022352,0.970170556025174,0.6198385370520167
s2,const,3,401,2.932668329177057,3.0,0.7830423940149626,43.64177947987175,0.9693041514248832,0.6101491221494282
s2,const,4,391,3.0562659846547313,3.0,0.8081841432225064,42.6976383306946,0.9678431746380574,0.6231778090357426
s2,const,5,390,2.9512820512820515,2.0,0.7948717948717948,45.461445868945866,0.9705941146420941,0.6290421602074094
s2,full,0,476,1.9474789915966386,2.0,0.5777310924369747,39.515421168467384,0.15521619264465386,0.11795574123872261
s2,full,1,482,1.966804979253112,2.0,0.5912863070539419,38.85664394388461,0.16850368012610883,0.11628380411521995
s2,full,2,479,2.020876826722338,2.0,0.5908141962421712,38.27665274878218,0.14594583843376044,0.11316195355108784
s2,full,3,482,1.9087136929460582,2.0,0.5560165975103735,40.15805176842521,0.1496432815731167,0.10472837131242252
s2,full,4,469,1.9680170575692963,2.0,0.6012793176972282,38.524901005178194,0.1452638500660803,0.11715224874614609
s2,full,5,471,1.9660297239915074,2.0,0.5923566878980892,39.49918612880397,0.17502570186280736,0.11687437142297571
s2,parity,0,426,2.032863849765258,2.0,0.5868544600938967,43.05118488710038,0.3822931699823613,0.2831052848993632
s2,parity,1,413,2.070217917675545,2.0,0.5956416464891041,46.82982243744956,0.3625169314815144,0.291804100375038
s2,parity,2,419,2.054892601431981,2.0,0.5751789976133651,47.28412887828162,0.3631055815204435,0.2890658439092682
s2,parity,3,427,1.990632318501171,2.0,0.5737704918032787,46.77423329987733,0.37198299529651047,0.28908135647062294
s2,parity,4,425,2.0447058823529414,2.0,0.5694117647058824,46.828700280112045,0.3495202374622993,0.28623090357351133
s2,parity,5,418,2.0191387559808613,2.0,0.583732057416268,45.45458817498291,0.3449449556349383,0.2794651405246684
s4,axis,0,419,2.9140811455847255,3.0,0.8114558472553699,42.678415160813735,0.9723266832661128,0.5556490494292087
s4,axis,1,423,3.0354609929078014,3.0,0.8037825059101655,41.89751773049646,0.9700471155257209,0.5660827473244313
s4,axis,2,423,3.0307328605200947,3.0,0.8321513002364066,40.37834909377463,0.9701898527136478,0.573868907181812
s4,axis,3,423,3.0638297872340425,3.0,0.8392434988179669,40.00672164058689,0.9713327069118934,0.5684949919253142
s4,const,0,386,3.471502590673575,4.0,0.7227979274611399,49.425015327217395,0.9660347423577945,0.9683015869044553
s4,const,1,382,3.384816753926702,4.0,0.6910994764397905,52.67434536086369,0.9626995757576412,0.96393046899595
s4,const,2,385,3.2831168831168833,4.0,0.6883116883116883,52.43814574314574,0.9633821097395276,0.965364101456845
s4,const,3,381,3.4330708661417324,4.0,0.6929133858267716,50.03314377369496,0.9668476960254015,0.9682678129583121
s4,full,0,474,2.329113924050633,2.0,0.6518987341772152,37.86415511352221,0.14182214887553998,0.19522655746301332
s4,full,1,466,2.152360515021459,2.0,0.6201716738197425,39.284198514885205,0.10784516620763006,0.17040622362268168
s4,full,2,477,2.2683438155136266,2.0,0.6289308176100629,37.97730025623107,0.11458362043474965,0.17607980642202825
s4,full,3,471,2.2887473460721868,2.0,0.6284501061571125,37.79380750176929,0.11577694022901643,0.18901352306178038
s4,parity,0,410,2.4,2.0,0.5756097560975609,47.02860336817655,0.351872185761039,0.5060766717382706
s4,parity,1,396,2.345959595959596,2.0,0.6035353535353535,46.52836199294532,0.31335167783276646,0.48864155771486417
