rat,cell,fid,orient,rep,di
R765,R765_DFD4_22,51,H,True,0.4933188499230734
R765,R765_DFD4_23,52,H,False,-0.22071200940494118
R765,R765_DFD4_24,54,H,False,0.116814154322704
R765,R765_DFD4_25,56,H,False,0.12416673494338396
R765,R765_DFD4_27,58,H,False,-0.5923332945170886
R765,R765_DFD4_28,59,H,True,-0.3331045700873367
R765,R765_DFD4_28,61,H,True,-1.0
R765,R765_DFD4_28,62,V,True,-0.6020493036981359
R765,R765_DFD4_29,63,V,False,1.0
R765,R765_DFD4_30,64,V,False,-0.6833871234195407
R765,R765_DFD4_30,66,V,False,-0.6699187318405685
R765,R765_DFD4_32,69,V,False,0.4211550402471445
R765,R765_DFD4_33,71,V,False,0.030344869240587147
R765,R765_DFD4_34,72,V,False,-0.09563551718056906
R765,R765_DFD4_34,73,H,False,0.28896222445078706
R765,R765_DFD4_35,74,H,True,0.5105914280374876
R765,R765_DFD4_35,76,H,True,-0.31649417199752705
R765,R765_DFD4_35,77,H,True,0.8156558918009154
R765,R765_DFD4_35,78,H,True,0.6472625110914652
R765,R765_DFD4_35,79,H,True,0.057637360750413265
R765,R765_DFD4_36,80,H,False,0.24738461969906167
R765,R765_DFD4_36,81,H,False,0.2725383887751666
R765,R765_DFD4_37,82,V,True,0.014706800884581013
R765,R765_DFD4_38,84,H,False,0.5641793359663867
R765,R765_DFD4_39,86,H,False,-0.24911956843310484
R765,R765_DFD4_41,88,V,True,-0.4693230486736225
R765,R765_DFD4_41,89,V,True,-0.6257716598704816
R765,R765_DFD4_41,91,V,True,-0.5286393105326032
R765,R765_DFD4_42,92,H,True,1.0
R765,R765_DFD4_42,93,H,True,1.0
R765,R765_DFD4_42,95,H,True,0.7555314445407916
R765,R765_DFD4_43,96,H,False,1.0
R765,R765_DFD4_44,97,H,True,0.5248292530003705
R765,R765_DFD4_44,98,H,True,-0.3704840501532382
R765,R765_DFD4_45,100,H,False,-0.26309502191137674
R765,R765_DFD4_46,101,V,True,-0.14086859008287952
R765,R765_DFD4_46,102,V,True,0.5181669180309758
R765,R765_DFD4_46,103,H,True,-0.4387527831621471
R765,R765_DFD4_47,104,V,False,0.2095277378196241
