k,seed,dwell_bin,room_gen,room_seen,within_r2,repetition,n
0,0,0-2,0.49141414141414136,0.5000000000000001,-3.630591099177722,nan,254
0,0,2-5,0.6142235123367199,0.553701015965167,-0.8183884797540306,nan,369
0,0,5-10,0.5075945460228161,0.5599999999999999,0.838299040062833,0.7050315014342503,576
0,0,10-inf,0.49931043261358193,0.520375347612724,0.7991583109187669,0.9788643046210534,14145
0,1,0-2,0.49989547038327525,0.5047568710359408,0.14098252815362486,nan,225
0,1,2-5,0.5616826923076923,0.5654807692307692,0.7213665526558299,0.9397770491425044,331
0,1,5-10,0.5389167441461019,0.6075471698113206,0.8871315921043946,0.8554866711761839,541
0,1,10-inf,0.5269719885007843,0.5434387634107367,0.8366223076971796,0.9835084443440429,14930
0,2,0-2,0.4558721049395368,0.40555555555555556,0.06173063778812776,nan,216
0,2,2-5,0.4886792452830189,0.5113207547169811,0.7292100393041681,0.9363888415989751,320
0,2,5-10,0.5021651964715317,0.5115477145148356,0.7269659432735535,0.9050231118779128,518
0,2,10-inf,0.49367838982789786,0.525638403513633,0.8521349234886065,0.9828277058700061,14314
0,3,0-2,0.49777777777777776,0.519390243902439,0.00616217243784396,nan,220
0,3,2-5,0.5096245372818615,0.5031729243786356,0.4952787127092241,0.857370865180863,327
0,3,5-10,0.5493318532884216,0.5799705449189985,0.774348510138459,0.7830196462488982,532
0,3,10-inf,0.5190236895381084,0.5291870100004588,0.8293900089082407,0.9841031011793233,13424
0,4,0-2,0.5290998363338788,0.431219512195122,0.13296464030172392,nan,224
0,4,2-5,0.5404019635083819,0.6033333333333333,0.6908196986950009,nan,330
0,4,5-10,0.48395648688518306,0.624,0.633421189113714,0.82192637665,540
0,4,10-inf,0.5004420132809098,0.512937611020791,0.8879407069215105,0.9786972150958807,15177
0,5,0-2,0.4503968253968254,0.475,0.14650290026714485,nan,246
0,5,2-5,0.4928571428571429,0.5214912280701754,0.5400102041438417,0.9522958852397625,355
0,5,5-10,0.5829192546583851,0.5917343526039178,0.8337311752053772,0.8052188764194679,578
0,5,10-inf,0.4888849976892372,0.5166470398771302,0.7667403077757069,0.9761924474734304,14827
0,6,0-2,0.45616883116883117,0.40455192034139403,0.28749662854841507,nan,236
0,6,2-5,0.49622895622895624,0.5256493506493507,0.7632341323481834,0.8872621485418521,348
0,6,5-10,0.5179792305073203,0.6149642492339121,0.6129761688242465,0.809244484903012,559
0,6,10-inf,0.5143147001900296,0.5231433506044905,0.8018250754657178,0.9832231157829676,14583
0,7,0-2,0.556578947368421,0.4909090909090909,0.20920106452539738,nan,230
0,7,2-5,0.5814537545787546,0.584375,0.7330445957517923,nan,340
0,7,5-10,0.5896624720721,0.6084097035040432,0.5329408313683917,0.8161718324838371,547
0,7,10-inf,0.5219589222519921,0.5403625697349466,0.7607305957040029,0.983135114361071,13649
1,0,0-2,0.505297619047619,0.5944444444444444,0.3615246693653899,nan,256
1,0,2-5,0.5497822931785196,0.5724963715529753,0.862528487485599,nan,372
1,0,5-10,0.537317158931083,0.54,0.946147804036628,0.7891251069962878,581
1,0,10-inf,0.5199751212929496,0.5145922031963105,0.9557847511808916,0.9812876194513018,14089
1,1,0-2,0.5449999999999999,0.6006342494714588,0.5825749589429879,nan,229
1,1,2-5,0.578125,0.559375,0.890876766936627,0.9473788513990945,332
1,1,5-10,0.5118438680690061,0.5528301886792452,0.9626875321981047,0.8753405505776373,545
1,1,10-inf,0.5025024362183559,0.535191482012878,0.9700984226771613,0.9855155329835285,14930
1,2,0-2,0.4900876095118899,0.5052552552552553,0.429827809141746,nan,218
1,2,2-5,0.5553535353535353,0.5255892255892256,0.40878555408061984,0.9534574876682191,323
1,2,5-10,0.5675448009737045,0.5632277834525026,0.31338672248421034,0.9002355555933685,523
1,2,10-inf,0.5058289508751633,0.5248179560622379,0.940098031791867,0.9858119655728061,14327
1,3,0-2,0.5122222222222221,0.6418292682926829,0.2691405751091974,nan,220
1,3,2-5,0.549074563722898,0.5229508196721312,0.83977482104855,0.8980799752865265,327
1,3,5-10,0.5410414752815489,0.5861140332421628,0.9689156797340666,0.8562516575897623,531
1,3,10-inf,0.5145060399930167,0.52432525010004,0.9620951979175869,0.9856828766188444,13349
