mode,seed,k,matched_cell_dist_norm,n_cells_matched
translation,0,3,0.15082702040672302,36
translation,1,3,0.10422487556934357,36
translation,2,3,0.12867556512355804,36
translation,3,3,0.13587620854377747,36
translation,4,3,0.14961294829845428,36
translation,5,3,0.133101686835289,36
translation,6,3,0.1383499801158905,36
translation,7,3,0.12438453733921051,36
rotation,0,3,1.288090467453003,36
rotation,1,3,1.4519221782684326,36
rotation,2,3,1.1863622665405273,36
rotation,3,3,1.2810544967651367,36
rotation,4,3,1.1814069747924805,36
rotation,5,3,1.155982494354248,36
rotation,6,3,1.297164797782898,36
rotation,7,3,1.6195954084396362,36
