mode,seed,k,matched_cell_dist_norm,n_cells_matched
translation,0,3,0.1931600719690323,36
translation,1,3,0.13797208666801453,36
translation,2,3,0.16813820600509644,36
translation,3,3,0.1764538735151291,36
translation,4,3,0.19302402436733246,36
translation,5,3,0.15792833268642426,36
translation,6,3,0.18517465889453888,36
translation,7,3,0.16484984755516052,36
rotation,0,3,1.7964317798614502,36
rotation,1,3,1.8905545473098755,36
rotation,2,3,1.5946022272109985,36
rotation,3,3,1.8788021802902222,36
rotation,4,3,1.2766515016555786,36
rotation,5,3,1.5820940732955933,36
rotation,6,3,1.8156297206878662,36
rotation,7,3,1.9240549802780151,36
