k,mode,seed,matched_cell_dist_norm,n_cells_matched
0,translation,0,0.21126194298267365,36
0,translation,1,0.18575164675712585,36
0,translation,2,0.2079174965620041,36
0,translation,3,0.17081831395626068,36
0,translation,4,0.2090894877910614,36
0,translation,5,0.20500777661800385,36
0,translation,6,0.21018216013908386,36
0,translation,7,0.2113533616065979,36
0,rotation,0,0.21277159452438354,36
0,rotation,1,0.164406418800354,36
0,rotation,2,0.24417714774608612,36
0,rotation,3,0.18867440521717072,36
0,rotation,4,0.23620446026325226,36
0,rotation,5,0.20290522277355194,36
0,rotation,6,0.23739267885684967,36
0,rotation,7,0.22114424407482147,36
1,translation,0,0.19651925563812256,36
1,translation,1,0.16667333245277405,36
1,translation,2,0.1924312561750412,36
1,translation,3,0.1708943098783493,36
1,translation,4,0.20342716574668884,36
1,translation,5,0.18966127932071686,36
1,translation,6,0.1869966834783554,36
1,translation,7,0.19704709947109222,36
1,rotation,0,0.2565496861934662,36
1,rotation,1,0.247309610247612,36
1,rotation,2,0.301286906003952,36
1,rotation,3,0.22958171367645264,36
1,rotation,4,0.31236985325813293,36
1,rotation,5,0.21236881613731384,36
1,rotation,6,0.32014769315719604,36
1,rotation,7,0.22296865284442902,36
