condition,hd_mode,seed,n_cells,stress_X,stress_XG_c2,stress_XG_c4,stress_sham,stress_shuffled,fold_cos_c2,fold_cos_c4,gain_c2,gain_c4,gain_c2_vs_sham
s1,full,0,324,0.0901,0.4813,0.5163,0.3365,0.5768,0.3291,0.3382,-0.3912,-0.4262,-0.1448
s1,full,1,324,0.0994,0.4811,0.5158,0.3394,0.5771,0.3538,0.3369,-0.3817,-0.4164,-0.1417
s1,full,2,324,0.0921,0.4839,0.5163,0.3405,0.5737,0.3421,0.3413,-0.3918,-0.4242,-0.1434
s1,full,3,324,0.0909,0.4794,0.5165,0.3414,0.5842,0.3808,0.3364,-0.3885,-0.4256,-0.138
s1,full,4,324,0.0907,0.481,0.5168,0.3409,0.5755,0.3565,0.3396,-0.3903,-0.4261,-0.1401
s1,full,5,324,0.0931,0.484,0.5159,0.3449,0.5729,0.319,0.3375,-0.3909,-0.4228,-0.1391
s1,full,6,324,0.0928,0.4789,0.5174,0.3423,0.5772,0.3429,0.334,-0.3861,-0.4246,-0.1366
s1,full,7,324,0.093,0.484,0.5156,0.3388,0.5771,0.3397,0.3472,-0.391,-0.4226,-0.1452
s1,full,8,324,0.0936,0.4827,0.5156,0.342,0.5761,0.3402,0.3417,-0.3891,-0.422,-0.1407
s1,full,9,324,0.0938,0.481,0.5156,0.3422,0.5767,0.341,0.3446,-0.3872,-0.4218,-0.1388
s1,parity,0,324,0.2177,0.4493,0.4684,0.3822,0.565,0.523,0.5539,-0.2316,-0.2507,-0.0671
s1,parity,1,324,0.2044,0.4577,0.4663,0.3733,0.5617,0.5412,0.5631,-0.2533,-0.2619,-0.0844
s1,parity,2,324,0.2214,0.4549,0.4728,0.3847,0.5613,0.549,0.5565,-0.2335,-0.2514,-0.0702
s1,parity,3,324,0.2203,0.4519,0.4672,0.3845,0.5607,0.5492,0.5505,-0.2316,-0.2469,-0.0674
s1,parity,4,324,0.2108,0.4535,0.4676,0.3774,0.5627,0.5237,0.5526,-0.2427,-0.2568,-0.0761
s1,parity,5,324,0.2248,0.4515,0.4747,0.3828,0.5624,0.5621,0.5605,-0.2267,-0.2499,-0.0687
s1,parity,6,324,0.1881,0.4673,0.4692,0.3685,0.5619,0.5599,0.5717,-0.2792,-0.2811,-0.0988
s1,parity,7,324,0.2166,0.4541,0.4698,0.3825,0.5581,0.5582,0.5693,-0.2375,-0.2532,-0.0716
s1,parity,8,324,0.2303,0.452,0.4691,0.3873,0.5626,0.533,0.5577,-0.2217,-0.2388,-0.0647
s1,parity,9,324,0.2199,0.453,0.4725,0.3839,0.5615,0.5512,0.5496,-0.2331,-0.2526,-0.0691
s1,axis,0,324,0.3589,0.2839,0.4159,0.4342,0.5333,0.8107,0.5225,0.075,-0.057,0.1503
s1,axis,1,324,0.3494,0.2637,0.422,0.4363,0.5318,0.8105,0.4938,0.0857,-0.0726,0.1726
s1,axis,2,324,0.3509,0.2955,0.4203,0.4345,0.5332,0.832,0.5293,0.0554,-0.0694,0.139
s1,axis,3,324,0.3474,0.2745,0.4287,0.4244,0.5335,0.8066,0.4684,0.0729,-0.0813,0.1499
s1,axis,4,324,0.3534,0.3035,0.4168,0.4233,0.532,0.8009,0.4961,0.0499,-0.0634,0.1198
s1,axis,5,324,0.3491,0.2671,0.4226,0.4441,0.5313,0.8122,0.5119,0.082,-0.0735,0.177
s1,axis,6,324,0.3522,0.2935,0.419,0.4228,0.5347,0.8086,0.4883,0.0587,-0.0668,0.1293
s1,axis,7,324,0.3492,0.2975,0.4184,0.4226,0.5287,0.7953,0.4776,0.0517,-0.0692,0.1251
s1,axis,8,324,0.35,0.272,0.4222,0.4343,0.5368,0.829,0.5638,0.078,-0.0722,0.1623
s1,axis,9,324,0.3545,0.307,0.4119,0.4273,0.5343,0.8074,0.5235,0.0475,-0.0574,0.1203
s1,const,0,324,0.392,0.3902,0.3524,0.4665,0.5476,0.796,0.7433,0.0018,0.0396,0.0763
s1,const,1,324,0.381,0.3845,0.3568,0.4617,0.5368,0.8027,0.7448,-0.0035,0.0242,0.0772
s1,const,2,324,0.389,0.3953,0.348,0.4659,0.5438,0.7989,0.7499,-0.0063,0.041,0.0706
s1,const,3,324,0.3767,0.3889,0.3557,0.4583,0.54,0.7893,0.7325,-0.0122,0.021,0.0694
s1,const,4,324,0.432,0.401,0.3568,0.5,0.5521,0.8359,0.774,0.031,0.0752,0.099
s1,const,5,324,0.3927,0.3906,0.3516,0.468,0.5468,0.8053,0.7552,0.0021,0.0411,0.0774
s1,const,6,324,0.3919,0.3827,0.3492,0.4676,0.5414,0.8065,0.7219,0.0092,0.0427,0.0849
s1,const,7,324,0.3936,0.3948,0.3421,0.4644,0.5395,0.8067,0.7618,-0.0012,0.0515,0.0696
s1,const,8,324,0.3901,0.392,0.348,0.4631,0.5438,0.8047,0.743,-0.0019,0.0421,0.0711
s1,const,9,324,0.3984,0.3951,0.3508,0.4706,0.5502,0.8004,0.7486,0.0033,0.0476,0.0755
s2,full,0,324,0.0976,0.4819,0.5169,0.3502,0.5764,0.5189,0.378,-0.3843,-0.4193,-0.1317
s2,full,1,324,0.0966,0.4845,0.5166,0.3535,0.5802,0.5319,0.3579,-0.3879,-0.42,-0.131
s2,full,2,324,0.0953,0.4856,0.5165,0.3503,0.57,0.5068,0.3574,-0.3903,-0.4212,-0.1353
s2,full,3,324,0.0963,0.4847,0.5177,0.3546,0.5773,0.5103,0.3641,-0.3884,-0.4214,-0.1301
s2,full,4,324,0.0979,0.4826,0.5169,0.3533,0.5772,0.4963,0.3783,-0.3847,-0.419,-0.1293
s2,full,5,324,0.0942,0.4867,0.5183,0.3548,0.5793,0.5276,0.3685,-0.3925,-0.4241,-0.1319
s2,full,6,324,0.0982,0.486,0.5152,0.3522,0.578,0.4857,0.3772,-0.3878,-0.417,-0.1338
s2,full,7,324,0.0993,0.4849,0.5173,0.3542,0.5786,0.4955,0.3639,-0.3856,-0.418,-0.1307
s2,full,8,324,0.097,0.4861,0.5168,0.3505,0.5746,0.5289,0.3825,-0.3891,-0.4198,-0.1356
s2,full,9,324,0.0984,0.4854,0.5157,0.3504,0.5754,0.5283,0.3822,-0.387,-0.4173,-0.135
s2,parity,0,324,0.305,0.4378,0.4607,0.4287,0.5727,0.7215,0.5902,-0.1328,-0.1557,-0.0091
s2,parity,1,324,0.309,0.4377,0.4634,0.4327,0.5711,0.7593,0.6082,-0.1287,-0.1544,-0.005
s2,parity,2,324,0.3032,0.4358,0.4626,0.4281,0.5736,0.7522,0.6047,-0.1326,-0.1594,-0.0077
s2,parity,3,324,0.3011,0.435,0.4603,0.4274,0.5711,0.7401,0.6004,-0.1339,-0.1592,-0.0076
s2,parity,4,324,0.3046,0.4408,0.469,0.4308,0.5734,0.7239,0.5941,-0.1362,-0.1644,-0.01
s2,parity,5,324,0.3047,0.439,0.4641,0.4314,0.5761,0.7423,0.5893,-0.1343,-0.1594,-0.0076
s2,parity,6,324,0.3087,0.4364,0.4581,0.4309,0.5747,0.7327,0.5822,-0.1277,-0.1494,-0.0055
s2,parity,7,324,0.3073,0.439,0.4665,0.4329,0.5679,0.7409,0.5832,-0.1317,-0.1592,-0.0061
s2,parity,8,324,0.2988,0.4395,0.4714,0.428,0.5654,0.7444,0.5914,-0.1407,-0.1726,-0.0115
s2,parity,9,324,0.31,0.4299,0.455,0.4313,0.5641,0.7545,0.6036,-0.1199,-0.145,0.0014
s2,axis,0,324,0.4659,0.182,0.4242,0.5357,0.5573,0.99,0.568,0.2839,0.0417,0.3537
s2,axis,1,324,0.4719,0.2092,0.4192,0.5322,0.5519,0.9916,0.6308,0.2627,0.0527,0.323
s2,axis,2,324,0.4649,0.1763,0.4234,0.5328,0.5597,0.9896,0.5582,0.2886,0.0415,0.3565
s2,axis,3,324,0.4662,0.1785,0.4212,0.5335,0.5606,0.9898,0.5594,0.2877,0.045,0.355
s2,axis,4,324,0.4644,0.1642,0.4309,0.5317,0.5563,0.9898,0.5712,0.3002,0.0335,0.3675
s2,axis,5,324,0.4676,0.1915,0.4208,0.5296,0.5582,0.9901,0.5657,0.2761,0.0468,0.3381
s2,axis,6,324,0.4691,0.1972,0.4212,0.5384,0.5584,0.9912,0.6067,0.2719,0.0479,0.3412
s2,axis,7,324,0.473,0.2234,0.4235,0.538,0.556,0.9902,0.5441,0.2496,0.0495,0.3146
s2,axis,8,324,0.467,0.192,0.4213,0.5316,0.5538,0.9894,0.554,0.275,0.0457,0.3396
s2,axis,9,324,0.466,0.188,0.4222,0.5324,0.5569,0.9899,0.5658,0.278,0.0438,0.3444
s2,const,0,324,0.5519,0.4645,0.4091,0.5966,0.5998,0.9888,0.7898,0.0874,0.1428,0.1321
s2,const,1,324,0.5313,0.427,0.4036,0.5862,0.5986,0.9895,0.7739,0.1043,0.1277,0.1592
s2,const,2,324,0.5317,0.4259,0.3843,0.5876,0.5971,0.9883,0.7711,0.1058,0.1474,0.1617
s2,const,3,324,0.5373,0.4456,0.3919,0.5878,0.5993,0.988,0.7809,0.0917,0.1454,0.1422
s2,const,4,324,0.5428,0.4556,0.4053,0.5932,0.5977,0.9891,0.7852,0.0872,0.1375,0.1376
s2,const,5,324,0.5514,0.4593,0.4106,0.5978,0.6019,0.9878,0.7759,0.0921,0.1408,0.1385
s2,const,6,324,0.5503,0.4651,0.4167,0.5953,0.602,0.9901,0.8067,0.0852,0.1336,0.1302
s2,const,7,324,0.5436,0.4434,0.4123,0.5918,0.6013,0.9897,0.7802,0.1002,0.1313,0.1484
s2,const,8,324,0.549,0.4545,0.4086,0.5969,0.5965,0.9895,0.7753,0.0945,0.1404,0.1424
s2,const,9,324,0.5435,0.4714,0.4138,0.5909,0.6069,0.9885,0.7876,0.0721,0.1297,0.1195
s4,full,0,324,0.2586,0.4351,0.4139,0.3947,0.5357,0.5089,0.4926,-0.1765,-0.1553,-0.0404
s4,full,1,324,0.2643,0.4424,0.4149,0.3773,0.5364,0.5189,0.4941,-0.1781,-0.1506,-0.0651
s4,full,2,324,0.2434,0.4431,0.4247,0.364,0.5312,0.4753,0.5055,-0.1997,-0.1813,-0.0791
s4,full,3,324,0.2542,0.4372,0.416,0.3757,0.5373,0.4849,0.4854,-0.183,-0.1618,-0.0615
s4,full,6,324,0.2512,0.4471,0.4223,0.3864,0.541,0.5078,0.4666,-0.1959,-0.1711,-0.0607
s4,full,7,324,0.2309,0.4465,0.4288,0.3641,0.5432,0.4814,0.4972,-0.2156,-0.1979,-0.0824
s4,full,8,324,0.2592,0.4416,0.4168,0.3832,0.5352,0.488,0.4939,-0.1824,-0.1576,-0.0584
s4,full,9,324,0.2604,0.4328,0.4141,0.3777,0.5349,0.5127,0.4894,-0.1724,-0.1537,-0.0551
s4,parity,0,324,0.3653,0.4561,0.3935,0.4547,0.5519,0.6937,0.8069,-0.0908,-0.0282,-0.0014
s4,parity,1,324,0.3849,0.4502,0.3722,0.4648,0.5529,0.6848,0.8199,-0.0653,0.0127,0.0146
s4,parity,2,324,0.3691,0.4559,0.3971,0.4594,0.5469,0.6805,0.805,-0.0868,-0.028,0.0035
s4,parity,3,324,0.3556,0.4575,0.411,0.4519,0.5505,0.6987,0.7972,-0.1019,-0.0554,-0.0056
s4,parity,6,324,0.3715,0.4489,0.3922,0.4624,0.5496,0.6952,0.8006,-0.0774,-0.0207,0.0135
s4,parity,7,324,0.3578,0.4541,0.4021,0.4501,0.5475,0.7058,0.8011,-0.0963,-0.0443,-0.004
s4,parity,8,324,0.3656,0.4405,0.3861,0.4548,0.5437,0.7088,0.8071,-0.0749,-0.0205,0.0143
s4,parity,9,324,0.3766,0.4541,0.3855,0.4633,0.5468,0.7033,0.8096,-0.0775,-0.0089,0.0092
s4,axis,0,324,0.505,0.3704,0.3465,0.5428,0.5616,0.9865,0.7538,0.1346,0.1585,0.1724
s4,axis,1,324,0.5031,0.3624,0.347,0.5435,0.5661,0.9868,0.7543,0.1407,0.1561,0.1811
s4,axis,2,324,0.5047,0.3631,0.3466,0.5447,0.5614,0.9854,0.7329,0.1416,0.1581,0.1816
s4,axis,3,324,0.5022,0.3574,0.3497,0.5457,0.5685,0.9852,0.711,0.1448,0.1525,0.1883
s4,axis,6,324,0.5033,0.3602,0.3443,0.5437,0.5642,0.9903,0.8201,0.1431,0.159,0.1835
s4,axis,7,324,0.5022,0.3659,0.3472,0.5428,0.5652,0.9851,0.7017,0.1363,0.155,0.1769
s4,axis,8,324,0.5042,0.3678,0.349,0.5447,0.5633,0.9877,0.7641,0.1364,0.1552,0.1769
s4,axis,9,324,0.5062,0.3664,0.342,0.5478,0.5675,0.9872,0.7602,0.1398,0.1642,0.1814
s4,const,0,324,0.5929,0.5467,0.4172,0.6256,0.6322,0.9845,0.9876,0.0462,0.1757,0.0789
s4,const,1,324,0.5916,0.5366,0.3814,0.6241,0.6214,0.9847,0.9876,0.055,0.2102,0.0875
s4,const,2,324,0.506,0.4707,0.3647,0.5492,0.5499,0.9842,0.9879,0.0353,0.1413,0.0785
s4,const,3,324,0.5122,0.4808,0.3769,0.5545,0.5531,0.9835,0.9872,0.0314,0.1353,0.0737
s4,const,6,324,0.5651,0.5195,0.3867,0.6005,0.599,0.9841,0.9877,0.0456,0.1784,0.081
s4,const,7,324,0.5907,0.535,0.3911,0.6241,0.6318,0.9831,0.9872,0.0557,0.1996,0.0891
s4,const,8,324,0.5166,0.4879,0.3909,0.558,0.5494,0.9873,0.9903,0.0287,0.1257,0.0701
s4,const,9,324,0.5835,0.5288,0.3823,0.6176,0.6225,0.9849,0.9884,0.0547,0.2012,0.0888
