condition,hd_mode,k,seed,step,P0,P1,P2,P3,RA,odd,path
s1,axis,5,0,final,0.3110480827963594,0.1903158821521291,0.3083201528993823,0.1903158821521291,0.0027279298969771215,0.3806317643042582,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_00/ckpt_final.pt
s1,axis,5,1,final,0.3114108699507143,0.18928428314788903,0.310020563753508,0.18928428314788903,0.001390306197206314,0.37856856629577806,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_01/ckpt_final.pt
s1,axis,5,2,final,0.3116008559375038,0.1890005946047556,0.3103979548529842,0.1890005946047556,0.0012029010845195929,0.3780011892095112,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_02/ckpt_final.pt
s1,axis,5,3,final,0.3118013516931017,0.19035244283770655,0.30749376263148515,0.19035244283770655,0.004307589061616546,0.3807048856754131,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_03/ckpt_final.pt
s1,axis,5,4,final,0.3149296659117528,0.19117008807713612,0.30273015793397456,0.19117008807713612,0.01219950797777825,0.38234017615427224,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_04/ckpt_final.pt
s1,axis,5,5,final,0.31052542906551883,0.19115718595528194,0.30716019902391734,0.19115718595528194,0.003365230041601497,0.3823143719105639,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_05/ckpt_final.pt
s1,axis,5,6,final,0.3139413183912741,0.18924683060659656,0.30756502039553313,0.18924683060659656,0.006376297995740962,0.3784936612131931,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_06/ckpt_final.pt
s1,axis,5,7,final,0.3077034121351746,0.1923052825961343,0.30768602267255685,0.1923052825961343,1.7389462617756202e-05,0.3846105651922686,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_07/ckpt_final.pt
s1,axis,5,8,final,0.3147127336827936,0.18841931681526786,0.30844863268667067,0.18841931681526786,0.0062641009961229566,0.3768386336305357,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_08/ckpt_final.pt
s1,axis,5,9,final,0.3126735126969968,0.1897962213945082,0.30773404451398684,0.1897962213945082,0.004939468183009943,0.3795924427890164,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/axis/seed_09/ckpt_final.pt
s1,const,5,0,final,0.35653829615450305,0.20719817806210605,0.22906534772128476,0.20719817806210605,0.12747294843321832,0.4143963561242121,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/const/seed_00/ckpt_final.pt
s1,const,5,1,final,0.36032673582489055,0.20699402682168921,0.22568521053173107,0.20699402682168921,0.13464152529315948,0.41398805364337843,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/const/seed_01/ckpt_final.pt
s1,const,5,2,final,0.36026837946718004,0.20616554345452032,0.22740053362377907,0.20616554345452032,0.132867845843401,0.41233108690904063,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/const/seed_02/ckpt_final.pt
s1,const,5,3,final,0.3589123717007902,0.20669493883407258,0.2276977506310646,0.20669493883407258,0.13121462106972562,0.41338987766814517,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/const/seed_03/ckpt_final.pt
