condition,hd_mode,k,seed,step,P0,P1,P2,P3,RA,odd,path
s1,full,5,0,final,0.2675133774083969,0.24773018226690416,0.2370262580577949,0.24773018226690416,0.03048711935060202,0.4954603645338083,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s1/seed_00/ckpt_final.pt
s1,full,5,1,final,0.2644041600454319,0.24878138026725602,0.2380330794200561,0.24878138026725602,0.02637108062537577,0.49756276053451204,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s1/seed_01/ckpt_final.pt
s1,full,5,2,final,0.2665011786784493,0.24703794713680494,0.2394229270479406,0.24703794713680494,0.027078251630508705,0.4940758942736099,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s1/seed_02/ckpt_final.pt
s1,full,5,3,final,0.25692875192700565,0.24880616885307968,0.24545891036683493,0.24880616885307968,0.011469841560170725,0.49761233770615937,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s1/seed_03/ckpt_final.pt
s1,full,5,4,final,0.2625088572694631,0.24899696120103781,0.2394972203284615,0.24899696120103781,0.02301163694100161,0.49799392240207563,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s1/seed_04/ckpt_final.pt
s2,full,5,0,final,0.2963518934541304,0.22396753033733457,0.2557130458712001,0.22396753033733457,0.040638847582930314,0.44793506067466915,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s2/seed_00/ckpt_final.pt
s2,full,5,1,final,0.2879272752771732,0.2243307364271604,0.2634112518685059,0.2243307364271604,0.024516023408667324,0.4486614728543208,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s2/seed_01/ckpt_final.pt
s2,full,5,2,final,0.2923782447894362,0.22607257978199136,0.25547659564658104,0.22607257978199136,0.03690164914285515,0.4521451595639827,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s2/seed_02/ckpt_final.pt
s2,full,5,3,final,0.2908369000223206,0.23177191068792738,0.24561927860182425,0.23177191068792738,0.04521762142049636,0.46354382137585476,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s2/seed_03/ckpt_final.pt
s2,full,5,4,final,0.2966862892417447,0.22479955506168223,0.2537146006348909,0.22479955506168223,0.04297168860685385,0.44959911012336445,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s2/seed_04/ckpt_final.pt
s4,full,5,0,final,0.3329846318229691,0.22747745074133874,0.21206046669435327,0.22747745074133874,0.12092416512861585,0.4549549014826775,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s4/seed_00/ckpt_final.pt
s4,full,5,1,final,0.32752454369020334,0.2294264169495788,0.21362262241063873,0.2294264169495788,0.11390192127956467,0.4588528338991576,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s4/seed_01/ckpt_final.pt
s4,full,5,2,final,0.32221428298555754,0.232992194790084,0.21180132743427413,0.232992194790084,0.11041295555128344,0.465984389580168,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s4/seed_02/ckpt_final.pt
s4,full,5,3,final,0.32282155337617197,0.22970890026692237,0.21776064608998416,0.22970890026692237,0.10506090728618771,0.45941780053384473,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s4/seed_03/ckpt_final.pt
s4,full,5,4,final,0.32527997935436753,0.23171291611309067,0.21129418841945116,0.23171291611309067,0.11398579093491637,0.46342583222618133,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s4/seed_04/ckpt_final.pt
s4,full,5,5,final,0.33080495525631876,0.22689053099263845,0.21541398275840448,0.22689053099263845,0.11539097249791427,0.4537810619852769,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s4/seed_05/ckpt_final.pt
s4,full,5,6,final,0.324187513944556,0.22881752107192038,0.21817744391160343,0.22881752107192038,0.10601007003295257,0.45763504214384076,/Volumes/Crucial X6/prnn_backup/checkpoints/symmetry_sweep/s4/seed_06/ckpt_final.pt
