mode,seed,dose,repetition,room_gen,room_seen,within_r2,n_cells
translation,0,0.0,0.9959,0.508,0.5227,0.9129,36
translation,0,0.25,0.9946,0.5154,0.5266,0.5296,36
translation,0,0.5,0.9923,0.5137,0.5243,-0.3713,36
translation,0,0.75,0.9861,0.5172,0.5259,-1.9342,36
translation,0,1.0,0.9695,0.5104,0.5345,-2.7733,36
translation,1,0.0,0.9961,0.496,0.5227,0.9325,36
translation,1,0.25,0.9942,0.5092,0.5293,0.8095,36
translation,1,0.5,0.9919,0.52,0.5314,0.57,36
translation,1,0.75,0.9842,0.5202,0.5296,0.0384,36
translation,1,1.0,0.9535,0.5066,0.529,-0.6161,36
translation,2,0.0,0.9963,0.5029,0.5157,0.9672,36
translation,2,0.25,0.9945,0.5173,0.5153,0.8695,36
translation,2,0.5,0.9921,0.512,0.5219,0.619,36
translation,2,0.75,0.9857,0.5129,0.5139,0.1672,36
translation,2,1.0,0.9656,0.5161,0.524,-0.3947,36
translation,3,0.0,0.9961,0.5107,0.5155,0.9612,36
translation,3,0.25,0.9944,0.5158,0.5171,0.8592,36
translation,3,0.5,0.9916,0.514,0.5238,0.6553,36
translation,3,0.75,0.9848,0.5022,0.5211,0.1243,36
translation,3,1.0,0.9648,0.5191,0.5172,-0.4433,36
translation,4,0.0,0.997,0.5182,0.5175,0.9833,36
translation,4,0.25,0.9953,0.5139,0.5226,0.8428,36
translation,4,0.5,0.9927,0.5154,0.5139,0.5871,36
translation,4,0.75,0.987,0.5017,0.518,0.0047,36
translation,4,1.0,0.9763,0.5066,0.5212,-0.5969,36
translation,5,0.0,0.9976,0.51,0.5096,0.9735,36
translation,5,0.25,0.9965,0.5061,0.5141,0.8725,36
translation,5,0.5,0.9934,0.5171,0.5155,0.6509,36
translation,5,0.75,0.9837,0.5081,0.5138,0.2105,36
translation,5,1.0,0.9687,0.5018,0.5253,-0.2345,36
translation,6,0.0,0.9955,0.5169,0.5174,0.9065,36
translation,6,0.25,0.9944,0.523,0.526,0.5851,36
translation,6,0.5,0.993,0.5082,0.5264,0.1442,36
translation,6,0.75,0.9827,0.5146,0.5219,-0.7163,36
translation,6,1.0,0.9642,0.5087,0.5275,-1.5443,36
translation,7,0.0,0.9971,0.5073,0.5262,0.9508,36
translation,7,0.25,0.9953,0.5276,0.5248,0.8387,36
translation,7,0.5,0.9934,0.5114,0.5231,0.5098,36
translation,7,0.75,0.9843,0.5151,0.5258,-0.1726,36
translation,7,1.0,0.9684,0.5063,0.5196,-0.8477,36
rotation,0,0.0,-0.2113,0.9787,0.9982,0.7859,36
rotation,0,0.25,-0.1065,0.9843,0.9913,0.5474,36
rotation,0,0.5,0.2376,0.951,0.9614,0.0404,36
rotation,0,0.75,0.7483,0.8114,0.8158,-0.7003,36
rotation,0,1.0,0.9632,0.515,0.5206,-1.4946,36
rotation,1,0.0,-0.2207,0.9948,0.9975,0.8326,36
rotation,1,0.25,-0.1658,0.9591,0.9887,0.8059,36
rotation,1,0.5,0.1019,0.9426,0.9533,0.6242,36
rotation,1,0.75,0.6497,0.8036,0.8171,0.2692,36
rotation,1,1.0,0.9535,0.5273,0.5435,0.0431,36
rotation,2,0.0,-0.196,0.9627,0.9966,0.7682,36
rotation,2,0.25,-0.0875,0.9371,0.9852,0.6463,36
rotation,2,0.5,0.4141,0.9096,0.9431,0.549,36
rotation,2,0.75,0.7668,0.7758,0.7924,0.2543,36
rotation,2,1.0,0.9648,0.5286,0.5307,0.0005,36
rotation,3,0.0,-0.2066,0.9893,0.9971,0.8532,36
rotation,3,0.25,-0.1196,0.9903,0.9899,0.8186,36
rotation,3,0.5,0.2982,0.9352,0.9581,0.6107,36
rotation,3,0.75,0.7411,0.8179,0.8182,0.2936,36
rotation,3,1.0,0.9592,0.5095,0.5314,-0.0238,36
rotation,4,0.0,-0.2038,0.9741,0.9971,0.826,36
rotation,4,0.25,-0.0471,0.941,0.9868,0.7232,36
rotation,4,0.5,0.3552,0.9526,0.9655,0.5695,36
rotation,4,0.75,0.7749,0.8104,0.8115,0.1153,36
rotation,4,1.0,0.9626,0.5201,0.5464,-0.2147,36
rotation,5,0.0,-0.1798,0.9927,0.9979,0.8085,36
rotation,5,0.25,-0.1579,0.954,0.987,0.7349,36
rotation,5,0.5,0.1547,0.9444,0.9549,0.5049,36
rotation,5,0.75,0.6813,0.8021,0.8028,-0.0328,36
rotation,5,1.0,0.9607,0.5182,0.5332,-0.4352,36
rotation,6,0.0,-0.1921,0.9863,0.9976,0.77,36
rotation,6,0.25,-0.1386,0.9881,0.9885,0.7624,36
rotation,6,0.5,0.225,0.9478,0.9582,0.5573,36
rotation,6,0.75,0.7824,0.8284,0.8164,0.2143,36
rotation,6,1.0,0.9674,0.4988,0.5329,-0.067,36
rotation,7,0.0,-0.1945,0.9947,0.9986,0.8995,36
rotation,7,0.25,-0.1412,0.9902,0.9916,0.8653,36
rotation,7,0.5,0.3521,0.9415,0.9541,0.7005,36
rotation,7,0.75,0.7639,0.8219,0.8262,0.4304,36
rotation,7,1.0,0.9698,0.5032,0.5284,0.2283,36
