mode,seed,lesion_mode,dose,repetition,room_gen,room_seen,within_r2,n_cells
translation,0,silence,0.0,0.9959,0.5067,0.5217,0.8886,36
translation,0,silence,0.15,0.996,0.5137,0.521,0.9138,36
translation,0,silence,0.3,0.9962,0.5129,0.5231,0.8534,36
translation,0,silence,0.45,0.9958,0.5165,0.5235,0.7099,36
translation,0,silence,0.6,0.9951,0.5284,0.5256,0.5046,36
translation,1,silence,0.0,0.9961,0.4985,0.5229,0.9347,36
translation,1,silence,0.15,0.9961,0.5252,0.5256,0.9324,36
translation,1,silence,0.3,0.9957,0.5233,0.5262,0.9106,36
translation,1,silence,0.45,0.9955,0.5332,0.5279,0.8915,36
translation,1,silence,0.6,0.9947,0.5392,0.5344,0.816,36
translation,2,silence,0.0,0.9965,0.5045,0.5161,0.9662,36
translation,2,silence,0.15,0.9966,0.5068,0.5238,0.952,36
translation,2,silence,0.3,0.9968,0.5129,0.5214,0.9448,36
translation,2,silence,0.45,0.9961,0.5101,0.515,0.9149,36
translation,2,silence,0.6,0.9954,0.5163,0.5221,0.864,36
translation,3,silence,0.0,0.9962,0.5114,0.516,0.964,36
translation,3,silence,0.15,0.9962,0.5084,0.5187,0.9574,36
translation,3,silence,0.3,0.996,0.5086,0.5194,0.9499,36
translation,3,silence,0.45,0.9961,0.5144,0.518,0.9058,36
translation,3,silence,0.6,0.9962,0.514,0.5198,0.8228,36
translation,4,silence,0.0,0.997,0.5195,0.5172,0.9844,36
translation,4,silence,0.15,0.9968,0.5155,0.5163,0.9647,36
translation,4,silence,0.3,0.997,0.5132,0.516,0.9422,36
translation,4,silence,0.45,0.9965,0.5088,0.5222,0.8962,36
translation,4,silence,0.6,0.9958,0.5239,0.5248,0.7998,36
translation,5,silence,0.0,0.9976,0.5104,0.5092,0.9739,36
translation,5,silence,0.15,0.9973,0.5005,0.5073,0.9612,36
translation,5,silence,0.3,0.9976,0.5053,0.509,0.9442,36
translation,5,silence,0.45,0.9971,0.5035,0.5135,0.9138,36
translation,5,silence,0.6,0.9957,0.5095,0.5134,0.8388,36
translation,6,silence,0.0,0.9955,0.5156,0.5173,0.9163,36
translation,6,silence,0.15,0.9962,0.5183,0.5234,0.8871,36
translation,6,silence,0.3,0.9961,0.5103,0.5199,0.8446,36
translation,6,silence,0.45,0.996,0.5195,0.5232,0.7592,36
translation,6,silence,0.6,0.9955,0.521,0.5175,0.5108,36
translation,7,silence,0.0,0.9972,0.5073,0.5262,0.9506,36
translation,7,silence,0.15,0.9974,0.5068,0.528,0.9536,36
translation,7,silence,0.3,0.9971,0.513,0.5211,0.9316,36
translation,7,silence,0.45,0.9969,0.5158,0.5227,0.8714,36
translation,7,silence,0.6,0.9963,0.5203,0.5287,0.7961,36
rotation,0,silence,0.0,-0.2127,0.9704,0.998,0.7777,36
rotation,0,silence,0.15,-0.2108,0.9928,0.9974,0.7735,36
rotation,0,silence,0.3,-0.194,0.9828,0.9966,0.6878,36
rotation,0,silence,0.45,-0.1894,0.9655,0.9938,0.4815,36
rotation,0,silence,0.6,-0.1207,0.9321,0.9842,-0.127,36
rotation,1,silence,0.0,-0.2205,0.9942,0.9979,0.836,36
rotation,1,silence,0.15,-0.2034,0.9946,0.9973,0.8704,36
rotation,1,silence,0.3,-0.2044,0.9906,0.9962,0.8597,36
rotation,1,silence,0.45,-0.1955,0.9563,0.9929,0.7949,36
rotation,1,silence,0.6,-0.1601,0.9131,0.9774,0.5928,36
rotation,2,silence,0.0,-0.1939,0.9715,0.9976,0.8311,36
rotation,2,silence,0.15,-0.1809,0.9874,0.9967,0.83,36
rotation,2,silence,0.3,-0.1588,0.9615,0.9946,0.7719,36
rotation,2,silence,0.45,-0.1097,0.9688,0.99,0.7856,36
rotation,2,silence,0.6,-0.019,0.9082,0.9707,0.5518,36
rotation,3,silence,0.0,-0.2066,0.9877,0.9976,0.8482,36
rotation,3,silence,0.15,-0.1754,0.9929,0.9963,0.855,36
rotation,3,silence,0.3,-0.0928,0.9886,0.9954,0.8593,36
rotation,3,silence,0.45,-0.1028,0.9807,0.9919,0.807,36
rotation,3,silence,0.6,-0.0523,0.955,0.9831,0.6864,36
rotation,4,silence,0.0,-0.1844,0.9714,0.9971,0.8212,36
rotation,4,silence,0.15,-0.1393,0.9873,0.997,0.8012,36
rotation,4,silence,0.3,-0.0486,0.9888,0.995,0.7856,36
rotation,4,silence,0.45,-0.0718,0.9517,0.9903,0.632,36
rotation,4,silence,0.6,0.2664,0.9405,0.9786,0.532,36
rotation,5,silence,0.0,-0.1798,0.9875,0.9977,0.8073,36
rotation,5,silence,0.15,-0.2019,0.9864,0.9968,0.794,36
rotation,5,silence,0.3,-0.1831,0.9817,0.9959,0.7761,36
rotation,5,silence,0.45,-0.1616,0.9889,0.9945,0.7439,36
rotation,5,silence,0.6,-0.0746,0.9334,0.9822,0.6073,36
rotation,6,silence,0.0,-0.1921,0.982,0.9973,0.7383,36
rotation,6,silence,0.15,-0.1881,0.9904,0.9977,0.841,36
rotation,6,silence,0.3,-0.1833,0.9705,0.9966,0.7806,36
rotation,6,silence,0.45,-0.1444,0.9817,0.9937,0.766,36
rotation,6,silence,0.6,-0.0317,0.96,0.9869,0.6275,36
rotation,7,silence,0.0,-0.1946,0.993,0.9986,0.8987,36
rotation,7,silence,0.15,-0.1836,0.9924,0.9979,0.9017,36
rotation,7,silence,0.3,-0.1184,0.9903,0.9972,0.8824,36
rotation,7,silence,0.45,-0.1143,0.9867,0.9944,0.8367,36
rotation,7,silence,0.6,-0.0074,0.9463,0.9862,0.7316,36
