condition,seed,lesion_mode,dose,n_units,frac_place,spatial_info,sparsity,selectivity,coherence,n_fields,field_area,mean_rate,peak_rate,infield_rate,outfield_rate,field_contrast,dir_info_marginal,dir_info_field,stability,ev_pos,ev_hd,ev_add,ev_conj,mixed,hd_rayleigh,frac_mixed,phase_acc,ev_orbit
s1,0,silence,0.0,500,0.972,1.2346,0.3764,5.9092,1.8362,1.7716,39.6453,0.2427,1.3297,0.6085,0.0425,491.1102,0.3816,0.3683,0.9516,0.5265,0.1085,0.6288,0.855,0.2261,0.3458,0.904,0.9848,0.2604
s1,0,silence,0.15,500,0.97,1.2284,0.3738,5.9424,1.8731,1.7711,39.2408,0.2425,1.3392,0.6127,0.0437,63.2756,0.2699,0.2647,0.9509,0.5303,0.0832,0.6084,0.8089,0.2005,0.3012,0.904,0.9779,0.2617
s1,0,silence,0.3,500,0.97,1.214,0.3745,5.9425,1.9011,1.7196,39.8316,0.2422,1.3359,0.6121,0.0438,43.0231,0.1939,0.1937,0.9482,0.5278,0.0618,0.5856,0.7654,0.1798,0.2584,0.896,0.9749,0.2595
s1,0,silence,0.45,500,0.966,1.195,0.3761,5.927,1.9196,1.6729,40.4298,0.2423,1.33,0.6043,0.044,367.1287,0.1324,0.1362,0.9453,0.5187,0.0426,0.5583,0.721,0.1626,0.2141,0.878,0.9704,0.2533
s1,0,silence,0.6,500,0.958,1.1555,0.3825,5.8807,1.9209,1.6388,41.4672,0.2414,1.3079,0.5843,0.0433,31.3962,0.0859,0.0901,0.9354,0.4949,0.0271,0.5198,0.6675,0.1478,0.1709,0.87,0.9633,0.2399
s1,0,silence,0.75,500,0.95,1.0699,0.4016,5.7425,1.877,1.5958,43.2151,0.2403,1.26,0.5408,0.0422,25.4109,0.0501,0.0567,0.9138,0.4457,0.0151,0.4594,0.5965,0.137,0.1287,0.856,0.9479,0.2148
s1,0,silence,0.9,500,0.92,0.8989,0.4455,5.4829,1.7545,1.5174,47.1674,0.2362,1.1637,0.4575,0.0416,37.8948,0.0226,0.0312,0.8704,0.3474,0.0061,0.3528,0.4795,0.1267,0.085,0.816,0.8949,0.1772
s1,0,silence,1.0,500,0.882,0.8064,0.4774,5.3369,1.6265,1.5488,49.9254,0.2329,1.0805,0.4061,0.0403,22.2085,0.0117,0.0214,0.8252,0.2849,0.003,0.2874,0.4103,0.1229,0.0628,0.814,0.863,0.1619
s1,0,randomize,0.0,500,0.972,1.2346,0.3764,5.9093,1.8363,1.7798,39.5431,0.2427,1.3297,0.6082,0.0424,381.9125,0.3816,0.3684,0.9516,0.5265,0.1085,0.6288,0.855,0.2261,0.3458,0.904,0.9829,0.2604
s1,0,randomize,0.15,500,0.96,1.154,0.3909,5.7222,1.8678,1.7479,40.9596,0.2407,1.282,0.5845,0.0444,36.2547,0.2731,0.2739,0.947,0.4978,0.0846,0.577,0.7713,0.1943,0.3036,0.902,0.9792,0.2465
s1,0,randomize,0.3,500,0.946,1.0704,0.4084,5.4817,1.8876,1.7209,42.8693,0.2395,1.2281,0.5558,0.0447,23.6738,0.1939,0.2013,0.94,0.465,0.063,0.5237,0.6907,0.167,0.2592,0.898,0.9673,0.2317
s1,0,randomize,0.45,500,0.924,0.9858,0.4275,5.2685,1.8976,1.6948,44.3854,0.238,1.1754,0.5211,0.0463,17.8868,0.1297,0.1405,0.9318,0.4267,0.0431,0.4664,0.6114,0.145,0.2141,0.882,0.962,0.2143
s1,0,randomize,0.6,500,0.896,0.8876,0.4529,4.9919,1.8723,1.6607,46.8994,0.2352,1.1068,0.4824,0.0477,15.0559,0.0805,0.0919,0.9213,0.3806,0.0269,0.4051,0.5328,0.1277,0.1684,0.854,0.9485,0.1957
s1,0,randomize,0.75,500,0.822,0.792,0.48,4.7814,1.8326,1.618,49.3832,0.2316,1.0468,0.4343,0.0439,14.5958,0.0409,0.0479,0.9029,0.3235,0.0131,0.3353,0.4513,0.116,0.1178,0.818,0.9328,0.173
s1,0,randomize,0.9,500,0.718,0.6908,0.5165,4.5277,1.7509,1.6602,50.5174,0.2275,0.9819,0.3865,0.0437,15.5324,0.014,0.0203,0.8796,0.2583,0.004,0.2616,0.3713,0.1097,0.0659,0.79,0.8925,0.1527
s1,0,randomize,1.0,500,0.638,0.6543,0.5342,4.4229,1.6761,1.8683,48.1663,0.2249,0.9566,0.3693,0.0429,17.5343,0.006,0.0113,0.8637,0.2255,0.0015,0.2266,0.3347,0.1081,0.0404,0.782,0.8537,0.1467
