condition,hd_mode,seed,x,y,phase,pc1,pc2,pc3,fold_ratio,var3
s2,axis,0,1,1,0,5.8346,2.2784,-1.1679,0.4568,0.5488
s2,axis,0,1,2,0,4.9068,2.3127,-1.1354,0.4568,0.5488
s2,axis,0,1,3,0,4.4832,2.4191,-1.3206,0.4568,0.5488
s2,axis,0,1,4,0,3.8871,2.3655,-2.0151,0.4568,0.5488
s2,axis,0,1,5,0,3.2042,2.3913,-2.8015,0.4568,0.5488
s2,axis,0,1,6,0,1.687,2.1432,-3.2813,0.4568,0.5488
s2,axis,0,1,7,0,3.0759,2.0404,-4.3317,0.4568,0.5488
s2,axis,0,1,8,0,2.0124,1.3896,-4.0765,0.4568,0.5488
s2,axis,0,1,9,0,1.7921,0.6709,-4.049,0.4568,0.5488
s2,axis,0,1,10,0,2.4585,-0.3042,-4.2912,0.4568,0.5488
s2,axis,0,1,11,0,2.8764,-1.1391,-4.2642,0.4568,0.5488
s2,axis,0,1,12,0,2.7755,-1.8092,-3.8132,0.4568,0.5488
s2,axis,0,1,13,0,2.9387,-2.131,-3.3173,0.4568,0.5488
s2,axis,0,1,14,0,3.3718,-2.1748,-2.29,0.4568,0.5488
s2,axis,0,1,15,0,4.5131,-1.9392,-1.8443,0.4568,0.5488
s2,axis,0,1,16,0,4.8354,-1.6566,-1.0978,0.4568,0.5488
s2,axis,0,1,17,0,5.7967,-0.9803,-1.0981,0.4568,0.5488
s2,axis,0,1,18,0,6.5046,-0.4751,-0.6827,0.4568,0.5488
s2,axis,0,2,1,0,5.1337,2.5684,-0.3841,0.4568,0.5488
s2,axis,0,2,2,0,3.5961,2.4767,-0.4349,0.4568,0.5488
s2,axis,0,2,3,0,2.8244,2.5864,-0.4959,0.4568,0.5488
s2,axis,0,2,4,0,1.6811,2.5846,-1.0626,0.4568,0.5488
s2,axis,0,2,5,0,1.1378,2.5279,-2.0009,0.4568,0.5488
s2,axis,0,2,6,0,0.4249,2.2789,-2.8705,0.4568,0.5488
s2,axis,0,2,7,0,0.7465,1.9565,-3.575,0.4568,0.5488
s2,axis,0,2,8,0,0.712,1.1559,-3.4751,0.4568,0.5488
s2,axis,0,2,9,0,0.6059,0.3317,-3.5536,0.4568,0.5488
s2,axis,0,2,10,0,0.7393,-0.7428,-3.5696,0.4568,0.5488
s2,axis,0,2,11,0,0.7283,-1.7383,-3.2467,0.4568,0.5488
s2,axis,0,2,12,0,1.2452,-2.4755,-3.0518,0.4568,0.5488
s2,axis,0,2,13,0,1.5113,-2.773,-2.5334,0.4568,0.5488
s2,axis,0,2,14,0,1.8145,-2.7864,-1.6326,0.4568,0.5488
s2,axis,0,2,15,0,2.4584,-2.5393,-0.8915,0.4568,0.5488
s2,axis,0,2,16,0,3.2669,-2.3538,-0.4384,0.4568,0.5488
s2,axis,0,2,17,0,4.2891,-1.6061,-0.3791,0.4568,0.5488
s2,axis,0,2,18,0,5.4918,-0.8571,-0.1917,0.4568,0.5488
s2,axis,0,3,1,0,4.4494,2.7518,0.3842,0.4568,0.5488
s2,axis,0,3,2,0,2.1235,2.6208,0.4042,0.4568,0.5488
s2,axis,0,3,3,0,1.2952,2.8936,0.4192,0.4568,0.5488
s2,axis,0,3,4,0,0.5685,2.819,-0.2736,0.4568,0.5488
s2,axis,0,3,5,0,-0.0365,2.8246,-1.2871,0.4568,0.5488
s2,axis,0,3,6,0,-1.1421,2.4943,-2.2178,0.4568,0.5488
s2,axis,0,3,7,0,-0.6755,1.9345,-2.9036,0.4568,0.5488
s2,axis,0,3,8,0,-0.8117,1.1527,-3.1111,0.4568,0.5488
s2,axis,0,3,9,0,-1.1225,0.0914,-3.05,0.4568,0.5488
s2,axis,0,3,10,0,-0.8948,-1.1834,-3.0915,0.4568,0.5488
s2,axis,0,3,11,0,-0.6373,-2.314,-2.7569,0.4568,0.5488
s2,axis,0,3,12,0,-0.1325,-3.1587,-2.3838,0.4568,0.5488
s2,axis,0,3,13,0,0.4659,-3.3722,-1.8477,0.4568,0.5488
s2,axis,0,3,14,0,0.5636,-3.6666,-0.7914,0.4568,0.5488
s2,axis,0,3,15,0,1.3416,-3.5805,-0.0185,0.4568,0.5488
s2,axis,0,3,16,0,2.302,-3.0224,0.5435,0.4568,0.5488
s2,axis,0,3,17,0,3.3812,-2.2164,0.5839,0.4568,0.5488
s2,axis,0,3,18,0,5.0762,-1.4686,0.7514,0.4568,0.5488
s2,axis,0,4,1,0,4.2033,3.0492,1.3828,0.4568,0.5488
s2,axis,0,4,2,0,2.0767,3.013,1.4265,0.4568,0.5488
s2,axis,0,4,3,0,0.8388,3.1718,1.1472,0.4568,0.5488
s2,axis,0,4,4,0,-0.377,3.3082,0.639,0.4568,0.5488
s2,axis,0,4,5,0,-1.3543,3.1775,-0.1409,0.4568,0.5488
s2,axis,0,4,6,0,-1.9386,2.8162,-1.3458,0.4568,0.5488
s2,axis,0,4,7,0,-1.8574,2.1973,-1.8171,0.4568,0.5488
s2,axis,0,4,8,0,-2.0782,1.5111,-2.2795,0.4568,0.5488
s2,axis,0,4,9,0,-2.2304,0.0805,-2.1886,0.4568,0.5488
s2,axis,0,4,10,0,-2.0012,-1.347,-2.3649,0.4568,0.5488
s2,axis,0,4,11,0,-1.7187,-2.4728,-2.0405,0.4568,0.5488
s2,axis,0,4,12,0,-1.2243,-3.3465,-1.4524,0.4568,0.5488
s2,axis,0,4,13,0,-0.9291,-3.7091,-0.6321,0.4568,0.5488
s2,axis,0,4,14,0,-0.3801,-4.2727,0.3221,0.4568,0.5488
s2,axis,0,4,15,0,0.4206,-4.0856,1.0645,0.4568,0.5488
s2,axis,0,4,16,0,1.538,-3.4158,1.4498,0.4568,0.5488
s2,axis,0,4,17,0,2.7854,-2.5247,1.5458,0.4568,0.5488
s2,axis,0,4,18,0,4.4087,-1.7521,1.5623,0.4568,0.5488
s2,axis,0,5,1,0,3.6511,3.1503,2.2177,0.4568,0.5488
