condition,hd_mode,seed,fold_ratio
s2,axis,0,0.4568
s2,axis,1,0.452
s2,axis,2,0.4606
s2,axis,3,0.4536
s2,axis,4,0.459
s2,axis,5,0.4635
s2,axis,6,0.4601
s2,axis,7,0.4484
s2,axis,8,0.4569
s2,axis,9,0.457
s1,axis,0,1.8511
s1,axis,1,1.8614
s1,axis,2,1.8476
s1,axis,3,1.8588
s1,axis,4,1.9136
s1,axis,5,1.8588
s1,axis,6,1.861
s1,axis,7,1.8856
s1,axis,8,1.9104
s1,axis,9,1.8701
s2,parity,0,2.0965
s2,parity,1,2.0487
s2,parity,2,2.0834
s2,parity,3,2.1047
s2,parity,4,2.1695
s2,parity,5,2.0753
s2,parity,6,2.0545
s2,parity,7,2.0447
s2,parity,8,2.1146
s2,parity,9,2.0422
s2,full,0,2.6927
s2,full,1,2.6341
s2,full,2,2.6803
s2,full,3,2.7258
s2,full,4,2.72
s2,full,5,2.6517
s2,full,6,2.7328
s2,full,7,2.6977
s2,full,8,2.6334
s2,full,9,2.5839
