condition,hd_mode,seed,srsa_e,srsa_c,spatial_info,n_informative,field_sharpness,n_place_units,cross_seed_rho
s1,axis,0,0.36763271907092826,0.4014857165329911,1.0878272748727043,468,8.309604047474611,469,0.9793751803059352
s1,axis,1,0.36964342530182753,0.4055671167888173,1.127032188765469,470,11.61800435045486,474,0.9793751803059352
s1,axis,2,0.3737426347914162,0.4072283342481197,1.1260182435586392,471,9.358996643210244,472,0.9793751803059352
s1,axis,3,0.3680172492463346,0.4009175882330378,1.1461961813121624,469,9.911471135861765,468,0.9793751803059352
s1,axis,4,0.3556361343816644,0.39736306820158074,1.0937352358489636,475,10.365670487345698,475,0.9793751803059352
s1,axis,5,0.3771290657772555,0.40461889273018586,1.053259587775464,468,12.052937196809285,470,0.9793751803059352
s1,const,0,0.3234834881656382,0.3381265746879079,0.9535117555315102,443,12.255007616299354,446,0.9902100174512177
s1,const,1,0.334405271230258,0.34961893544059813,0.9930545226083919,445,9.246154719926425,450,0.9902100174512177
s1,const,2,0.33112284296717837,0.3469332195563474,0.907432603361918,429,15.051216426151717,452,0.9902100174512177
s1,const,3,0.3282944270268167,0.3414284615855259,0.9456202459884087,432,12.901557523188849,441,0.9902100174512177
s1,const,4,0.31034641815147235,0.3243586700591203,0.9643564675467551,437,15.308509452602111,448,0.9902100174512177
s1,const,5,0.31470278135410307,0.3278150471206869,0.9154111710921142,440,12.993577676261134,451,0.9902100174512177
s1,full,0,0.7100412671309234,0.7418755659109174,1.676555396423546,493,9.520084712949442,492,0.9663158897607779
s1,full,1,0.6918852683883093,0.7205556206000394,1.7007307369536102,492,6.076217608093544,491,0.9663158897607779
s1,full,2,0.6858320795919096,0.7136224568469383,1.6605015703172508,490,6.695539664087351,488,0.9663158897607779
s1,full,3,0.6715150189238113,0.6913766689512124,1.588260094646964,492,6.291646633699116,491,0.9663158897607779
s1,full,4,0.6951724214175317,0.7233623710790498,1.6289995978689347,493,6.746383600903015,492,0.9663158897607779
s1,full,5,0.7317167498733209,0.7536213697166934,1.591701794413412,494,7.021208781562849,494,0.9663158897607779
s1,parity,0,0.5398381774515761,0.5308331643099125,1.11365654936079,467,8.391813658953572,476,0.979701793181992
s1,parity,1,0.5543730995284499,0.5448348548868769,1.098323514970196,464,6.338163486116618,473,0.979701793181992
s1,parity,2,0.5459760168280663,0.533918442273032,1.1720096814495953,458,7.042064010397981,465,0.979701793181992
s1,parity,3,0.546214497284473,0.5317658799429218,1.108007243660316,466,135.6624112296206,472,0.979701793181992
s1,parity,4,0.5469671295849894,0.5367355969707771,1.113820511350883,460,13.720160551632151,472,0.979701793181992
s1,parity,5,0.5243236239548333,0.5074466950383534,1.0852765983523938,464,6.2872549458952,472,0.979701793181992
s2,axis,0,0.22461453119325236,0.24873944431498368,1.2238628207480964,466,19.52171570979956,431,0.9838906348517767
s2,axis,1,0.2216619265907491,0.2417181111906895,1.187027354954096,465,16.35241565401192,431,0.9838906348517767
s2,axis,2,0.23889904374575652,0.2662441081204426,1.1087212322499127,465,22.313047749905586,441,0.9838906348517767
s2,axis,3,0.21695140859489984,0.23949216545648397,1.1285692031454744,468,50.204874529821254,438,0.9838906348517767
s2,axis,4,0.2302252655193144,0.2593127336210513,1.1782949583734723,465,31.34413245933169,443,0.9838906348517767
s2,axis,5,0.21841467070960435,0.24535957941905867,1.1687222149325764,475,17.40238666201282,431,0.9838906348517767
s2,const,0,0.2231817852218638,0.23103256150514315,0.947567382299048,421,68.7733899791982,413,0.9923566266082453
s2,const,1,0.22687624573513063,0.23776559117408394,0.9015570882619816,426,30.73648571357931,403,0.9923566266082453
s2,const,2,0.20902111414470992,0.2214058733420798,0.9402340449188054,432,19.219539270245512,405,0.9923566266082453
s2,const,3,0.20622535204286954,0.21846343082046574,0.9138745069265158,442,36.54195013850194,412,0.9923566266082453
s2,const,4,0.19726895075722164,0.2119860331638075,0.9485117467800216,438,26.31677961816267,405,0.9923566266082453
s2,const,5,0.19623308487373456,0.21109149284668144,0.841802009822003,436,24.085873308625818,397,0.9923566266082453
s2,full,0,0.5783327759522204,0.5871450326596516,1.6086413098469334,488,13.570657247325352,483,0.977748726490621
s2,full,1,0.5702935187366396,0.5762135339596444,1.6007301549969433,492,9.064026945529784,476,0.977748726490621
s2,full,2,0.569537758581596,0.5681335808263837,1.55210613615193,487,9.168538291155953,483,0.977748726490621
s2,full,3,0.5949043570751547,0.6037198351983188,1.6612873337080623,494,278.63200074882604,478,0.977748726490621
s2,full,4,0.570980274021254,0.5778303031523172,1.6534530515823844,486,9.19523622608525,475,0.977748726490621
s2,full,5,0.5602315067731521,0.5624026093831379,1.502697599168489,486,8.198179419460502,484,0.977748726490621
s2,parity,0,0.42137841296881273,0.41704675883855885,1.0604576546798339,459,10.32919709020866,466,0.9879272059704688
s2,parity,1,0.42380883547815484,0.4144849121293102,1.0540656428577526,456,19.805681120561154,465,0.9879272059704688
s2,parity,2,0.43020359957078397,0.4146534271574007,1.0284844744942891,461,11.324258701156655,464,0.9879272059704688
s2,parity,3,0.4458320850025385,0.43071252589815934,1.0382446413504445,460,17.567098414753517,466,0.9879272059704688
s2,parity,4,0.4331375431805822,0.4202644779610237,0.9835468252247814,455,9.997233570380578,453,0.9879272059704688
s2,parity,5,0.41365221519774115,0.40399410586045864,1.0457451036724492,465,10.92817093151793,465,0.9879272059704688
s4,axis,0,0.18342950981199682,0.23263529395186794,1.0756632847919487,454,33.523122597822805,353,0.9855862866951446
s4,axis,1,0.19274200981299155,0.23672773896103957,1.1004800498338994,451,133.39157607676336,351,0.9855862866951446
s4,axis,2,0.174106943078965,0.22081435220825682,1.1446897111109755,466,29.16006735230809,349,0.9855862866951446
s4,axis,3,0.19060936299760978,0.23921209984603983,1.0821860677620534,465,280.8595810141076,354,0.9855862866951446
s4,const,0,0.1699150690028121,0.19579810956606972,0.9018711764039454,430,137.196714274229,315,0.9939906850986008
s4,const,1,0.15763218104048593,0.18650887562136653,0.935101550543651,427,47.733506002833295,317,0.9939906850986008
s4,const,2,0.16667687169693254,0.19095442788460384,0.9618371779540964,423,307.4362222078352,324,0.9939906850986008
s4,const,3,0.15148121325633845,0.17907726380823719,0.9399605557326364,427,33.12408236972147,315,0.9939906850986008
s4,full,0,0.5512190525489244,0.6265829192765966,1.4506634337514588,487,14.395237741406884,421,0.9838050936059785
s4,full,1,0.5250763050467727,0.6022649337653709,1.5885242877377412,480,22.202186488886536,427,0.9838050936059785
s4,full,2,0.5685132481460172,0.6451056884383629,1.4828913361448075,486,26.073573643516518,422,0.9838050936059785
s4,full,3,0.5328314246034014,0.6114286748607712,1.5866472085791812,488,24.08888988423527,435,0.9838050936059785
s4,parity,0,0.4033130139094708,0.42453238766488915,0.9584408874290233,457,23.899699005713796,411,0.9813108038363452
s4,parity,1,0.3471252412485274,0.3738557256604642,0.9810185428142097,450,23.793882921755564,415,0.9813108038363452
s4,parity,2,0.3999420715302424,0.4205925596444545,0.9557825582023941,460,32.18950064353448,416,0.9813108038363452
s4,parity,3,0.39717572916404065,0.42011723629588954,1.0028796831988072,458,16.24094826892407,415,0.9813108038363452
