condition,encoding,seed,n_units,fano_fields,mean_fields,chi2_poisson,chi2_p,gridness_mean,gridness_max,gridness_frac_above_0p08,omni_mean,omni_median,omni_frac_pairs_above_0p8
s1,full,0,500,0.6281,1.736,190.19,3.554e-39,-0.2664,0.0776,0.0,0.5858,0.6205,0.363
s1,full,1,500,0.5459,1.702,186.13,2.621e-38,-0.2513,-0.0314,0.0,0.594,0.6438,0.3803
s1,full,2,500,0.788,1.804,189.53,4.925e-39,-0.247,0.0384,0.0,0.5793,0.6147,0.346
s1,full,3,500,0.7105,1.862,160.63,7.262e-33,-0.2636,0.0833,0.01,0.5953,0.6529,0.3737
s1,full,4,500,0.6527,1.758,185.05,4.468e-38,-0.2716,0.0031,0.0,0.5895,0.6404,0.359
s1,full,5,500,0.6516,1.728,198.81,5.093e-41,-0.2773,0.0046,0.0,0.5953,0.6374,0.3693
s1,full,6,500,0.6875,1.69,216.74,7.415e-45,-0.2511,-0.0258,0.0,0.5819,0.6257,0.3507
s1,full,7,500,0.6309,1.76,174.71,7.210e-36,-0.2669,-0.0384,0.0,0.575,0.6183,0.359
s1,full,8,500,0.5633,1.692,191.05,2.334e-39,-0.2187,0.0118,0.0,0.5806,0.6393,0.3623
s1,full,9,500,0.6316,1.752,188.0,1.047e-38,-0.278,-0.0226,0.0,0.5799,0.6262,0.3633
s1,axis,0,500,0.9129,1.876,196.75,1.408e-40,-0.2659,0.0158,0.0,0.3733,0.3328,0.16
s1,axis,1,500,0.8328,1.88,198.05,7.423e-41,-0.2231,0.0016,0.0,0.3726,0.3045,0.1683
s1,axis,2,500,0.8562,1.88,189.94,4.030e-39,-0.2434,0.006,0.0,0.3851,0.3304,0.1807
s1,axis,3,500,0.8065,1.906,174.95,6.419e-36,-0.2624,0.0071,0.0,0.377,0.2972,0.1567
s1,axis,4,500,0.8021,1.952,152.48,2.311e-30,-0.2281,0.5031,0.01,0.3804,0.3188,0.1687
s1,axis,5,500,1.0552,1.924,199.17,2.848e-40,-0.2453,0.1891,0.01,0.3784,0.3356,0.1537
s1,axis,6,500,0.8769,1.984,166.89,2.057e-33,-0.2591,0.011,0.0,0.3822,0.3321,0.174
s1,axis,7,500,0.9159,1.908,181.69,2.331e-37,-0.2361,0.0809,0.01,0.379,0.3162,0.1683
s1,axis,8,500,0.8643,1.878,181.52,2.528e-37,-0.214,0.0704,0.0,0.3849,0.3512,0.1673
s1,axis,9,500,0.8827,1.91,166.55,3.977e-34,-0.229,0.0224,0.0,0.3743,0.317,0.1677
s1,parity,0,500,0.8406,1.654,274.79,2.625e-57,-0.4084,-0.0708,0.0,0.3856,0.3587,0.1683
s1,parity,1,500,0.9086,1.698,276.1,1.373e-57,-0.3847,-0.0443,0.0,0.3828,0.3206,0.1723
s1,parity,2,500,0.7935,1.652,283.57,3.403e-59,-0.3943,-0.042,0.0,0.3716,0.3319,0.1593
s1,parity,3,500,0.7234,1.636,279.92,2.071e-58,-0.3911,0.0422,0.0,0.3784,0.3646,0.16
s1,parity,4,500,0.8095,1.678,281.58,9.111e-59,-0.3688,-0.0558,0.0,0.3683,0.3179,0.1627
s1,parity,5,500,1.0707,1.798,281.2,1.097e-58,-0.3836,0.0378,0.0,0.3743,0.3283,0.153
s1,parity,6,500,0.9876,1.722,268.48,5.927e-56,-0.4143,-0.0642,0.0,0.3666,0.317,0.1607
s1,parity,7,500,0.8018,1.632,297.93,2.792e-62,-0.3617,0.1164,0.01,0.3711,0.3212,0.1423
s1,parity,8,500,0.8224,1.7,269.35,3.859e-56,-0.4043,-0.031,0.0,0.3744,0.3272,0.1683
s1,parity,9,500,0.9094,1.724,259.88,4.164e-54,-0.4142,0.0728,0.0,0.3675,0.3255,0.1673
s1,const,0,500,1.3252,1.842,341.51,1.177e-71,-0.5458,0.0445,0.0,0.3026,0.2323,0.1023
s1,const,1,500,1.3689,1.832,381.02,3.657e-80,-0.51,0.1072,0.01,0.2974,0.2302,0.104
s1,const,2,500,1.3431,1.886,382.4,1.840e-80,-0.4626,0.0398,0.0,0.2815,0.1989,0.0997
s1,const,3,500,1.7256,2.012,385.21,4.221e-80,-0.5209,-0.0658,0.0,0.3005,0.2021,0.113
s1,const,4,500,1.227,1.832,375.3,6.235e-79,-0.5686,-0.0228,0.0,0.2914,0.2291,0.101
s1,const,5,500,1.2798,1.862,336.11,1.706e-70,-0.4875,0.0635,0.0,0.2883,0.209,0.1053
s1,const,6,500,1.3888,1.82,348.27,4.132e-73,-0.5109,-0.0431,0.0,0.3028,0.1974,0.11
s1,const,7,500,1.35,1.906,377.19,2.437e-79,-0.4692,0.168,0.02,0.2943,0.2262,0.088
s1,const,8,500,1.4955,1.902,383.32,1.169e-80,-0.4999,-0.007,0.0,0.2954,0.2302,0.11
s1,const,9,500,1.4366,1.902,370.29,7.486e-78,-0.4584,0.0197,0.0,0.2904,0.2031,0.1047
