condition,hd_mode,k,seed,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s1,axis,5,0,c2,0.5,0.9716035344679799,0.9189117550849915,0.9096656918525696,0.9189117550849915,/root/runs/hd_invariance/s1/axis/seed_00/ckpt_final.pt
s1,axis,5,1,c2,0.5,0.9681350705412843,0.9242684841156006,0.9071285963058472,0.9242684841156006,/root/runs/hd_invariance/s1/axis/seed_01/ckpt_final.pt
s1,axis,5,2,c2,0.5,0.9695971004178761,0.9295832633972168,0.9137726426124573,0.9295832633972168,/root/runs/hd_invariance/s1/axis/seed_02/ckpt_final.pt
s1,axis,5,3,c2,0.5,0.9741501483346362,0.9295255184173584,0.912014102935791,0.9295255184173584,/root/runs/hd_invariance/s1/axis/seed_03/ckpt_final.pt
s1,axis,5,4,c2,0.5,0.9754584813318192,0.9264431595802307,0.910664963722229,0.9264431595802307,/root/runs/hd_invariance/s1/axis/seed_04/ckpt_final.pt
s1,axis,5,5,c2,0.5,0.9689503052001787,0.92644704580307,0.9081622004508972,0.92644704580307,/root/runs/hd_invariance/s1/axis/seed_05/ckpt_final.pt
s1,axis,5,6,c2,0.5,0.9616290433591672,0.919696056842804,0.9149958252906799,0.919696056842804,/root/runs/hd_invariance/s1/axis/seed_06/ckpt_final.pt
s1,axis,5,7,c2,0.5,0.9735009247074846,0.9258761167526245,0.9093910098075867,0.9258761167526245,/root/runs/hd_invariance/s1/axis/seed_07/ckpt_final.pt
s1,axis,5,8,c2,0.5,0.9712775709176842,0.933433735370636,0.9121375441551208,0.933433735370636,/root/runs/hd_invariance/s1/axis/seed_08/ckpt_final.pt
s1,axis,5,9,c2,0.5,0.9779577386562259,0.9243481874465942,0.9129334211349487,0.9243481874465942,/root/runs/hd_invariance/s1/axis/seed_09/ckpt_final.pt
s1,const,5,0,c2,0.5,0.96632675110472,0.8945496320724488,0.8401537299156189,0.8945496320724488,/root/runs/hd_invariance/s1/const/seed_00/ckpt_final.pt
s1,const,5,1,c2,0.5,0.9688792425876127,0.9125323057174682,0.8458737373352051,0.9125323057174682,/root/runs/hd_invariance/s1/const/seed_01/ckpt_final.pt
