condition,hd_mode,k,seed,phase_acc,raw_r2,domain_r2,spatial,path
s1,axis,5,0,0.971926573918575,0.9203585982322693,0.9097489714622498,0.9203585982322693,/root/runs/hd_invariance/s1/axis/seed_00/ckpt_final.pt
s1,axis,5,1,0.964117477997925,0.9247535586357116,0.9071107387542725,0.9247535586357116,/root/runs/hd_invariance/s1/axis/seed_01/ckpt_final.pt
s1,const,5,0,0.9662748466203283,0.8938012003898621,0.840965747833252,0.8938012003898621,/root/runs/hd_invariance/s1/const/seed_00/ckpt_final.pt
s1,const,5,1,0.9684521441251384,0.9115630149841308,0.8460134267807007,0.9115630149841308,/root/runs/hd_invariance/s1/const/seed_01/ckpt_final.pt
s1,full,5,0,0.9830076179739322,0.9895184516906739,0.9180254817008973,0.9895184516906739,/root/runs/hd_invariance/s1/full/seed_00/ckpt_final.pt
s1,full,5,1,0.9813860283101125,0.9892572879791259,0.9075355887413025,0.9892572879791259,/root/runs/hd_invariance/s1/full/seed_01/ckpt_final.pt
s1,parity,5,0,0.9755157530337832,0.9773978352546692,0.8625636577606202,0.9773978352546692,/root/runs/hd_invariance/s1/parity/seed_00/ckpt_final.pt
s1,parity,5,1,0.9694748496374261,0.9818264603614807,0.8820987582206726,0.9818264603614807,/root/runs/hd_invariance/s1/parity/seed_01/ckpt_final.pt
s2,axis,5,0,0.5582912201336127,-0.08860173225402831,0.912479043006897,0.912479043006897,/root/runs/hd_invariance/s2/axis/seed_00/ckpt_final.pt
s2,axis,5,1,0.5455408033280822,-0.06966835260391235,0.9121540665626526,0.9121540665626526,/root/runs/hd_invariance/s2/axis/seed_01/ckpt_final.pt
s2,axis,5,2,0.5532482757234939,-0.1345335900783539,0.9146093964576721,0.9146093964576721,/root/runs/hd_invariance/s2/axis/seed_02/ckpt_final.pt
s2,axis,5,3,0.5484866658492102,-0.07508933544158936,0.9168971180915833,0.9168971180915833,/root/runs/hd_invariance/s2/axis/seed_03/ckpt_final.pt
s2,axis,5,4,0.5525844610146727,-0.06647704839706421,0.9221711158752441,0.9221711158752441,/root/runs/hd_invariance/s2/axis/seed_04/ckpt_final.pt
s2,axis,5,5,0.5571035390953283,-0.10472770929336547,0.919260561466217,0.919260561466217,/root/runs/hd_invariance/s2/axis/seed_05/ckpt_final.pt
s2,const,5,0,0.5416281435097572,-0.04303955435752869,0.8451777815818786,0.8451777815818786,/root/runs/hd_invariance/s2/const/seed_00/ckpt_final.pt
s2,const,5,1,0.5500632979633998,-0.04495385885238647,0.8532351613044739,0.8532351613044739,/root/runs/hd_invariance/s2/const/seed_01/ckpt_final.pt
s2,const,5,2,0.550490995075043,-0.044048190116882324,0.8756275057792664,0.8756275057792664,/root/runs/hd_invariance/s2/const/seed_02/ckpt_final.pt
s2,const,5,3,0.5492596758487491,-0.053807425498962405,0.864195704460144,0.864195704460144,/root/runs/hd_invariance/s2/const/seed_03/ckpt_final.pt
s2,const,5,4,0.5529740521837556,-0.037889647483825686,0.8663439393043518,0.8663439393043518,/root/runs/hd_invariance/s2/const/seed_04/ckpt_final.pt
s2,const,5,5,0.5588449037696062,-0.03998806476593018,0.8650291442871094,0.8650291442871094,/root/runs/hd_invariance/s2/const/seed_05/ckpt_final.pt
s2,full,5,0,0.9751299864131477,0.9856439113616944,0.9051545858383179,0.9856439113616944,/root/runs/hd_invariance/s2/full/seed_00/ckpt_final.pt
s2,full,5,1,0.9793175098643887,0.9858263850212097,0.9213276982307435,0.9858263850212097,/root/runs/hd_invariance/s2/full/seed_01/ckpt_final.pt
s2,full,5,2,0.9767695516152216,0.9860636353492737,0.9218871831893921,0.9860636353492737,/root/runs/hd_invariance/s2/full/seed_02/ckpt_final.pt
s2,full,5,3,0.980671781479223,0.9865955948829651,0.9119550347328186,0.9865955948829651,/root/runs/hd_invariance/s2/full/seed_03/ckpt_final.pt
s2,full,5,4,0.9773513530460158,0.9855934023857117,0.9147889018058777,0.9855934023857117,/root/runs/hd_invariance/s2/full/seed_04/ckpt_final.pt
s2,full,5,5,0.9801286628545526,0.9848954439163208,0.912767517566681,0.9848954439163208,/root/runs/hd_invariance/s2/full/seed_05/ckpt_final.pt
s2,parity,5,0,0.9485696165836073,0.961593747138977,0.8783022165298462,0.961593747138977,/root/runs/hd_invariance/s2/parity/seed_00/ckpt_final.pt
s2,parity,5,1,0.95677175995731,0.956708562374115,0.8635114789009094,0.956708562374115,/root/runs/hd_invariance/s2/parity/seed_01/ckpt_final.pt
s2,parity,5,2,0.9592101198719615,0.9616056084632874,0.8828500986099244,0.9616056084632874,/root/runs/hd_invariance/s2/parity/seed_02/ckpt_final.pt
s2,parity,5,3,0.9519952969310868,0.9601933479309082,0.8600670218467712,0.9601933479309082,/root/runs/hd_invariance/s2/parity/seed_03/ckpt_final.pt
s2,parity,5,4,0.9591551294952774,0.9551023364067077,0.8715859055519104,0.9551023364067077,/root/runs/hd_invariance/s2/parity/seed_04/ckpt_final.pt
s2,parity,5,5,0.9440751112092359,0.9445998311042786,0.8894027829170227,0.9445998311042786,/root/runs/hd_invariance/s2/parity/seed_05/ckpt_final.pt
s4,axis,5,0,0.540369360129599,-0.09333947896957398,0.8350237607955933,0.8350237607955933,/root/runs/hd_invariance/s4/axis/seed_00/ckpt_final.pt
s4,axis,5,1,0.5473612048175877,-0.07482105493545532,0.8439566850662231,0.8439566850662231,/root/runs/hd_invariance/s4/axis/seed_01/ckpt_final.pt
s4,axis,5,2,0.5445405362809722,-0.12796369791030884,0.8286906599998474,0.8286906599998474,/root/runs/hd_invariance/s4/axis/seed_02/ckpt_final.pt
s4,axis,5,3,0.5542609380962549,-0.06514337062835693,0.8121980428695679,0.8121980428695679,/root/runs/hd_invariance/s4/axis/seed_03/ckpt_final.pt
s4,const,5,0,0.5163004476014948,-0.0772615909576416,-0.5803129017353058,-0.0772615909576416,/root/runs/hd_invariance/s4/const/seed_00/ckpt_final.pt
s4,const,5,1,0.5214885425806668,-0.06039254665374756,-0.5926449716091156,-0.06039254665374756,/root/runs/hd_invariance/s4/const/seed_01/ckpt_final.pt
s4,const,5,2,0.521211328476328,-0.06624823808670044,-0.5901457846164704,-0.06624823808670044,/root/runs/hd_invariance/s4/const/seed_02/ckpt_final.pt
s4,const,5,3,0.5182100681387733,-0.0724334955215454,-0.6001847863197327,-0.0724334955215454,/root/runs/hd_invariance/s4/const/seed_03/ckpt_final.pt
s4,full,5,0,0.9809942325931221,0.9806145310401917,0.884398901462555,0.9806145310401917,/root/runs/hd_invariance/s4/full/seed_00/ckpt_final.pt
s4,full,5,1,0.9832226049944215,0.9817846655845642,0.8638161063194275,0.9817846655845642,/root/runs/hd_invariance/s4/full/seed_01/ckpt_final.pt
s4,full,5,2,0.9864138651292518,0.9822356343269348,0.8827356696128845,0.9822356343269348,/root/runs/hd_invariance/s4/full/seed_02/ckpt_final.pt
s4,full,5,3,0.985385046666049,0.9812357187271118,0.8664817571640014,0.9812357187271118,/root/runs/hd_invariance/s4/full/seed_03/ckpt_final.pt
s4,parity,5,0,0.928006256362716,0.90064537525177,0.7313859939575196,0.90064537525177,/root/runs/hd_invariance/s4/parity/seed_00/ckpt_final.pt
s4,parity,5,1,0.9333722870299249,0.9003890156745911,0.7426310062408448,0.9003890156745911,/root/runs/hd_invariance/s4/parity/seed_01/ckpt_final.pt
s4,parity,5,2,0.921230530082697,0.8908884406089783,0.7481932282447815,0.8908884406089783,/root/runs/hd_invariance/s4/parity/seed_02/ckpt_final.pt
s4,parity,5,3,0.9377024787570825,0.9024968981742859,0.7750569581985474,0.9024968981742859,/root/runs/hd_invariance/s4/parity/seed_03/ckpt_final.pt
