condition,hd_mode,k,seed,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s2,axis,0,0,c2,0.5,0.5419490588310079,-0.09333009719848633,0.930992317199707,0.930992317199707,/root/runs/horizon/k0/s2/axis/seed_00/ckpt_final.pt
s2,axis,0,1,c2,0.5,0.5402606790473286,-0.10284037590026855,0.9176798462867737,0.9176798462867737,/root/runs/horizon/k0/s2/axis/seed_01/ckpt_final.pt
s2,axis,0,2,c2,0.5,0.5338906991506318,-0.08668625354766846,0.933182692527771,0.933182692527771,/root/runs/horizon/k0/s2/axis/seed_02/ckpt_final.pt
s2,axis,0,3,c2,0.5,0.5430238743258513,-0.07943655848503113,0.9341171383857727,0.9341171383857727,/root/runs/horizon/k0/s2/axis/seed_03/ckpt_final.pt
s2,axis,0,4,c2,0.5,0.5315599362112108,-0.09464576244354247,0.9304311513900757,0.9304311513900757,/root/runs/horizon/k0/s2/axis/seed_04/ckpt_final.pt
s2,axis,0,5,c2,0.5,0.5403322474361165,-0.09657691717147827,0.9383362293243408,0.9383362293243408,/root/runs/horizon/k0/s2/axis/seed_05/ckpt_final.pt
s2,const,0,0,c2,0.5,0.5332871745379844,-0.0994221568107605,0.8579098224639893,0.8579098224639893,/root/runs/horizon/k0/s2/const/seed_00/ckpt_final.pt
s2,const,0,1,c2,0.5,0.5351578251659903,-0.10693448781967163,0.886094844341278,0.886094844341278,/root/runs/horizon/k0/s2/const/seed_01/ckpt_final.pt
s2,const,0,2,c2,0.5,0.5437007383741973,-0.07957550287246704,0.8921405434608459,0.8921405434608459,/root/runs/horizon/k0/s2/const/seed_02/ckpt_final.pt
s2,const,0,3,c2,0.5,0.5384368101768272,-0.0876844048500061,0.8742892026901246,0.8742892026901246,/root/runs/horizon/k0/s2/const/seed_03/ckpt_final.pt
s2,const,0,4,c2,0.5,0.5367323113757629,-0.1040079116821289,0.8835103273391723,0.8835103273391723,/root/runs/horizon/k0/s2/const/seed_04/ckpt_final.pt
s2,const,0,5,c2,0.5,0.5455284140943887,-0.08522332906723022,0.8985912442207337,0.8985912442207337,/root/runs/horizon/k0/s2/const/seed_05/ckpt_final.pt
s2,full,0,0,c2,0.5,0.5430543299198486,-0.1075311541557312,0.9218466997146606,0.9218466997146606,/root/runs/horizon/k0/s2/full/seed_00/ckpt_final.pt
s2,full,0,1,c2,0.5,0.5362054405608156,-0.14581047296524047,0.9223235726356507,0.9223235726356507,/root/runs/horizon/k0/s2/full/seed_01/ckpt_final.pt
s2,full,0,2,c2,0.5,0.5336200964993145,-0.10108366012573242,0.9162102460861206,0.9162102460861206,/root/runs/horizon/k0/s2/full/seed_02/ckpt_final.pt
s2,full,0,3,c2,0.5,0.5320175787086414,-0.09644086360931396,0.9306585431098938,0.9306585431098938,/root/runs/horizon/k0/s2/full/seed_03/ckpt_final.pt
s2,full,0,4,c2,0.5,0.5393660120116415,-0.08671696186065674,0.9346074819564819,0.9346074819564819,/root/runs/horizon/k0/s2/full/seed_04/ckpt_final.pt
s2,full,0,5,c2,0.5,0.5294705084502481,-0.12467385530471801,0.913842499256134,0.913842499256134,/root/runs/horizon/k0/s2/full/seed_05/ckpt_final.pt
s2,parity,0,0,c2,0.5,0.5401454303882165,-0.10667965412139893,0.8907267212867737,0.8907267212867737,/root/runs/horizon/k0/s2/parity/seed_00/ckpt_final.pt
s2,parity,0,1,c2,0.5,0.532749826228709,-0.10413161516189576,0.8920073509216309,0.8920073509216309,/root/runs/horizon/k0/s2/parity/seed_01/ckpt_final.pt
s2,parity,0,2,c2,0.5,0.5449771882920981,-0.10282716751098633,0.8815826892852783,0.8815826892852783,/root/runs/horizon/k0/s2/parity/seed_02/ckpt_final.pt
s2,parity,0,3,c2,0.5,0.5425777685898593,-0.08379521369934081,0.8917042255401612,0.8917042255401612,/root/runs/horizon/k0/s2/parity/seed_03/ckpt_final.pt
s2,parity,0,4,c2,0.5,0.5390499865646492,-0.07653177976608276,0.9093127489089966,0.9093127489089966,/root/runs/horizon/k0/s2/parity/seed_04/ckpt_final.pt
s2,parity,0,5,c2,0.5,0.5452933395629362,-0.10672658681869507,0.8894627213478088,0.8894627213478088,/root/runs/horizon/k0/s2/parity/seed_05/ckpt_final.pt
