condition,hd_mode,k,seed,arena,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s1,learned,5,0,18,c2,0.5,0.9687205039389587,0.9260433554649353,0.8762090086936951,0.9260433554649353,/workspace/runs/gen/learned/s1/learned/seed_00/ckpt_final.pt
s1,learned,5,1,18,c2,0.5,0.9687082050312441,0.9142683029174805,0.8776325941085815,0.9142683029174805,/workspace/runs/gen/learned/s1/learned/seed_01/ckpt_final.pt
s2,learned,5,0,18,c2,0.5,0.534746096911069,-0.07967057228088378,0.892789900302887,0.892789900302887,/workspace/runs/gen/learned/s2/learned/seed_00/ckpt_final.pt
s2,learned,5,1,18,c2,0.5,0.5337486802604149,-0.07206273078918457,0.8806789875030517,0.8806789875030517,/workspace/runs/gen/learned/s2/learned/seed_01/ckpt_final.pt
s2,learned,5,2,18,c2,0.5,0.5363739306924078,-0.06487364768981933,0.8894582271575928,0.8894582271575928,/workspace/runs/gen/learned/s2/learned/seed_02/ckpt_final.pt
s2,learned,5,3,18,c2,0.5,0.5353757564613003,-0.08383212089538575,0.8926247477531433,0.8926247477531433,/workspace/runs/gen/learned/s2/learned/seed_03/ckpt_final.pt
s2,learned,5,4,18,c2,0.5,0.5314391893613666,-0.0921927809715271,0.8787058234214783,0.8787058234214783,/workspace/runs/gen/learned/s2/learned/seed_04/ckpt_final.pt
s2,learned,5,5,18,c2,0.5,0.5286580150978897,-0.06954857110977172,0.8956115961074829,0.8956115961074829,/workspace/runs/gen/learned/s2/learned/seed_05/ckpt_final.pt
s2,learned,5,6,18,c2,0.5,0.5283424346294157,-0.061255574226379395,0.8972767233848572,0.8972767233848572,/workspace/runs/gen/learned/s2/learned/seed_06/ckpt_final.pt
s2,learned,5,7,18,c2,0.5,0.5216236602017505,-0.0947106122970581,0.8794877767562866,0.8794877767562866,/workspace/runs/gen/learned/s2/learned/seed_07/ckpt_final.pt
s2,learned,5,8,18,c2,0.5,0.5244588981612145,-0.07776526212692261,0.8939862966537475,0.8939862966537475,/workspace/runs/gen/learned/s2/learned/seed_08/ckpt_final.pt
s2,learned,5,9,18,c2,0.5,0.5306519530768441,-0.09380709528923034,0.8818886280059814,0.8818886280059814,/workspace/runs/gen/learned/s2/learned/seed_09/ckpt_final.pt
s4,learned,5,0,18,c2,0.5,0.5227077594232463,-0.06533070802688598,-0.49030892848968505,-0.06533070802688598,/workspace/runs/gen/learned/s4/learned/seed_00/ckpt_final.pt
s4,learned,5,1,18,c2,0.5,0.5276066455142467,-0.06150974035263061,-0.4384202718734741,-0.06150974035263061,/workspace/runs/gen/learned/s4/learned/seed_01/ckpt_final.pt
s4,learned,5,2,18,c2,0.5,0.5272555644702754,-0.06488827466964722,-0.46644429564476014,-0.06488827466964722,/workspace/runs/gen/learned/s4/learned/seed_02/ckpt_final.pt
s4,learned,5,3,18,c2,0.5,0.5232221111331727,-0.06493934392929077,-0.4829146206378937,-0.06493934392929077,/workspace/runs/gen/learned/s4/learned/seed_03/ckpt_final.pt
