condition,hd_mode,k,seed,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s2,axis,5,0,c2,0.5,0.5550989348055095,-0.08612114191055298,0.8680952668190003,0.8680952668190003,/root/runs/hd_noisy/s2/axis/seed_00/ckpt_final.pt
s2,axis,5,1,c2,0.5,0.5568305934732017,-0.07077608108520508,0.8936821460723877,0.8936821460723877,/root/runs/hd_noisy/s2/axis/seed_01/ckpt_final.pt
s2,axis,5,2,c2,0.5,0.5600751389689573,-0.05804147720336914,0.8896721959114074,0.8896721959114074,/root/runs/hd_noisy/s2/axis/seed_02/ckpt_final.pt
s2,axis,5,3,c2,0.5,0.5545842717151975,-0.06821625232696533,0.8834915518760681,0.8834915518760681,/root/runs/hd_noisy/s2/axis/seed_03/ckpt_final.pt
s2,axis,5,4,c2,0.5,0.5518108305803604,-0.08760671615600586,0.877392303943634,0.877392303943634,/root/runs/hd_noisy/s2/axis/seed_04/ckpt_final.pt
s2,axis,5,5,c2,0.5,0.5546718069262004,-0.07217303514480591,0.8748990416526794,0.8748990416526794,/root/runs/hd_noisy/s2/axis/seed_05/ckpt_final.pt
s2,const,5,0,c2,0.5,0.5528852461323285,-0.04897991418838501,0.8027282118797302,0.8027282118797302,/root/runs/hd_noisy/s2/const/seed_00/ckpt_final.pt
s2,const,5,1,c2,0.5,0.5489222027131315,-0.07121785879135131,0.7783291935920715,0.7783291935920715,/root/runs/hd_noisy/s2/const/seed_01/ckpt_final.pt
s2,const,5,2,c2,0.5,0.55081593782801,-0.04863849878311157,0.7653664469718933,0.7653664469718933,/root/runs/hd_noisy/s2/const/seed_02/ckpt_final.pt
s2,const,5,3,c2,0.5,0.5594790950625663,-0.04442272186279297,0.8214906096458435,0.8214906096458435,/root/runs/hd_noisy/s2/const/seed_03/ckpt_final.pt
s2,const,5,4,c2,0.5,0.5558385806953,-0.05702911019325256,0.791536271572113,0.791536271572113,/root/runs/hd_noisy/s2/const/seed_04/ckpt_final.pt
s2,const,5,5,c2,0.5,0.5437106031855422,-0.05959262847900391,0.7785019993782043,0.7785019993782043,/root/runs/hd_noisy/s2/const/seed_05/ckpt_final.pt
s2,full,5,0,c2,0.5,0.959700720654654,0.9772378325462341,0.8576321005821228,0.9772378325462341,/root/runs/hd_noisy/s2/full/seed_00/ckpt_final.pt
s2,full,5,1,c2,0.5,0.965841105703913,0.9755326986312867,0.8721877813339234,0.9755326986312867,/root/runs/hd_noisy/s2/full/seed_01/ckpt_final.pt
s2,full,5,2,c2,0.5,0.9675750162800505,0.9768895387649537,0.8609552979469299,0.9768895387649537,/root/runs/hd_noisy/s2/full/seed_02/ckpt_final.pt
s2,full,5,3,c2,0.5,0.9684409096038026,0.9760129690170288,0.8719316363334656,0.9760129690170288,/root/runs/hd_noisy/s2/full/seed_03/ckpt_final.pt
s2,full,5,4,c2,0.5,0.9650831868722349,0.9780228853225708,0.8695714712142945,0.9780228853225708,/root/runs/hd_noisy/s2/full/seed_04/ckpt_final.pt
s2,full,5,5,c2,0.5,0.9634032856047607,0.9754238247871398,0.8328254580497741,0.9754238247871398,/root/runs/hd_noisy/s2/full/seed_05/ckpt_final.pt
s2,parity,5,0,c2,0.5,0.9249255935741256,0.8845621228218079,0.8606916666030884,0.8845621228218079,/root/runs/hd_noisy/s2/parity/seed_00/ckpt_final.pt
s2,parity,5,1,c2,0.5,0.9091490833691879,0.886134922504425,0.8381082773208618,0.886134922504425,/root/runs/hd_noisy/s2/parity/seed_01/ckpt_final.pt
s2,parity,5,2,c2,0.5,0.924834373821662,0.8797349572181702,0.8362413167953491,0.8797349572181702,/root/runs/hd_noisy/s2/parity/seed_02/ckpt_final.pt
s2,parity,5,3,c2,0.5,0.9281521281982638,0.8876614689826965,0.8527103424072265,0.8876614689826965,/root/runs/hd_noisy/s2/parity/seed_03/ckpt_final.pt
s2,parity,5,4,c2,0.5,0.923409230803688,0.8879846930503845,0.8574080348014832,0.8879846930503845,/root/runs/hd_noisy/s2/parity/seed_04/ckpt_final.pt
s2,parity,5,5,c2,0.5,0.9241584170655711,0.8720941662788391,0.8545716881752015,0.8720941662788391,/root/runs/hd_noisy/s2/parity/seed_05/ckpt_final.pt
