condition,hd_mode,k,seed,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s4,axis,5,0,c4,0.25,0.4846317604558427,-0.1037674903869629,0.6544187009334564,0.6544187009334564,/root/runs/hd_invariance/s4/axis/seed_00/ckpt_final.pt
s4,axis,5,1,c4,0.25,0.48460669879314794,-0.1049426555633545,0.6453444421291351,0.6453444421291351,/root/runs/hd_invariance/s4/axis/seed_01/ckpt_final.pt
s4,axis,5,2,c4,0.25,0.4739403803390122,-0.08229697942733764,0.676068264245987,0.676068264245987,/root/runs/hd_invariance/s4/axis/seed_02/ckpt_final.pt
s4,axis,5,3,c4,0.25,0.4845650170324046,-0.07937843799591064,0.6611311614513398,0.6611311614513398,/root/runs/hd_invariance/s4/axis/seed_03/ckpt_final.pt
s4,const,5,0,c4,0.25,0.27822166021522815,-0.09396054744720458,0.5353504717350006,0.5353504717350006,/root/runs/hd_invariance/s4/const/seed_00/ckpt_final.pt
s4,const,5,1,c4,0.25,0.2776528392306804,-0.08798342943191528,0.6964300096035003,0.6964300096035003,/root/runs/hd_invariance/s4/const/seed_01/ckpt_final.pt
s4,const,5,2,c4,0.25,0.2692342008292677,-0.10321836471557617,0.6826751708984375,0.6826751708984375,/root/runs/hd_invariance/s4/const/seed_02/ckpt_final.pt
s4,const,5,3,c4,0.25,0.2730202656779904,-0.08491603136062623,0.6691994488239288,0.6691994488239288,/root/runs/hd_invariance/s4/const/seed_03/ckpt_final.pt
s4,full,5,0,c4,0.25,0.912588351950579,0.9820394515991211,0.6982085049152374,0.9820394515991211,/root/runs/hd_invariance/s4/full/seed_00/ckpt_final.pt
s4,full,5,1,c4,0.25,0.919102570672932,0.9832458734512329,0.6746443033218383,0.9832458734512329,/root/runs/hd_invariance/s4/full/seed_01/ckpt_final.pt
s4,full,5,2,c4,0.25,0.9240632344946297,0.9834892630577088,0.5999755918979645,0.9834892630577088,/root/runs/hd_invariance/s4/full/seed_02/ckpt_final.pt
s4,full,5,3,c4,0.25,0.9167795886041452,0.982581615447998,0.6020476579666137,0.982581615447998,/root/runs/hd_invariance/s4/full/seed_03/ckpt_final.pt
s4,parity,5,0,c4,0.25,0.860255699644998,0.9032709121704101,0.61923947930336,0.9032709121704101,/root/runs/hd_invariance/s4/parity/seed_00/ckpt_final.pt
s4,parity,5,1,c4,0.25,0.8565415849548481,0.9009993076324463,0.6599810004234314,0.9009993076324463,/root/runs/hd_invariance/s4/parity/seed_01/ckpt_final.pt
s4,parity,5,2,c4,0.25,0.8579780177969708,0.8953455448150635,0.6526015937328339,0.8953455448150635,/root/runs/hd_invariance/s4/parity/seed_02/ckpt_final.pt
s4,parity,5,3,c4,0.25,0.8637207799417231,0.9069212555885315,0.6472121357917786,0.9069212555885315,/root/runs/hd_invariance/s4/parity/seed_03/ckpt_final.pt
