k,hd,seed,delta_star,delta_centroid,si_-3,si_-2,si_-1,si_+0,si_+1,si_+2,si_+3
0,full,0,0,0.12202912132553806,0.5241364965270529,0.6041084054675555,0.6892084201834996,0.7509509303066478,0.7427691167887341,0.6973535559313558,0.6329165885722187
0,full,1,0,0.11268916386846128,0.6036257898901817,0.6949611692658644,0.7904967439991654,0.8587503582945695,0.8520315189895594,0.7928742149413835,0.7173001551543452
0,full,2,0,0.11688935731636357,0.56524030791085,0.6494614007099807,0.7398632688389702,0.806897833686544,0.7995188642735149,0.7458239358186171,0.675229028412464
0,full,3,0,0.11692553642381454,0.5491061524165003,0.6315999896475254,0.7192207551111558,0.7830545982186444,0.7745906906873421,0.7242287216675933,0.6575100282487741
0,full,4,0,0.09807737825722884,0.5926993018956078,0.6853788184949314,0.7811226827498164,0.8438362994284206,0.8297859531467446,0.766463879331074,0.6921420871752045
0,full,5,0,0.10952236480852873,0.5675669267716329,0.6545045797571852,0.744473516023413,0.8051502952860803,0.7956633114300768,0.7428599155562011,0.673544613346231
1,full,0,0,0.02558631080651047,0.9605913522338075,1.0684862994936433,1.15575694104704,1.208240752694857,1.1682488308918626,1.0902848462718762,1.0072153782781117
1,full,1,0,0.049728351409088156,0.96621949848109,1.0738952374873159,1.1807285224632635,1.2394115613494503,1.2107285843793394,1.1348822984981617,1.0457100769971024
1,full,2,0,0.03695892269182477,0.9618311906141547,1.070510228225027,1.1771824317527375,1.231117090874686,1.195908306441032,1.1142177473776405,1.0222111861809984
1,full,3,0,0.058267670632979884,0.9366719740885834,1.0429587040294137,1.14928181119341,1.2081123536738736,1.182156358671738,1.1113081262156124,1.0289126813105651
1,full,4,0,0.03975906085051645,0.993714469206551,1.1094524198233215,1.2031097187656126,1.2615525843428175,1.2358220481280358,1.1540179563091941,1.0593497160237535
1,full,5,0,0.04209874627621968,0.9574021993375904,1.0627868079193388,1.1631422855045457,1.2183790566717774,1.1904006518750592,1.1122563628021696,1.0237848808064505
3,full,0,0,-0.01529082053864017,1.3251177011066224,1.4513934858786621,1.5640741242188938,1.5849347060198062,1.5265926742165812,1.420953683659794,1.3060225121128903
3,full,1,0,-0.021971652323907076,1.2307631518480098,1.3534861699350238,1.4654704224595625,1.4790666777510595,1.4177957215509742,1.3140585937821867,1.2036245871823226
3,full,2,0,-0.022403086519791338,1.2245555468628395,1.355066078498271,1.4699397780306915,1.4856654020307292,1.421798215800579,1.3127500899088687,1.19811010941403
3,full,3,0,-0.005124080736513326,1.368119818398601,1.4992596132435045,1.620633853788886,1.6415126743890391,1.5883137256911621,1.4834276703029357,1.3713894407165983
3,full,4,0,-0.013153597904988878,1.3358967004748785,1.4762734826458865,1.6052175969036977,1.6309221778931982,1.565821505920061,1.4466706291262275,1.3232348177644355
3,full,5,0,-0.01779194449116278,1.299988210242243,1.4276655239103437,1.5418070594451792,1.5568691363210387,1.5059610955295122,1.3923533799442922,1.2761670003920635
5,full,0,0,-0.02789652399136383,1.3352197869682056,1.4695917326462782,1.5844134436260442,1.591239254805361,1.5235240152652232,1.4144010851547235,1.2973158070420396
5,full,1,0,-0.035599331678217494,1.4232598536804801,1.5452251339162588,1.6516778811374868,1.659562617205026,1.5886570860190128,1.476044892630557,1.3633240141044636
5,full,2,0,-0.02237249928605317,1.3649292753573696,1.4950263476042733,1.6091630562276444,1.629947512527479,1.5716259163755124,1.449022681280412,1.3301806732649246
5,full,3,0,-0.03450236830061576,1.377960749248292,1.5026056719179448,1.610004228674124,1.6192169328571457,1.5491185429833636,1.4370347032449706,1.3221536460715384
5,full,4,0,-0.03102660314972766,1.4303547832182182,1.5635334214725765,1.6787720765093987,1.689443773429019,1.6160679871453132,1.5006290488444598,1.3808793958296959
5,full,5,0,-0.04137156456883473,1.3166106646285234,1.4312559827739813,1.527463191119725,1.5348670474249317,1.4721968503085554,1.3565123907727792,1.2485092253432035
5,full,6,0,-0.02210943698991935,1.435182160671676,1.5651816672709564,1.6781817489099666,1.6922927957552136,1.629709334321369,1.5183748636060952,1.4020585863920554
5,full,7,0,-0.032897705631806606,1.4382926991917693,1.5683242842216394,1.6790225271167136,1.6883116221966188,1.6194655618018001,1.5038927864958038,1.3818001045531334
5,full,8,0,-0.015095713879485384,1.384914804032061,1.5052518273672097,1.6106886763569594,1.6249265821991876,1.5724816801437245,1.4735299251346532,1.3657743677762901
5,full,9,0,-0.03326134244094414,1.3626162460940887,1.4899919236004338,1.598070668547733,1.6053888398185894,1.5354530037036964,1.4267202501345846,1.3111468156603778
