condition,hd_mode,seed,pv_orbit,pv_random
s1,axis,0,0.7229962348937988,0.3187691271305084
s1,axis,1,0.7079604864120483,0.2648460865020752
s1,axis,2,0.7506732940673828,0.362741619348526
s1,axis,3,0.694489598274231,0.25802189111709595
s1,axis,4,0.7000702619552612,0.25214704871177673
s1,axis,5,0.7169767618179321,0.2739698588848114
s1,axis,6,0.7074825167655945,0.2455805540084839
s1,axis,7,0.6848421096801758,0.2658873200416565
s1,axis,8,0.7590187191963196,0.42457783222198486
s1,axis,9,0.6986123323440552,0.3134114146232605
s1,const,0,0.6653119325637817,0.29373711347579956
s1,const,1,0.681459903717041,0.31583285331726074
s1,const,2,0.6756614446640015,0.27727842330932617
s1,const,3,0.6560041308403015,0.3085208535194397
s1,const,4,0.735602617263794,0.31687501072883606
s1,const,5,0.6863622665405273,0.331606388092041
s1,const,6,0.683124840259552,0.27088427543640137
s1,const,7,0.6780067682266235,0.3487134277820587
s1,const,8,0.6675770282745361,0.31896573305130005
s1,const,9,0.675603985786438,0.3418313264846802
s1,full,0,0.042457252740859985,0.03773057460784912
s1,full,1,0.07974960654973984,0.022697903215885162
s1,full,2,0.06136874482035637,0.01658535934984684
s1,full,3,0.11717769503593445,0.07846341282129288
s1,full,4,0.08805163949728012,0.017162196338176727
s1,full,5,0.02725757658481598,0.033155035227537155
s1,full,6,0.06521028280258179,0.02600409835577011
s1,full,7,0.06416811048984528,0.05067677050828934
s1,full,8,0.055626288056373596,0.028245294466614723
s1,full,9,0.055881038308143616,0.043510958552360535
s1,parity,0,0.28710228204727173,0.2276614010334015
s1,parity,1,0.3021378219127655,0.2171657234430313
s1,parity,2,0.313188761472702,0.2113266885280609
s1,parity,3,0.33843404054641724,0.24941253662109375
s1,parity,4,0.250751793384552,0.17682567238807678
s1,parity,5,0.34445589780807495,0.21542873978614807
s1,parity,6,0.32652318477630615,0.23088152706623077
s1,parity,7,0.30260246992111206,0.2396659553050995
s1,parity,8,0.28879645466804504,0.23012486100196838
s1,parity,9,0.34792375564575195,0.2539891004562378
s2,axis,0,0.9794131517410278,0.316424697637558
s2,axis,1,0.9841870069503784,0.4546390473842621
s2,axis,2,0.9798334836959839,0.2959350347518921
s2,axis,3,0.9807806015014648,0.3214457035064697
s2,axis,4,0.9808793067932129,0.35833919048309326
s2,axis,5,0.9802426099777222,0.33670341968536377
s2,axis,6,0.9832953810691833,0.4153766930103302
s2,axis,7,0.9812129139900208,0.30327558517456055
s2,axis,8,0.9790846109390259,0.2951740026473999
s2,axis,9,0.9809848070144653,0.3706703186035156
s2,const,0,0.9774667024612427,0.3634406328201294
s2,const,1,0.9792677164077759,0.3597920536994934
s2,const,2,0.9760766625404358,0.3007827401161194
s2,const,3,0.9775278568267822,0.4183295667171478
s2,const,4,0.9780034422874451,0.2996523976325989
s2,const,5,0.9759345650672913,0.3419439494609833
s2,const,6,0.9807425737380981,0.3881187438964844
s2,const,7,0.9784414768218994,0.37733757495880127
s2,const,8,0.9774602055549622,0.37755656242370605
s2,const,9,0.977073073387146,0.35961389541625977
s2,full,0,0.2917024493217468,0.1013716459274292
s2,full,1,0.31438034772872925,0.06436043977737427
