condition,hd_mode,seed,seq_offline,seq_rate,seq_cellshuf,seq_wake
s1,axis,0,0.34629165740699586,0.275,0.16259149295524247,0.5495664696208721
s1,axis,1,0.4507895462020534,0.35,0.20313080581359172,0.5966490955153562
s1,axis,2,0.5099244410862706,0.525,0.21883363705053557,0.5729403973509933
s1,axis,3,0.36118414151740075,0.225,0.1697509222632117,0.5654712653895728
s1,axis,4,0.5382380550246678,0.4,0.25976034490421795,0.6217238099471087
s1,axis,5,0.38759455975821144,0.325,0.1953196142050758,0.5323329036846083
s1,axis,6,0.3530928485710476,0.3,0.19332325881150272,0.5539429307969244
s1,axis,7,0.3227400328903507,0.275,0.23714662873905507,0.5923392150762256
s1,axis,8,0.3958302146762079,0.35,0.24510324903329037,0.5153251255611361
s1,axis,9,0.4176470954264634,0.3,0.203179607982577,0.5088831503622384
s1,const,0,0.32930494688652834,0.2,0.15209911551624516,0.5495664696208721
s1,const,1,0.2867540779590204,0.15,0.11025681141384061,0.5966490955153562
s1,const,2,0.3645277567891906,0.3,0.16715765145117562,0.5729403973509933
s1,const,3,0.33146104271300947,0.25,0.12078430152451221,0.5654712653895728
s1,const,4,0.3576266500733366,0.275,0.17219325303346814,0.6217238099471087
s1,const,5,0.32380665807369213,0.175,0.14931748077692342,0.5323329036846083
s1,const,6,0.3439324414418419,0.175,0.13974381083603715,0.5539429307969244
s1,const,7,0.3234435308235922,0.35,0.14260073781056934,0.5923392150762256
s1,const,8,0.39271914307302547,0.325,0.17714111738299482,0.5153251255611361
s1,const,9,0.28466269611982753,0.15,0.177320947597671,0.5088831503622384
s1,full,0,0.5135826481176942,0.3,0.28010729365749587,0.5495664696208721
s1,full,1,0.5817643450820036,0.5,0.21964362860571582,0.5966490955153562
s1,full,2,0.528539935108227,0.35,0.20441975198897727,0.5729403973509933
s1,full,3,0.526953375705587,0.375,0.27952753455709145,0.5654712653895728
s1,full,4,0.5496318947508778,0.35,0.23167509667096314,0.6217238099471087
s1,full,5,0.4996495844259745,0.4,0.3515966042935242,0.5323329036846083
s1,full,6,0.5785911373838838,0.35,0.2691223609938219,0.5539429307969244
s1,full,7,0.5462637450553357,0.475,0.3002376105604694,0.5923392150762256
s1,full,8,0.5027801235610472,0.275,0.26525187786123827,0.5153251255611361
s1,full,9,0.5680681808080359,0.35,0.1784620649806658,0.5088831503622384
s1,parity,0,0.392592737454998,0.325,0.22959847104315748,0.5495664696208721
s1,parity,1,0.471250277790124,0.275,0.2758727054535758,0.5966490955153562
s1,parity,2,0.4352591670740923,0.3,0.26860073781056937,0.5729403973509933
s1,parity,3,0.5143792168540824,0.275,0.2997308324814436,0.5654712653895728
s1,parity,4,0.40623503266811856,0.3,0.26673345482021427,0.6217238099471087
s1,parity,5,0.4165347793235255,0.3,0.24017627450108892,0.5323329036846083
s1,parity,6,0.36439681763633935,0.225,0.2397366994088626,0.5539429307969244
s1,parity,7,0.4689395973154363,0.225,0.30670012000533353,0.5923392150762256
s1,parity,8,0.3648394150851149,0.25,0.24711444953109032,0.5153251255611361
s1,parity,9,0.45707204764656206,0.2,0.4051594293079693,0.5088831503622384
s2,axis,0,0.18347375438908392,0.125,0.15698546602071203,0.5495664696208721
s2,axis,1,0.2637541224054402,0.175,0.19890190675141117,0.5966490955153562
s2,axis,2,0.22619583092581896,0.275,0.14285701586737187,0.5729403973509933
s2,axis,3,0.1844981554735766,0.075,0.16497026534512646,0.5654712653895728
s2,axis,4,0.1901683630383573,0.2,0.159110627138984,0.6217238099471087
s2,axis,5,0.17019476421174273,0.15,0.15779296857638117,0.5323329036846083
s2,axis,6,0.1609489310636028,0.175,0.1428355038001689,0.5539429307969244
s2,axis,7,0.26300280012445,0.3,0.24053806835859373,0.5923392150762256
s2,axis,8,0.19460696030934707,0.1,0.1978308369260856,0.5153251255611361
s2,axis,9,0.21641370727587894,0.15,0.1452697453220143,0.5088831503622384
s2,const,0,0.20420543135250457,0.15,0.14832303657940354,0.5495664696208721
s2,const,1,0.2262025867816347,0.2,0.22379039068403045,0.5966490955153562
s2,const,2,0.19764265078447932,0.2,0.11499248855504689,0.5729403973509933
s2,const,3,0.22627912351660076,0.225,0.17656722521000937,0.5654712653895728
s2,const,4,0.2386901640072892,0.125,0.12314991777412328,0.6217238099471087
s2,const,5,0.15603484599315526,0.075,0.22659744877550114,0.5323329036846083
s2,const,6,0.2241020489799547,0.25,0.2396518956398062,0.5539429307969244
s2,const,7,0.18429894661984975,0.1,0.10700786701631185,0.5923392150762256
s2,const,8,0.19975110004889104,0.125,0.17046784301524512,0.5153251255611361
s2,const,9,0.15948806613627273,0.15,0.17701800080003555,0.5088831503622384
s2,full,0,0.5049139072847681,0.3,0.1735870038668385,0.5495664696208721
