variant,layout,seed,step,rho,fro,diag,off_std,finite
baseline,annulus,0,0,1.0900530815124512,17.10679054260254,0.5018321871757507,0.02582300268113613,1
baseline,annulus,0,250,1.069045901298523,17.110300064086914,0.5015069246292114,0.025844508782029152,1
baseline,annulus,0,500,1.0796713829040527,17.108142852783203,0.5008872151374817,0.02586332894861698,1
baseline,annulus,0,1000,1.121605634689331,17.120819091796875,0.49933549761772156,0.02595573477447033,1
baseline,annulus,0,2000,1.2775568962097168,17.169540405273438,0.4938232898712158,0.026285264641046524,1
baseline,annulus,0,4000,1.386433482170105,17.074405670166016,0.4781765639781952,0.026586543768644333,1
baseline,annulus,0,8000,1.6334599256515503,17.024864196777344,0.4554626941680908,0.027185490354895592,1
baseline,annulus,0,16000,2.2170462608337402,17.482126235961914,0.42373406887054443,0.02915349043905735,1
baseline,annulus,0,32000,3.0825588703155518,18.97810935974121,0.3773348331451416,0.03350743278861046,1
baseline,annulus,0,80000,5.2655792236328125,23.323043823242188,0.27961817383766174,0.04363049939274788,1
baseline,annulus,1,0,1.0587403774261475,17.069782257080078,0.5005717873573303,0.02577495202422142,1
baseline,annulus,1,250,1.0703059434890747,17.072006225585938,0.5002870559692383,0.025791985914111137,1
baseline,annulus,1,500,1.0755140781402588,17.07024383544922,0.4996923804283142,0.025810707360506058,1
baseline,annulus,1,1000,1.0864678621292114,17.080595016479492,0.4981279969215393,0.025896336883306503,1
baseline,annulus,1,2000,1.197595477104187,17.127920150756836,0.49260497093200684,0.02622070163488388,1
baseline,annulus,1,4000,1.3339455127716064,17.03416633605957,0.4771447777748108,0.026515847072005272,1
baseline,annulus,1,8000,1.6112916469573975,16.99365234375,0.454734742641449,0.027125321328639984,1
baseline,annulus,1,16000,2.1592302322387695,17.430654525756836,0.4231952726840973,0.02904004603624344,1
baseline,annulus,1,32000,3.05794358253479,18.887237548828125,0.3758964240550995,0.033297546207904816,1
baseline,annulus,1,80000,5.265658378601074,23.20734214782715,0.28011810779571533,0.04336531460285187,1
baseline,annulus,2,0,1.0739216804504395,17.07296371459961,0.5002193450927734,0.025799324735999107,1
baseline,annulus,2,250,1.0759490728378296,17.07113265991211,0.499872624874115,0.02580762468278408,1
baseline,annulus,2,500,1.0614553689956665,17.071949005126953,0.49922698736190796,0.025835180655121803,1
