layout,variant,seed,step,b1_true,b1_hat,b1_conf,b1_correct,metric,decode_r2,n_cells
annulus,,0,0,1,1,1.152321481825996,1,0.24266431700274257,0.809935127844381,288
annulus,,0,1000,1,1,1.0452306333148014,1,0.37149347514572845,0.9373039247272302,288
annulus,,0,16000,1,2,1.7689619167851958,0,0.6038168753512996,0.9974610404190392,288
annulus,,0,2000,1,3,1.1993837067801862,0,0.4575097132577302,0.9779857273838333,288
annulus,,0,250,1,0,1.211595084587237,0,0.21078432546304768,0.7880796088317434,288
annulus,,0,32000,1,1,2.329491574656851,1,0.6066441685614992,0.997667074077669,288
annulus,,0,4000,1,1,1.3008311994925779,1,0.5340165084567211,0.985230265845751,288
annulus,,0,500,1,0,1.1193415959703645,0,0.24138361006304232,0.8868943330284471,288
annulus,,0,8000,1,2,1.5709585189168487,0,0.5763388976744652,0.9962811164999229,288
annulus,,0,80000,1,2,1.059933193820024,0,0.6056729467426518,0.9979209937950995,288
annulus,,0,final,1,2,1.0560791655763901,0,0.6054433991667324,0.997912444957944,288
annulus,,1,0,1,1,1.0818603278862966,1,0.23357597930841753,0.7453567462886472,288
annulus,,1,1000,1,1,1.0985861970832775,1,0.3650949438869205,0.93571942120247,288
annulus,,1,16000,1,2,1.7381801257474185,0,0.5963039397749024,0.9969045125884142,288
annulus,,1,2000,1,1,1.2541359006988622,1,0.4508144872077663,0.9679707468679541,288
annulus,,1,250,1,0,1.5003673060885103,0,0.20647261318611013,0.827812520195128,288
annulus,,1,32000,1,3,1.3659574963892207,0,0.6111223520365809,0.9970120456857237,288
annulus,,1,4000,1,1,1.2189532792704636,1,0.5210657441073231,0.9891421246509445,288
annulus,,1,500,1,1,1.0052338482677599,1,0.23722797547716165,0.887316347379873,288
annulus,,1,8000,1,2,1.9508506539053243,0,0.5746848100034208,0.9951172396436168,288
annulus,,1,80000,1,1,1.8356419096151861,1,0.615221783662551,0.9976246856177557,288
annulus,,1,final,1,1,1.8663328972048212,1,0.6151716651712107,0.9976157863934066,288
annulus,,2,0,1,0,1.115332501624144,0,0.2528010281408948,0.7602647383600416,288
annulus,,2,1000,1,2,1.3043605116445198,0,0.38126579316763887,0.8923781836817343,288
annulus,,2,16000,1,1,1.4997795298232846,1,0.595280559353876,0.9966805492249465,288
annulus,,2,2000,1,3,1.2186703445026892,0,0.47129591511881497,0.9688030066832516,288
annulus,,2,250,1,0,1.3411334208776917,0,0.22989079752895322,0.7919664463875083,288
annulus,,2,32000,1,4,1.3249898429695073,0,0.6025112313991967,0.9975761000175762,288
annulus,,2,4000,1,1,1.5543763364157457,1,0.5114105146002578,0.9847016525837899,288
annulus,,2,500,1,0,1.0322538969259156,0,0.26811912737307525,0.8733894860960751,288
annulus,,2,8000,1,1,1.6941542188263676,1,0.5746248820680055,0.9951287268491711,288
annulus,,2,80000,1,2,1.409395309244236,0,0.6066692569926793,0.9979590544259913,288
annulus,,2,final,1,2,1.4140834086067575,0,0.6066177659440857,0.997963490199341,288
annulus,,3,0,1,2,1.0369502350547863,0,0.2030293606032096,0.7246357188839893,288
annulus,,3,1000,1,0,1.329371755110565,0,0.3902593383396083,0.908438329298298,288
annulus,,3,16000,1,1,1.9966740020873337,1,0.6157466203264645,0.9972986161533347,288
annulus,,3,2000,1,1,1.411699143994233,1,0.45106934390315084,0.9619440735386735,288
annulus,,3,250,1,0,1.2289322014827242,0,0.21305070924615044,0.7461706562585528,288
annulus,,3,32000,1,1,1.8268123376821144,1,0.6306676262905172,0.9973811934020981,288
annulus,,3,4000,1,1,1.2695428132946736,1,0.5389740789177352,0.9879771527351121,288
annulus,,3,500,1,1,1.2216361619750356,1,0.2574978882207284,0.8120665351735168,288
annulus,,3,8000,1,1,1.653536724597486,1,0.5927008517865013,0.9945184148036311,288
annulus,,3,80000,1,1,1.636309048883127,1,0.6210009021150855,0.997580874374712,288
annulus,,3,final,1,1,1.6350090908788277,1,0.6210111519383454,0.9975773037351197,288
annulus,,4,0,1,2,1.1160324171424938,0,0.2564133410004861,0.7144338490532445,288
annulus,,4,1000,1,1,1.218069768691995,1,0.37835299458623517,0.931672759705451,288
annulus,,4,16000,1,2,1.7213966029403018,0,0.5869610105165997,0.9964448193480011,288
annulus,,4,2000,1,1,1.3061325750266013,1,0.4584848294188711,0.972617135860261,288
annulus,,4,250,1,0,1.1256915171503747,0,0.222518833539144,0.7486262361348851,288
annulus,,4,32000,1,1,1.388099013221441,1,0.5901590325794079,0.9973859238900165,288
annulus,,4,4000,1,1,1.15422592085697,1,0.5182919067014999,0.9882318205668874,288
annulus,,4,500,1,0,1.1901662502388866,0,0.2436118643299695,0.8663356844734199,288
annulus,,4,8000,1,2,1.404304376644125,0,0.5790926187558444,0.9947087260335763,288
annulus,,4,80000,1,3,1.5713651506684843,0,0.5981685800354193,0.9974440594528378,288
annulus,,4,final,1,3,1.555851838462044,0,0.5983024119498164,0.997447258125878,288
annulus,,5,0,1,0,1.0779182090198047,0,0.23676584556271063,0.6903367421681937,288
annulus,,5,1000,1,0,1.0792518954661605,0,0.36023548568355473,0.928468664645284,288
annulus,,5,16000,1,2,1.6633686874602291,0,0.5961367238626509,0.9967017914811578,288
annulus,,5,2000,1,1,1.3837197033457798,1,0.435391091386037,0.9644645750505291,288
annulus,,5,250,1,0,1.0017142138108976,0,0.20443823498788252,0.7374916757149567,288
annulus,,5,32000,1,2,1.511488653022519,0,0.6100468128411305,0.9976703420765094,288
annulus,,5,4000,1,2,1.202940740207279,0,0.5268436191475715,0.9852954402717462,288
annulus,,5,500,1,0,1.333456005079807,0,0.22476861671216108,0.7979855370882,288
annulus,,5,8000,1,2,1.7626030213764303,0,0.5644188117209487,0.9944096869356001,288
annulus,,5,80000,1,1,1.6620071212370426,1,0.619861746666775,0.9976330304865171,288
annulus,,5,final,1,1,1.6441733836378258,1,0.6197685451204816,0.9976257858223836,288
annulus,,6,0,1,0,1.0616088314020082,0,0.23406068935322663,0.7726581685213971,288
annulus,,6,1000,1,0,1.0184323289750736,0,0.33555410255069174,0.9062055917646872,288
annulus,,6,16000,1,2,1.4573451777828896,0,0.5886463087568835,0.9964700391533947,288
annulus,,6,2000,1,3,1.3187249207081118,0,0.4489517828098855,0.950195170293477,288
annulus,,6,250,1,0,1.1608195914176376,0,0.1960548349123348,0.7242401959671171,288
annulus,,6,32000,1,1,1.7480255001016842,1,0.6085226025200067,0.9975271434605089,288
annulus,,6,4000,1,1,1.213721058792165,1,0.5211917540232504,0.9802803825704034,288
annulus,,6,500,1,1,1.1759242772304692,1,0.22253866738919376,0.8655724245391576,288
annulus,,6,8000,1,2,1.3492843003828237,0,0.5658772392624677,0.9950068413729447,288
annulus,,6,80000,1,1,1.6036181441857944,1,0.5994527195089938,0.9972016169484702,288
annulus,,6,final,1,1,1.585343814423776,1,0.5994764308157635,0.9972317079134847,288
annulus,,7,0,1,0,1.062326367635652,0,0.28782413084889746,0.820069977554654,288
annulus,,7,1000,1,1,1.031169913105047,1,0.3849099778804938,0.907740858518783,288
annulus,,7,16000,1,1,1.668808408221134,1,0.5886697003428106,0.9971950848600099,288
annulus,,7,2000,1,1,1.3612148246959002,1,0.4427602857260024,0.9704539574458785,288
annulus,,7,250,1,0,1.1183385972951176,0,0.2413597184444658,0.8095923049549001,288
annulus,,7,32000,1,1,1.6573614616546926,1,0.5996540373742304,0.9975554501428052,288
annulus,,7,4000,1,1,1.3954390940931969,1,0.5163471956307514,0.9872452504134284,288
annulus,,7,500,1,0,1.2430705739992138,0,0.27786917282721746,0.9006976357664327,288
annulus,,7,8000,1,1,1.63971536149908,1,0.5741120482748814,0.9961813014340299,288
annulus,,7,80000,1,0,1.039911687306173,0,0.6081348591955251,0.997768931621939,288
annulus,,7,final,1,0,1.0467576885544054,0,0.6082193012734326,0.997789822090699,288
figure8,,0,0,2,1,1.203059309462633,0,0.2717103702553711,0.858129264196678,292
figure8,,0,1000,2,2,1.2352268922325902,1,0.4290631729973044,0.9367504309861372,292
figure8,,0,16000,2,1,1.243013791564343,0,0.6932577935795597,0.9967858575364577,292
figure8,,0,2000,2,1,1.7186837778298973,0,0.5276051873243458,0.9827571400487564,292
figure8,,0,250,2,0,1.0566011798807764,0,0.1972098921710866,0.802633513753133,292
figure8,,0,32000,2,1,1.0623191312415452,0,0.7019889143379652,0.9973284990354838,292
figure8,,0,4000,2,2,1.2073508670703785,1,0.6289253933589936,0.9941721913388172,292
figure8,,0,500,2,1,1.0628541430844656,0,0.237615137018869,0.8745869291080226,292
figure8,,0,8000,2,1,1.081041606109982,0,0.6856735401176073,0.996017905245216,292
figure8,,0,80000,2,1,1.0577676777266378,0,0.7057155567803401,0.9971043734316052,292
figure8,,0,final,2,1,1.046804669660624,0,0.7055063601947389,0.9970634692778576,292
figure8,,1,0,2,1,1.152020104627491,0,0.24118872926874285,0.819148480997324,292
figure8,,1,1000,2,1,2.0696644384272704,0,0.41134727496666557,0.9502546171589719,292
figure8,,1,16000,2,1,1.032581145320325,0,0.6973581800562293,0.9972151748039335,292
figure8,,1,2000,2,1,1.2837368020485178,0,0.5333228761753075,0.9828383969107446,292
figure8,,1,250,2,1,1.1319148153476069,0,0.2149569586565259,0.812946190446125,292
figure8,,1,32000,2,1,1.2172070010788916,0,0.7084475015545081,0.997365734549691,292
figure8,,1,4000,2,1,1.2714172644701012,0,0.6250569178565343,0.9933057224437674,292
figure8,,1,500,2,0,1.078420828860974,0,0.2579457040577563,0.9033273500260606,292
figure8,,1,8000,2,0,1.0303577453388635,0,0.65846662919737,0.9962023771439797,292
figure8,,1,80000,2,1,1.039943855554508,0,0.6979945214051004,0.9975143164278487,292
figure8,,1,final,2,1,1.053232657448745,0,0.6981464373750852,0.9975306599197611,292
figure8,,2,0,2,1,1.0994278097082526,0,0.2238135871147356,0.7492671627599217,292
figure8,,2,1000,2,1,1.3837544755854738,0,0.44206988261503694,0.9443855950274201,292
figure8,,2,16000,2,0,1.0809549567356722,0,0.698000659359032,0.9960630565491136,292
figure8,,2,2000,2,4,1.4145546119786907,0,0.5355781644314692,0.9848973945149604,292
figure8,,2,250,2,0,1.0432735775643012,0,0.21724157026168886,0.8217359021693105,292
figure8,,2,32000,2,0,1.165786454977046,0,0.6858320082884283,0.9970331931405763,292
figure8,,2,4000,2,1,1.1903757031823834,0,0.6122470624108188,0.9930664780921832,292
figure8,,2,500,2,2,1.127035404815277,1,0.2615359522520132,0.8768174275371718,292
figure8,,2,8000,2,0,1.1014926049224825,0,0.6621716268074682,0.9958457011746036,292
figure8,,2,80000,2,1,1.2533463517836416,0,0.6887124038742065,0.9971291592748216,292
figure8,,2,final,2,1,1.2578387065095258,0,0.6888509797681333,0.9971185200850329,292
figure8,,3,0,2,1,1.232034396407167,0,0.24556551638827082,0.8018372612962201,292
figure8,,3,1000,2,1,1.6670126380601675,0,0.4269689831802712,0.9492048097191705,292
figure8,,3,16000,2,1,1.0110669665906797,0,0.7182614734672246,0.9976178062605658,292
figure8,,3,2000,2,1,1.5437213967862553,0,0.5599598976136337,0.9855224829870171,292
figure8,,3,250,2,1,1.1225545208889742,0,0.23007424361743406,0.7682541788343885,292
