metric,comparison,group_1,group_2,n_1,n_2,mean_1,sem_1,mean_2,sem_2,U,p_raw,p_bonferroni,rank_biserial_r
sRSA_euclid,S4 vs S1,S4,S1,5,3,0.6467292704039747,0.004400837726838441,0.7444518651295015,0.015208680331025686,0.0,0.03571428571428571,0.10714285714285714,1.0
sRSA_euclid,S4 vs S2,S4,S2,5,3,0.6467292704039747,0.004400837726838441,0.6572225919278877,0.0045637981101820276,3.0,0.25,0.75,0.6
sRSA_euclid,S2 vs S1,S2,S1,3,3,0.6572225919278877,0.0045637981101820276,0.7444518651295015,0.015208680331025686,0.0,0.1,0.30000000000000004,1.0
sRSA_city,S4 vs S1,S4,S1,5,3,0.6987876766174848,0.0027065180503792023,0.7644048591827196,0.011456538174842483,0.0,0.03571428571428571,0.10714285714285714,1.0
sRSA_city,S4 vs S2,S4,S2,5,3,0.6987876766174848,0.0027065180503792023,0.6677317903524326,0.0020486594688213992,15.0,0.03571428571428571,0.10714285714285714,-1.0
sRSA_city,S2 vs S1,S2,S1,3,3,0.6677317903524326,0.0020486594688213992,0.7644048591827196,0.011456538174842483,0.0,0.1,0.30000000000000004,1.0
DTG,S4 vs S1,S4,S1,5,3,-0.0520584062135101,0.0027780761976968498,-0.019952994053218227,0.0037591733304821137,0.0,0.03571428571428571,0.10714285714285714,1.0
DTG,S4 vs S2,S4,S2,5,3,-0.0520584062135101,0.0027780761976968498,-0.010509198424544786,0.003029570492523963,0.0,0.03571428571428571,0.10714285714285714,1.0
DTG,S2 vs S1,S2,S1,3,3,-0.010509198424544786,0.003029570492523963,-0.019952994053218227,0.0037591733304821137,8.0,0.2,0.6000000000000001,-0.7777777777777777
Manifold_ID,S4 vs S1,S4,S1,5,3,5.946010658524505,0.1437762781559263,5.6618405164318775,0.2624893604892262,11.0,0.39285714285714285,1.0,-0.46666666666666656
Manifold_ID,S4 vs S2,S4,S2,5,3,5.946010658524505,0.1437762781559263,5.7812565488916645,0.23049396386885754,10.0,0.5714285714285714,1.0,-0.33333333333333326
Manifold_ID,S2 vs S1,S2,S1,3,3,5.7812565488916645,0.23049396386885754,5.6618405164318775,0.2624893604892262,7.0,0.4,1.0,-0.5555555555555556
RA,S4 vs S1,S4,S1,5,3,0.22316344088615198,0.003064761967861975,0.09813284291865633,0.0022937591195420965,15.0,0.03571428571428571,0.10714285714285714,-1.0
RA,S4 vs S2,S4,S2,5,3,0.22316344088615198,0.003064761967861975,0.11609884464905827,0.004449990041319115,15.0,0.03571428571428571,0.10714285714285714,-1.0
RA,S2 vs S1,S2,S1,3,3,0.11609884464905827,0.004449990041319115,0.09813284291865633,0.0022937591195420965,9.0,0.1,0.30000000000000004,-1.0
PAA_gain,S4 vs S1,S4,S1,5,3,0.009799677040212212,0.0024696770761614435,0.007576320830463096,0.003788160415231549,9.0,0.7857142857142857,1.0,-0.19999999999999996
PAA_gain,S4 vs S2,S4,S2,5,3,0.009799677040212212,0.0024696770761614435,0.007633239128438809,0.0020955456948242132,10.0,0.5714285714285714,1.0,-0.33333333333333326
PAA_gain,S2 vs S1,S2,S1,3,3,0.007633239128438809,0.0020955456948242132,0.007576320830463096,0.003788160415231549,5.0,1.0,1.0,-0.11111111111111116
Decoding_error,S4 vs S1,S4,S1,5,3,0.523504947950483,0.014264148210418366,0.3651188589272036,0.011806330352585308,15.0,0.03571428571428571,0.10714285714285714,-1.0
Decoding_error,S4 vs S2,S4,S2,5,3,0.523504947950483,0.014264148210418366,0.4747114546944502,0.014142556420761962,14.0,0.07142857142857142,0.21428571428571427,-0.8666666666666667
Decoding_error,S2 vs S1,S2,S1,3,3,0.4747114546944502,0.014142556420761962,0.3651188589272036,0.011806330352585308,9.0,0.1,0.30000000000000004,-1.0
frac_tuned,S4 vs S1,S4,S1,5,3,0.017599999999999998,0.0024819347291981713,0.04666666666666667,0.0029059326290271146,0.0,0.035770082232490764,0.1073102466974723,1.0
frac_tuned,S4 vs S2,S4,S2,5,3,0.017599999999999998,0.0024819347291981713,0.03733333333333333,0.008110350040397625,0.5,0.049830463159772936,0.1494913894793188,0.9333333333333333
frac_tuned,S2 vs S1,S2,S1,3,3,0.03733333333333333,0.008110350040397625,0.04666666666666667,0.0029059326290271146,2.5,0.5065551690490403,1.0,0.4444444444444444
C2_contrast,S4 vs S1,S4,S1,5,3,-0.12984049099110168,0.0018332254754336167,-0.07000090629347966,0.00380737804774223,0.0,0.03571428571428571,0.10714285714285714,1.0
C2_contrast,S4 vs S2,S4,S2,5,3,-0.12984049099110168,0.0018332254754336167,0.0451664169402883,0.002730861496532152,0.0,0.03571428571428571,0.10714285714285714,1.0
C2_contrast,S2 vs S1,S2,S1,3,3,0.0451664169402883,0.002730861496532152,-0.07000090629347966,0.00380737804774223,9.0,0.1,0.30000000000000004,-1.0
SCI,S4 vs S1,S4,S1,5,3,0.8885185192818318,0.002425203686226426,0.9837083612464677,0.0017313922606883252,0.0,0.03571428571428571,0.10714285714285714,1.0
SCI,S4 vs S2,S4,S2,5,3,0.8885185192818318,0.002425203686226426,0.8921736384591567,0.00037428336719359355,6.0,0.7857142857142857,1.0,0.19999999999999996
SCI,S2 vs S1,S2,S1,3,3,0.8921736384591567,0.00037428336719359355,0.9837083612464677,0.0017313922606883252,0.0,0.1,0.30000000000000004,1.0
