experiment,condition,seed_id,srsa,ra,sci,c2_contrast,decode_error,frac_tuned,field_coherence,mds_stress,pca_var_2d,epsilon
symmetry_sweep,S1,0,0.8105922048857808,0.9775318834994501,,0.7735587349976836,0.4408554226303096,0.996,6.23765641402691,0.3562183556305389,0.35390418767929077,
symmetry_sweep,S1,1,0.8462460071261264,0.9742855850989397,,0.6791178966230031,0.42638868543023867,0.994,5.955774419555467,0.3536588876637015,0.35546809434890747,
symmetry_sweep,S1,2,0.8334089840059801,0.9654961062564585,,0.7511889294419003,0.45780231650492803,0.992,5.6936503669949765,0.35734644866076565,0.3524324893951416,
symmetry_sweep,S2,0,0.7113175289957075,-0.0065682736880971265,0.2114131497042907,-0.7504656645067556,0.45424102417806206,0.994,7.951467735699749,0.37877262947583185,0.3338465988636017,
symmetry_sweep,S2,1,0.7364242809041909,-0.02132574330969871,0.20969281901605796,-0.8560266126985905,0.4351224392661302,0.998,8.061067894770398,0.38755405093766293,0.3274666965007782,
symmetry_sweep,S2,2,0.7282485617716322,-0.031182544227308644,0.2121429215358447,-0.9661500913159458,0.4547271750820093,0.994,6.17615979628273,0.3765677263921159,0.3405657112598419,
symmetry_sweep,S4,0,0.7069953907745138,0.13568512226420562,0.24974579799664265,0.7200677368519486,0.512620200379972,0.994,14.30764715065537,0.3815834887207929,0.32667937874794006,
symmetry_sweep,S4,1,0.7081944196744091,0.15205561335251627,0.24218169246534038,0.761361464046491,0.48603803823821523,0.99,11.558524098151993,0.3608035978321061,0.3439522683620453,
symmetry_sweep,S4,2,0.7120783287077845,0.12335721331578739,0.24948171111597084,0.7350455330576082,0.5097826764041334,0.994,12.969055790829213,0.36743941705618965,0.34333667159080505,
symmetry_sweep,S4,3,0.7049312152244789,0.15216567346027254,0.2342629358852779,0.7060338057448199,0.4970819044981254,0.992,13.889161122126406,0.36527789367282293,0.3447621166706085,
symmetry_sweep,S4,4,0.6982607046019038,0.1349022210350218,0.22302023912240665,0.5202157527032423,0.51742408027412,0.992,47.948661023420385,0.3907735289161722,0.3226516842842102,
hd_ablation,HD_FULL,0,0.6449844156216673,0.9697691888589418,,0.8849433296280207,0.6757603199225538,0.572,,,,
hd_ablation,HD_FULL,1,0.5840997285073879,0.9682771503581374,,0.27282164131046294,1.035750861293434,0.548,,,,
hd_ablation,HD_ABLATED,0,0.2731533943893123,0.9715012725592752,,-0.038573590645502254,7.768784371975982,0.008,,,,
hd_ablation,HD_ABLATED,1,0.2471910254712786,0.9760904942523715,,0.0025464451707870595,7.287972827496711,0.008,,,,
hd_ablation,HD_DEGRADED,0,0.26181574463619756,0.9717504341065012,,-0.05146212618543533,7.742926995904641,0.006,,,,
hd_ablation,HD_DEGRADED,1,0.2537911525673616,0.9681962092803181,,-0.008768270441065873,7.274401369701256,0.006,,,,
epsilon_sweep,eps_0.0,0,0.5635932545360481,0.9643751793416503,,0.22482902785743164,0.9670273632197782,0.484,,,,0.0
epsilon_sweep,eps_0.0,1,0.6282622530780393,0.9630404120222771,,0.6574370198757862,0.6181761914766539,0.534,,,,0.0
epsilon_sweep,eps_0.0,2,0.5951839275671509,0.9548116993057032,,1.2570371721625646,1.9860917435288057,0.738,,,,0.0
epsilon_sweep,eps_0.1,0,0.5798542954798154,0.9634475951400683,,1.0572517044112137,2.138470134824453,0.746,,,,0.1
epsilon_sweep,eps_0.1,1,0.5227457526069148,0.9567142070592016,,0.5953381486848857,2.338704643655313,0.67,,,,0.1
epsilon_sweep,eps_0.1,2,0.5764141799009926,0.9597653216358225,,1.2871539923976485,2.014210997364801,0.73,,,,0.1
epsilon_sweep,eps_0.2,0,0.5619695068074457,0.9633441123868342,,1.1141123298961428,2.200732526621052,0.682,,,,0.2
epsilon_sweep,eps_0.2,1,0.5223008245839595,0.949421055802123,,0.592596604292968,2.413834252194594,0.644,,,,0.2
epsilon_sweep,eps_0.2,2,0.5607060316416648,0.9550583048735107,,1.2163560433502525,2.1906523739982373,0.71,,,,0.2
