metric,comparison,U,p,r,mean_a,mean_b,n_a,n_b,p_bonferroni,significant
srsa,S1_vs_S2,9.0,0.1,1.0,0.8300823986726291,0.7253301238905102,3,3,1.0,False
srsa,S2_vs_S4,14.0,0.07142857142857142,0.9333333333333333,0.7253301238905102,0.7060920117966181,3,5,1.0,False
srsa,S1_vs_S4,15.0,0.03571428571428571,1.0,0.8300823986726291,0.7060920117966181,3,5,0.5714285714285714,False
ra,S1_vs_S2,9.0,0.1,1.0,0.9724378582849494,-0.019692187075034825,3,3,1.0,False
ra,S2_vs_S4,0.0,0.03571428571428571,0.0,-0.019692187075034825,0.13963316868556072,3,5,0.5714285714285714,False
ra,S1_vs_S4,15.0,0.03571428571428571,1.0,0.9724378582849494,0.13963316868556072,3,5,0.5714285714285714,False
sci,S1_vs_S2,,,,,0.21108296341873112,0,3,,
sci,S2_vs_S4,0.0,0.03571428571428571,0.0,0.21108296341873112,0.23973847531712772,3,5,0.5714285714285714,False
sci,S1_vs_S4,,,,,0.23973847531712772,0,5,,
c2_contrast,S1_vs_S2,9.0,0.1,1.0,0.734621853687529,-0.8575474561737639,3,3,1.0,False
c2_contrast,S2_vs_S4,0.0,0.03571428571428571,0.0,-0.8575474561737639,0.688544858480822,3,5,0.5714285714285714,False
c2_contrast,S1_vs_S4,10.0,0.5714285714285714,0.6666666666666666,0.734621853687529,0.688544858480822,3,5,1.0,False
decode_error,S1_vs_S2,4.0,1.0,0.4444444444444444,0.44168214152182544,0.44803021284206723,3,3,1.0,False
decode_error,S2_vs_S4,0.0,0.03571428571428571,0.0,0.44803021284206723,0.5045893799589132,3,5,0.5714285714285714,False
decode_error,S1_vs_S4,0.0,0.03571428571428571,0.0,0.44168214152182544,0.5045893799589132,3,5,0.5714285714285714,False
frac_tuned,S1_vs_S2,3.0,0.6428348264908044,0.3333333333333333,0.9940000000000001,0.9953333333333333,3,3,1.0,False
frac_tuned,S2_vs_S4,13.0,0.109801384525437,0.8666666666666667,0.9953333333333333,0.9924,3,5,1.0,False
frac_tuned,S1_vs_S4,11.0,0.3470510377575242,0.7333333333333333,0.9940000000000001,0.9924,3,5,1.0,False
