condition,pair,baseline_rho,max_rotated_rho,PAA_gain
s1,seed_00-seed_01,0.9734408823135206,0.9734408823135206,0.0
s1,seed_00-seed_02,0.9728840503315622,0.9728840503315622,0.0
s1,seed_01-seed_02,0.9748990251143321,0.9748990251143321,0.0
s2,seed_00-seed_01,0.9724124172899744,0.9765810462938608,0.0041686290038863705
s2,seed_00-seed_02,0.9786330355888012,0.9807605069092032,0.00212747132040203
s2,seed_01-seed_02,0.9744200452593611,0.9744200452593611,0.0
s4,seed_00-seed_01,0.9724497849992734,0.974980475088243,0.002530690088969667
s4,seed_00-seed_02,0.9752559768542134,0.9755074315419625,0.0002514546877491197
s4,seed_00-seed_03,0.9754733546170253,0.9754733546170253,0.0
s4,seed_00-seed_04,0.9748211240508585,0.9774490224975407,0.0026278984466822086
s4,seed_01-seed_02,0.9808993995375085,0.9810235852567796,0.00012418571927108601
s4,seed_01-seed_03,0.9779040256506986,0.9800896789703273,0.002185653319628722
s4,seed_01-seed_04,0.9781269441113112,0.9781269441113112,0.0
s4,seed_02-seed_03,0.9801619637812231,0.9801619637812231,0.0
s4,seed_02-seed_04,0.9766526826294315,0.9775456930278941,0.0008930103984625681
s4,seed_03-seed_04,0.9746566708047735,0.9806357773846348,0.005979106579861337
