condition,seed,N_valid,stored_n_valid,mean_RA,std_RA
s1,seed_00,498,498,0.09779096316009943,0.26770646390191793
s1,seed_01,497,497,0.10198225657512659,0.2675579727182598
s1,seed_02,495,495,0.09260601667908368,0.2733717552935242
s2,seed_00,491,491,0.11999771544091449,0.3212553297025325
s2,seed_01,492,492,0.10266950338026197,0.2974877966239812
s2,seed_02,495,495,0.11877689165158158,0.3059916807044793
s4,seed_00,467,467,0.21701500927471024,0.2973090203425384
s4,seed_01,458,458,0.21114554988537046,0.29403484228650845
s4,seed_02,465,465,0.21323347106796278,0.29403354914229307
s4,seed_03,466,466,0.2203132497355199,0.29825321849215464
s4,seed_04,472,472,0.22476283066979535,0.29753384246082215
